CONIDX,CONIPOS,CONJPOS,SGAS,WELL,SWAT,DRAWDOWN,DATE,CONBPRES,WELLMODEL,DEPTH,PRESSURE,CONKPOS
13,22,30,0.0,R_A2,0.4267728626728058,0,2018-03-01,299.67242431640625,STANDARD,1662.515869140625,299.67242431640625,13
14,22,30,0.0,R_A2,0.4654359519481659,0,2018-03-01,299.811279296875,STANDARD,1664.57080078125,299.811279296875,14
15,22,30,0.0,R_A2,0.8940828442573547,0,2018-03-01,299.9563293457031,STANDARD,1666.625732421875,299.9563293457031,15
16,22,30,0.0,R_A2,0.9156151413917542,0,2018-03-01,300.1026306152344,STANDARD,1668.6806640625,300.1026306152344,16
17,22,30,0.0,R_A2,0.8695448040962219,0,2018-03-01,300.2467041015625,STANDARD,1670.735595703125,300.2467041015625,17
18,22,29,0.0,R_A2,0.9379829168319702,0,2018-03-01,300.5190734863281,STANDARD,1674.673828125,300.5190734863281,17
19,22,29,0.0,R_A2,0.9775943756103516,0,2018-03-01,300.641357421875,STANDARD,1676.4984130859375,300.641357421875,18
20,22,29,0.0,R_A2,0.6484323740005493,0,2018-03-01,301.6958312988281,STANDARD,1678.1776123046875,301.6958312988281,26
21,22,29,0.0,R_A2,0.6607577204704285,0,2018-03-01,301.75970458984375,STANDARD,1679.9322509765625,301.75970458984375,27
22,22,29,-5.72139246244642e-14,R_A2,1.0,0,2018-03-01,302.0133056640625,STANDARD,1681.6868896484375,302.0133056640625,28
23,22,29,-1.3017776960555505e-13,R_A2,1.0,0,2018-03-01,302.5574645996094,STANDARD,1683.44140625,302.5574645996094,29
24,22,29,-1.5303008860101386e-10,R_A2,1.0,0,2018-03-01,302.49127197265625,STANDARD,1685.196044921875,302.49127197265625,30
1,31,20,-2.0828734292877016e-09,R_A5,0.9999999403953552,0,2018-04-28,282.5887145996094,STANDARD,1685.536865234375,282.5887145996094,1
2,31,20,-1.865701815262355e-09,R_A5,0.9999999403953552,0,2018-04-28,282.7860107421875,STANDARD,1687.6234130859375,282.7860107421875,2
3,31,20,-1.7896323312172058e-09,R_A5,0.9999999403953552,0,2018-04-28,282.9831237792969,STANDARD,1689.7099609375,282.9831237792969,3
