DEPTH,DATE,WELLMODEL,CONBPRES,PRESSURE,CONKPOS,SWAT,CONIPOS,SGAS,CONIDX,DRAWDOWN,WELL,CONJPOS
1681.4754638671875,2018-03-01,STANDARD,303.7930908203125,303.7930908203125,30,1.0,22,2.9688113958423796e-18,23,0,R_A2,29
1683.2447509765625,2018-03-01,STANDARD,303.96734619140625,303.96734619140625,31,1.0,22,3.0655721921642654e-19,24,0,R_A2,29
1685.026611328125,2018-04-28,STANDARD,274.60150146484375,274.60150146484375,1,1.0,31,-1.6566042742295031e-16,1,0,R_A5,20
1687.3070068359375,2018-04-28,STANDARD,274.8167419433594,274.8167419433594,2,1.0,31,-1.416016212264944e-16,2,0,R_A5,20
1689.5875244140625,2018-04-28,STANDARD,275.335693359375,275.335693359375,3,1.0,31,-7.913770096373437e-18,3,0,R_A5,20
1691.8680419921875,2018-04-28,STANDARD,275.24298095703125,275.24298095703125,4,1.0,31,-5.3635765228895235e-15,4,0,R_A5,20
1694.1485595703125,2018-04-28,STANDARD,275.4579772949219,275.4579772949219,5,1.0,31,-2.0198317167039945e-14,5,0,R_A5,20
1696.4290771484375,2018-04-28,STANDARD,275.6734619140625,275.6734619140625,6,1.0,31,-1.919814235698796e-14,6,0,R_A5,20
1698.70947265625,2018-04-28,STANDARD,276.20806884765625,276.20806884765625,7,1.0,31,-1.7372239172371018e-15,7,0,R_A5,20
1707.6488037109375,2018-04-28,STANDARD,277.34912109375,277.34912109375,11,1.0,31,-7.782010712914511e-13,8,0,R_A5,20
1709.5638427734375,2018-04-28,STANDARD,277.5455322265625,277.5455322265625,12,1.0,31,-7.2629440439273e-13,9,0,R_A5,20
1701.7845458984375,2018-04-28,STANDARD,276.3123779296875,276.3123779296875,12,1.0,31,-6.423556825341237e-11,10,0,R_A5,21
1703.735107421875,2018-04-28,STANDARD,276.5130615234375,276.5130615234375,13,1.0,31,-2.2410218212393085e-12,11,0,R_A5,21
1705.6856689453125,2018-04-28,STANDARD,276.703125,276.703125,14,1.0,31,-5.036251363860211e-12,12,0,R_A5,21
1707.63623046875,2018-04-28,STANDARD,276.89752197265625,276.89752197265625,15,1.0,31,-1.6461135839834773e-12,13,0,R_A5,21
1709.5867919921875,2018-04-28,STANDARD,277.2992858886719,277.2992858886719,16,1.0,31,-3.5938964478010593e-12,14,0,R_A5,21
1711.537353515625,2018-04-28,STANDARD,278.0213928222656,278.0213928222656,17,1.0,31,-3.5137219739703185e-13,15,0,R_A5,21
1713.35400390625,2018-04-28,STANDARD,278.4456787109375,278.4456787109375,18,1.0,31,-8.495411947702369e-13,16,0,R_A5,21
1714.3951416015625,2018-04-28,STANDARD,278.67437744140625,278.67437744140625,19,1.0,31,0.0,17,0,R_A5,21
1715.7628173828125,2018-04-28,STANDARD,278.7215270996094,278.7215270996094,27,1.0,31,-1.719009374949454e-12,18,0,R_A5,21
1718.098388671875,2018-04-28,STANDARD,278.9502868652344,278.9502868652344,28,1.0,31,-1.5479587013242369e-12,19,0,R_A5,21
1720.43408203125,2018-04-28,STANDARD,291.1265869140625,291.1265869140625,29,1.0,31,-6.692896050751275e-20,20,0,R_A5,21
1722.7696533203125,2018-04-28,STANDARD,293.29766845703125,293.29766845703125,30,1.0,31,5.370328601567603e-20,21,0,R_A5,21
1725.105224609375,2018-04-28,STANDARD,284.9007568359375,284.9007568359375,31,1.0,31,1.1328042033518233e-19,22,0,R_A5,21
1609.243408203125,2018-07-03,STANDARD,281.4734802246094,281.4734802246094,1,0.6493719220161438,28,0.0,1,0,R_A3,41
1611.3077392578125,2018-07-03,STANDARD,281.67181396484375,281.67181396484375,2,0.19372084736824036,28,0.0,2,0,R_A3,41
1613.3720703125,2018-07-03,STANDARD,281.8115234375,281.8115234375,3,0.19451230764389038,28,0.0,3,0,R_A3,41
1615.4365234375,2018-07-03,STANDARD,281.9548645019531,281.9548645019531,4,0.24973878264427185,28,0.0,4,0,R_A3,41
1617.5008544921875,2018-07-03,STANDARD,282.0955810546875,282.0955810546875,5,0.64930260181427,28,0.0,5,0,R_A3,41
1619.565185546875,2018-07-03,STANDARD,282.23394775390625,282.23394775390625,6,0.1501871943473816,28,0.0,6,0,R_A3,41
1609.3663330078125,2018-07-03,STANDARD,281.53070068359375,281.53070068359375,6,0.2752576768398285,29,0.0,7,0,R_A3,41
1611.4163818359375,2018-07-03,STANDARD,281.66741943359375,281.66741943359375,7,0.1989986151456833,29,0.0,8,0,R_A3,41
1613.46630859375,2018-07-03,STANDARD,281.80413818359375,281.80413818359375,8,0.14634226262569427,29,0.0,9,0,R_A3,41
1615.516357421875,2018-07-03,STANDARD,281.9408874511719,281.9408874511719,9,0.650382936000824,29,0.0,10,0,R_A3,41
1617.5662841796875,2018-07-03,STANDARD,282.6040954589844,282.6040954589844,10,0.8020610213279724,29,0.0,11,0,R_A3,41
1619.750732421875,2018-07-03,STANDARD,282.7288818359375,282.7288818359375,11,0.04844652861356735,29,0.0,12,0,R_A3,41
