CONJPOS,CONIPOS,DEPTH,WELL,SWAT,CONKPOS,DRAWDOWN,DATE,CONBPRES,PRESSURE,WELLMODEL,SGAS,CONIDX
20,31,1709.5638427734375,R_A5,1.0,12,0,2018-04-28,274.30462646484375,274.30462646484375,STANDARD,-1.3653177709498782e-13,9
21,31,1701.7845458984375,R_A5,1.0,12,0,2018-04-28,272.80072021484375,272.80072021484375,STANDARD,-1.127276119672338e-10,10
21,31,1703.735107421875,R_A5,1.0,13,0,2018-04-28,272.9976806640625,272.9976806640625,STANDARD,-6.750141678252275e-12,11
21,31,1705.6856689453125,R_A5,1.0,14,0,2018-04-28,273.1827087402344,273.1827087402344,STANDARD,-1.0933741759200366e-11,12
21,31,1707.63623046875,R_A5,1.0,15,0,2018-04-28,273.4627990722656,273.4627990722656,STANDARD,-1.494144044600354e-11,13
21,31,1709.5867919921875,R_A5,1.0,16,0,2018-04-28,274.0789489746094,274.0789489746094,STANDARD,-1.3001742911467051e-11,14
21,31,1711.537353515625,R_A5,1.0,17,0,2018-04-28,274.2796630859375,274.2796630859375,STANDARD,-1.4990427519082083e-12,15
21,31,1713.35400390625,R_A5,1.0,18,0,2018-04-28,274.46954345703125,274.46954345703125,STANDARD,-2.2706237931546802e-12,16
21,31,1714.3951416015625,R_A5,1.0,19,0,2018-04-28,274.5755920410156,274.5755920410156,STANDARD,0.0,17
21,31,1715.7628173828125,R_A5,1.0,27,0,2018-04-28,274.5535888671875,274.5535888671875,STANDARD,-3.54092775066428e-12,18
21,31,1718.098388671875,R_A5,1.0,28,0,2018-04-28,274.76055908203125,274.76055908203125,STANDARD,-4.484968819939983e-12,19
21,31,1720.43408203125,R_A5,1.0,29,0,2018-04-28,290.95111083984375,290.95111083984375,STANDARD,9.356018250032526e-20,20
21,31,1722.7696533203125,R_A5,1.0,30,0,2018-04-28,302.3634338378906,302.3634338378906,STANDARD,7.355883250417087e-20,21
21,31,1725.105224609375,R_A5,1.0,31,0,2018-04-28,306.4124450683594,306.4124450683594,STANDARD,2.853998891609907e-21,22
41,28,1609.243408203125,R_A3,0.30855676531791687,1,0,2018-07-03,280.5658874511719,280.5658874511719,STANDARD,0.0,1
41,28,1611.3077392578125,R_A3,0.20040881633758545,2,0,2018-07-03,280.7039489746094,280.7039489746094,STANDARD,0.0,2
41,28,1613.3720703125,R_A3,0.20093993842601776,3,0,2018-07-03,280.84185791015625,280.84185791015625,STANDARD,0.0,3
41,28,1615.4365234375,R_A3,0.3742084801197052,4,0,2018-07-03,281.0018005371094,281.0018005371094,STANDARD,0.0,4
41,28,1617.5008544921875,R_A3,0.8185233473777771,5,0,2018-07-03,281.361572265625,281.361572265625,STANDARD,0.0,5
41,28,1619.565185546875,R_A3,0.2669139802455902,6,0,2018-07-03,281.5032653808594,281.5032653808594,STANDARD,0.0,6
41,29,1609.3663330078125,R_A3,0.6493077278137207,6,0,2018-07-03,280.8513488769531,280.8513488769531,STANDARD,0.0,7
41,29,1611.4163818359375,R_A3,0.19481611251831055,7,0,2018-07-03,280.9863586425781,280.9863586425781,STANDARD,0.0,8
41,29,1613.46630859375,R_A3,0.19898773729801178,8,0,2018-07-03,281.1230773925781,281.1230773925781,STANDARD,0.0,9
41,29,1615.516357421875,R_A3,0.7968826293945312,9,0,2018-07-03,281.3787536621094,281.3787536621094,STANDARD,0.0,10
41,29,1617.5662841796875,R_A3,0.8002928495407104,10,0,2018-07-03,285.543701171875,285.543701171875,STANDARD,0.0,11
41,29,1619.750732421875,R_A3,0.0497111938893795,11,0,2018-07-03,286.49005126953125,286.49005126953125,STANDARD,0.0,12
41,29,1622.0697021484375,R_A3,0.05374129116535187,12,0,2018-07-03,286.6449890136719,286.6449890136719,STANDARD,0.0,13
41,29,1624.388671875,R_A3,0.37714412808418274,13,0,2018-07-03,286.8006286621094,286.8006286621094,STANDARD,0.0,14
41,29,1629.026611328125,R_A3,0.5017164945602417,15,0,2018-07-03,288.0963439941406,288.0963439941406,STANDARD,0.0,15
41,29,1630.9468994140625,R_A3,0.8145419359207153,16,0,2018-07-03,288.2383728027344,288.2383728027344,STANDARD,0.0,16
41,29,1633.5262451171875,R_A3,0.7529268860816956,27,0,2018-07-03,286.78338623046875,286.78338623046875,STANDARD,0.0,17
41,29,1637.1630859375,R_A3,0.04641035571694374,28,0,2018-07-03,286.9248352050781,286.9248352050781,STANDARD,0.0,18
41,29,1640.8001708984375,R_A3,0.05247645452618599,29,0,2018-07-03,287.1679382324219,287.1679382324219,STANDARD,0.0,19
41,29,1644.4371337890625,R_A3,0.8055075407028198,30,0,2018-07-03,296.03948974609375,296.03948974609375,STANDARD,0.0,20
41,29,1648.0740966796875,R_A3,0.14043813943862915,31,0,2018-07-03,287.6099548339844,287.6099548339844,STANDARD,0.0,21
52,30,1631.1873779296875,R_A4,0.051613859832286835,1,0,2018-09-12,280.1093444824219,280.1093444824219,STANDARD,0.0,1
52,31,1627.4293212890625,R_A4,0.04873143136501312,1,0,2018-09-12,279.876220703125,279.876220703125,STANDARD,0.0,2
52,31,1629.4896240234375,R_A4,0.05216911435127258,2,0,2018-09-12,280.0136413574219,280.0136413574219,STANDARD,0.0,3
52,31,1631.5498046875,R_A4,0.053338102996349335,3,0,2018-09-12,280.15106201171875,280.15106201171875,STANDARD,0.0,4
52,31,1633.610107421875,R_A4,0.05304937809705734,4,0,2018-09-12,280.2884521484375,280.2884521484375,STANDARD,0.0,5
52,32,1632.3968505859375,R_A4,0.05638823285698891,4,0,2018-09-12,280.2415466308594,280.2415466308594,STANDARD,0.0,6
51,32,1635.880615234375,R_A4,0.05739055201411247,4,0,2018-09-12,280.4475402832031,280.4475402832031,STANDARD,0.0,7
51,33,1637.321044921875,R_A4,0.05869798734784126,4,0,2018-09-12,280.5848388671875,280.5848388671875,STANDARD,0.0,8
51,33,1635.474609375,R_A4,0.056684430688619614,3,0,2018-09-12,280.46160888671875,280.46160888671875,STANDARD,0.0,9
50,33,1642.1485595703125,R_A4,0.06336409598588943,4,0,2018-09-12,280.846923828125,280.846923828125,STANDARD,0.0,10
50,34,1641.132080078125,R_A4,0.06317037343978882,4,0,2018-09-12,280.8333435058594,280.8333435058594,STANDARD,0.0,11
50,34,1639.20703125,R_A4,0.09856344014406204,3,0,2018-09-12,280.70501708984375,280.70501708984375,STANDARD,0.0,12
50,35,1640.9061279296875,R_A4,0.0956675335764885,3,0,2018-09-12,280.8749084472656,280.8749084472656,STANDARD,0.0,13
50,35,1639.0426025390625,R_A4,0.16091981530189514,2,0,2018-09-12,280.7506408691406,280.7506408691406,STANDARD,0.0,14
49,35,1641.93212890625,R_A4,0.23754671216011047,2,0,2018-09-12,280.8591003417969,280.8591003417969,STANDARD,0.0,15
49,36,1642.357421875,R_A4,0.23975400626659393,30,0,2018-09-12,279.3712463378906,279.3712463378906,STANDARD,0.0,16
48,36,1639.6068115234375,R_A4,0.20898909866809845,30,0,2018-09-12,279.07421875,279.07421875,STANDARD,0.0,17
48,37,1646.7513427734375,R_A4,0.3060266077518463,30,0,2018-09-12,279.6883544921875,279.6883544921875,STANDARD,0.0,18
48,38,1653.461669921875,R_A4,0.7545119524002075,30,0,2018-09-12,280.3821105957031,280.3821105957031,STANDARD,0.0,19
47,38,1657.8184814453125,R_A4,0.6916351914405823,30,0,2018-09-12,280.4941711425781,280.4941711425781,STANDARD,0.0,20
42,17,1695.20263671875,R_A6,1.0,1,0,2018-11-07,276.3193359375,276.3193359375,STANDARD,1.3007457219345927e-15,1
42,17,1696.7510986328125,R_A6,1.0,2,0,2018-11-07,276.4669189453125,276.4669189453125,STANDARD,1.9183921150259595e-16,2
42,17,1698.299560546875,R_A6,1.0,3,0,2018-11-07,276.6133728027344,276.6133728027344,STANDARD,2.875553771453202e-16,3
42,17,1699.84814453125,R_A6,1.0,4,0,2018-11-07,276.75799560546875,276.75799560546875,STANDARD,2.77825377331312e-16,4
42,17,1701.3966064453125,R_A6,1.0,5,0,2018-11-07,276.9010009765625,276.9010009765625,STANDARD,3.8342696009897577e-16,5
42,17,1702.9451904296875,R_A6,1.0,6,0,2018-11-07,277.04461669921875,277.04461669921875,STANDARD,2.197317645218945e-14,6
42,17,1704.49365234375,R_A6,1.0,7,0,2018-11-07,276.9006652832031,276.9006652832031,STANDARD,3.076771286749172e-14,7
42,17,1706.042236328125,R_A6,1.0,8,0,2018-11-07,277.0478820800781,277.0478820800781,STANDARD,2.1446818320304366e-14,8
42,17,1707.5906982421875,R_A6,1.0,9,0,2018-11-07,277.5337829589844,277.5337829589844,STANDARD,1.3087035964740468e-15,9
42,17,1709.1392822265625,R_A6,1.0,10,0,2018-11-07,277.53369140625,277.53369140625,STANDARD,0.0,10
42,17,1711.055419921875,R_A6,1.0,11,0,2018-11-07,277.7989196777344,277.7989196777344,STANDARD,1.531311563012297e-14,11
42,17,1713.3392333984375,R_A6,1.0,12,0,2018-11-07,278.02227783203125,278.02227783203125,STANDARD,0.0,12
42,17,1715.623046875,R_A6,1.0,13,0,2018-11-07,278.30023193359375,278.30023193359375,STANDARD,1.621566756366329e-16,13
42,17,1717.9068603515625,R_A6,1.0,14,0,2018-11-07,278.5166015625,278.5166015625,STANDARD,6.368177662426062e-17,14
42,17,1720.190673828125,R_A6,1.0,15,0,2018-11-07,278.7338562011719,278.7338562011719,STANDARD,3.677101711184436e-17,15
