CONKPOS,DATE,CONJPOS,DEPTH,CONIDX,CONBPRES,WELL,SWAT,CONIPOS,DRAWDOWN,WELLMODEL,PRESSURE,SGAS
14,2018-01-01,42,1716.549072265625,14,306.843505859375,R_A6,1.0,17,0,STANDARD,306.843505859375,0.0
15,2018-01-01,42,1718.7862548828125,15,307.0555419921875,R_A6,1.0,17,0,STANDARD,307.0555419921875,0.0
16,2018-01-01,42,1721.0234375,16,307.41259765625,R_A6,1.0,17,0,STANDARD,307.41259765625,0.0
17,2018-01-01,42,1723.2606201171875,17,307.6246337890625,R_A6,1.0,17,0,STANDARD,307.6246337890625,0.0
18,2018-01-01,42,1724.9267578125,18,307.78253173828125,R_A6,1.0,17,0,STANDARD,307.78253173828125,0.0
25,2018-01-01,42,1726.325439453125,19,307.75799560546875,R_A6,1.0,17,0,STANDARD,307.75799560546875,0.0
26,2018-01-01,42,1728.0274658203125,20,308.22509765625,R_A6,1.0,17,0,STANDARD,308.22509765625,0.0
27,2018-01-01,42,1729.7294921875,21,308.38641357421875,R_A6,1.0,17,0,STANDARD,308.38641357421875,0.0
28,2018-01-01,42,1731.431640625,22,308.5477294921875,R_A6,1.0,17,0,STANDARD,308.5477294921875,0.0
29,2018-01-01,42,1733.1336669921875,23,308.4032897949219,R_A6,1.0,17,0,STANDARD,308.4032897949219,0.0
1,2018-03-01,30,1640.2093505859375,1,298.9554138183594,R_A2,0.05207132548093796,22,0,STANDARD,298.9554138183594,0.0
2,2018-03-01,30,1641.959228515625,2,299.07269287109375,R_A2,0.054682422429323196,22,0,STANDARD,299.07269287109375,0.0
3,2018-03-01,30,1643.708984375,3,299.1899719238281,R_A2,0.05720588192343712,22,0,STANDARD,299.1899719238281,0.0
4,2018-03-01,30,1645.4588623046875,4,299.3072204589844,R_A2,0.14738547801971436,22,0,STANDARD,299.3072204589844,0.0
5,2018-03-01,30,1647.208740234375,5,299.42449951171875,R_A2,0.6483558416366577,22,0,STANDARD,299.42449951171875,0.0
6,2018-03-01,30,1648.95849609375,6,299.5434875488281,R_A2,0.6757681369781494,22,0,STANDARD,299.5434875488281,0.0
7,2018-03-01,30,1650.7083740234375,7,299.67657470703125,R_A2,0.8617738485336304,22,0,STANDARD,299.67657470703125,0.0
8,2018-03-01,30,1652.458251953125,8,299.8000793457031,R_A2,0.8535929322242737,22,0,STANDARD,299.8000793457031,0.0
9,2018-03-01,30,1654.2081298828125,9,300.1318664550781,R_A2,0.8780171871185303,22,0,STANDARD,300.1318664550781,0.0
10,2018-03-01,30,1655.9578857421875,10,300.3263244628906,R_A2,0.8909304738044739,22,0,STANDARD,300.3263244628906,0.0
11,2018-03-01,30,1657.8363037109375,11,299.5539855957031,R_A2,0.06708702445030212,22,0,STANDARD,299.5539855957031,0.0
12,2018-03-01,30,1659.84326171875,12,299.6850891113281,R_A2,0.06593814492225647,22,0,STANDARD,299.6850891113281,0.0
13,2018-03-01,30,1661.8502197265625,13,299.84356689453125,R_A2,0.4167502224445343,22,0,STANDARD,299.84356689453125,0.0
14,2018-03-01,30,1663.857177734375,14,299.9790954589844,R_A2,0.46399179100990295,22,0,STANDARD,299.9790954589844,0.0
15,2018-03-01,30,1665.8641357421875,15,300.11871337890625,R_A2,0.8931702375411987,22,0,STANDARD,300.11871337890625,0.0
16,2018-03-01,30,1667.87109375,16,300.2565612792969,R_A2,0.9009442329406738,22,0,STANDARD,300.2565612792969,0.0
17,2018-03-01,30,1669.878173828125,17,300.3923645019531,R_A2,0.8600593209266663,22,0,STANDARD,300.3923645019531,0.0
17,2018-03-01,29,1675.394287109375,18,300.5601806640625,R_A2,0.9418895840644836,22,0,STANDARD,300.5601806640625,0.0
18,2018-03-01,29,1677.2093505859375,19,300.6820373535156,R_A2,0.9811537861824036,22,0,STANDARD,300.6820373535156,0.0
25,2018-03-01,29,1678.83251953125,20,302.4663391113281,R_A2,0.8623629808425903,22,0,STANDARD,302.4663391113281,0.0
26,2018-03-01,29,1680.540771484375,21,302.06744384765625,R_A2,1.0,22,0,STANDARD,302.06744384765625,-1.54476306746254e-10
27,2018-03-01,29,1682.2491455078125,22,301.9548645019531,R_A2,0.9997197985649109,22,0,STANDARD,301.9548645019531,0.0
28,2018-03-01,29,1683.95751953125,23,302.1543884277344,R_A2,1.0,22,0,STANDARD,302.1543884277344,-1.4474238474448953e-10
29,2018-03-01,29,1685.6658935546875,24,301.96826171875,R_A2,0.9991257786750793,22,0,STANDARD,301.96826171875,0.0
1,2018-04-28,20,1684.141845703125,1,281.2470397949219,R_A5,1.0,31,0,STANDARD,281.2470397949219,-1.5298019795384477e-10
2,2018-04-28,20,1686.1339111328125,2,281.4352111816406,R_A5,1.0,31,0,STANDARD,281.4352111816406,-2.1423043894408522e-10
3,2018-04-28,20,1688.1259765625,3,281.6235046386719,R_A5,1.0,31,0,STANDARD,281.6235046386719,-2.052492620308044e-10
