SWAT,CONJPOS,DEPTH,WELLMODEL,WELL,PRESSURE,CONIPOS,SGAS,DATE,CONBPRES,DRAWDOWN,CONIDX,CONKPOS
0.6486507058143616,30,1655.44775390625,STANDARD,R_A2,299.8163757324219,22,0.0,2018-03-01,299.8163757324219,0,9,9
0.916169285774231,30,1657.2418212890625,STANDARD,R_A2,300.08270263671875,22,0.0,2018-03-01,300.08270263671875,0,10,10
0.07655873894691467,30,1659.1368408203125,STANDARD,R_A2,300.23583984375,22,0.0,2018-03-01,300.23583984375,0,11,11
0.08176101744174957,30,1661.132568359375,STANDARD,R_A2,300.3696594238281,22,0.0,2018-03-01,300.3696594238281,0,12,12
0.4574095904827118,30,1663.12841796875,STANDARD,R_A2,300.5065002441406,22,0.0,2018-03-01,300.5065002441406,0,13,13
0.504137396812439,30,1665.1241455078125,STANDARD,R_A2,300.6445617675781,22,0.0,2018-03-01,300.6445617675781,0,14,14
0.6864723563194275,30,1667.1199951171875,STANDARD,R_A2,300.78057861328125,22,0.0,2018-03-01,300.78057861328125,0,15,15
0.9750924110412598,30,1669.11572265625,STANDARD,R_A2,300.9150390625,22,0.0,2018-03-01,300.9150390625,0,16,16
0.9595708847045898,30,1671.111572265625,STANDARD,R_A2,301.0497131347656,22,0.0,2018-03-01,301.0497131347656,0,17,17
0.9807541966438293,30,1672.9881591796875,STANDARD,R_A2,301.1759338378906,22,0.0,2018-03-01,301.1759338378906,0,18,18
0.9992629289627075,29,1674.229736328125,STANDARD,R_A2,301.16448974609375,22,0.0,2018-03-01,301.16448974609375,0,19,18
1.0,29,1676.1676025390625,STANDARD,R_A2,302.9833068847656,22,-1.5578708316448713e-15,2018-03-01,302.9833068847656,0,20,27
1.0,29,1677.9368896484375,STANDARD,R_A2,303.4373474121094,22,-1.3025033153001454e-15,2018-03-01,303.4373474121094,0,21,28
1.0,29,1679.7061767578125,STANDARD,R_A2,302.9903259277344,22,-2.5655395776563727e-12,2018-03-01,302.9903259277344,0,22,29
1.0,29,1681.4754638671875,STANDARD,R_A2,303.76116943359375,22,-7.916575754044874e-15,2018-03-01,303.76116943359375,0,23,30
1.0,29,1683.2447509765625,STANDARD,R_A2,303.9373474121094,22,-1.0197723995943693e-15,2018-03-01,303.9373474121094,0,24,31
1.0,20,1685.026611328125,STANDARD,R_A5,276.6769714355469,31,9.032379878759489e-15,2018-04-28,276.6769714355469,0,1,1
1.0,20,1687.3070068359375,STANDARD,R_A5,276.89300537109375,31,4.622455630071132e-12,2018-04-28,276.89300537109375,0,2,2
1.0,20,1689.5875244140625,STANDARD,R_A5,277.1089782714844,31,6.30081880767519e-12,2018-04-28,277.1089782714844,0,3,3
1.0,20,1691.8680419921875,STANDARD,R_A5,277.3249206542969,31,5.362532033009737e-12,2018-04-28,277.3249206542969,0,4,4
1.0,20,1694.1485595703125,STANDARD,R_A5,277.5408630371094,31,4.827610099872315e-12,2018-04-28,277.5408630371094,0,5,5
1.0,20,1696.4290771484375,STANDARD,R_A5,277.7568054199219,31,4.82140759608396e-12,2018-04-28,277.7568054199219,0,6,6
1.0,20,1698.70947265625,STANDARD,R_A5,278.2910461425781,31,3.6337533866224667e-14,2018-04-28,278.2910461425781,0,7,7
1.0,20,1707.6488037109375,STANDARD,R_A5,276.8872375488281,31,-2.640933999265016e-11,2018-04-28,276.8872375488281,0,8,11
1.0,20,1709.5638427734375,STANDARD,R_A5,277.0689392089844,31,-3.2187332660305046e-11,2018-04-28,277.0689392089844,0,9,12
1.0,21,1701.7845458984375,STANDARD,R_A5,275.6443176269531,31,-1.7376645955469172e-10,2018-04-28,275.6443176269531,0,10,12
1.0,21,1703.735107421875,STANDARD,R_A5,275.8446044921875,31,-4.439960985674896e-12,2018-04-28,275.8446044921875,0,11,13
1.0,21,1705.6856689453125,STANDARD,R_A5,276.0347595214844,31,-7.375730234904232e-12,2018-04-28,276.0347595214844,0,12,14
1.0,21,1707.63623046875,STANDARD,R_A5,276.2393798828125,31,-1.505682622852944e-12,2018-04-28,276.2393798828125,0,13,15
1.0,21,1709.5867919921875,STANDARD,R_A5,276.6429748535156,31,-1.3136177258801784e-12,2018-04-28,276.6429748535156,0,14,16
1.0,21,1711.537353515625,STANDARD,R_A5,277.01568603515625,31,-4.198782706070492e-13,2018-04-28,277.01568603515625,0,15,17
1.0,21,1713.35400390625,STANDARD,R_A5,277.3830261230469,31,-9.56370182700339e-13,2018-04-28,277.3830261230469,0,16,18
1.0,21,1714.3951416015625,STANDARD,R_A5,277.5604248046875,31,0.0,2018-04-28,277.5604248046875,0,17,19
1.0,21,1715.7628173828125,STANDARD,R_A5,277.5877990722656,31,-2.2997126121818146e-13,2018-04-28,277.5877990722656,0,18,27
