WELLMODEL,CONJPOS,PRESSURE,SWAT,WELL,CONIDX,CONKPOS,DATE,CONBPRES,DEPTH,DRAWDOWN,CONIPOS,SGAS
STANDARD,41,301.2420349121094,0.05778044834733009,R_A3,23,31,2018-01-01,301.2420349121094,1648.4093017578125,0,29,0.0
STANDARD,52,300.1484069824219,0.05078013241291046,R_A4,1,1,2018-01-01,300.1484069824219,1632.0994873046875,0,30,0.0
STANDARD,52,299.8450927734375,0.048636309802532196,R_A4,2,1,2018-01-01,299.8450927734375,1627.574951171875,0,31,0.0
STANDARD,52,299.9808349609375,0.05078385770320892,R_A4,3,2,2018-01-01,299.9808349609375,1629.599853515625,0,31,0.0
STANDARD,52,300.1166076660156,0.05242340266704559,R_A4,4,3,2018-01-01,300.1166076660156,1631.6248779296875,0,31,0.0
STANDARD,52,300.2523498535156,0.05270717665553093,R_A4,5,4,2018-01-01,300.2523498535156,1633.64990234375,0,31,0.0
STANDARD,52,300.2595520019531,0.05492468923330307,R_A4,6,4,2018-01-01,300.2595520019531,1633.757080078125,0,32,0.0
STANDARD,51,300.2818298339844,0.05551983416080475,R_A4,7,4,2018-01-01,300.2818298339844,1634.0894775390625,0,32,0.0
STANDARD,51,300.40472412109375,0.055252689868211746,R_A4,8,5,2018-01-01,300.40472412109375,1635.9224853515625,0,32,0.0
STANDARD,51,300.5663146972656,0.05806148052215576,R_A4,9,5,2018-01-01,300.5663146972656,1638.332275390625,0,33,0.0
STANDARD,51,300.4422912597656,0.05952499061822891,R_A4,10,4,2018-01-01,300.4422912597656,1636.4825439453125,0,33,0.0
STANDARD,50,300.77081298828125,0.13173040747642517,R_A4,11,5,2018-01-01,300.77081298828125,1641.38232421875,0,33,0.0
STANDARD,50,300.64886474609375,0.06067929416894913,R_A4,12,4,2018-01-01,300.64886474609375,1639.5633544921875,0,33,0.0
STANDARD,50,300.6980285644531,0.060803912580013275,R_A4,13,4,2018-01-01,300.6980285644531,1640.2967529296875,0,34,0.0
STANDARD,50,300.57391357421875,0.13963773846626282,R_A4,14,3,2018-01-01,300.57391357421875,1638.44580078125,0,34,0.0
STANDARD,50,300.9442138671875,0.1493339091539383,R_A4,15,3,2018-01-01,300.9442138671875,1643.96826171875,0,35,0.0
STANDARD,50,300.8273010253906,0.23107211291790009,R_A4,16,2,2018-01-01,300.8273010253906,1642.2244873046875,0,35,0.0
STANDARD,50,300.7103576660156,0.22508427500724792,R_A4,17,1,2018-01-01,300.7103576660156,1640.4808349609375,0,35,0.0
STANDARD,49,300.8396911621094,0.2307858020067215,R_A4,18,1,2018-01-01,300.8396911621094,1642.409423828125,0,35,0.0
STANDARD,49,300.85223388671875,0.6481541991233826,R_A4,19,29,2018-01-01,300.85223388671875,1642.5963134765625,0,36,0.0
STANDARD,48,300.6354675292969,0.13100555539131165,R_A4,20,29,2018-01-01,300.6354675292969,1639.3636474609375,0,36,0.0
STANDARD,48,301.04150390625,0.6481541991233826,R_A4,21,29,2018-01-01,301.04150390625,1645.4190673828125,0,37,0.0
STANDARD,48,301.1791687011719,0.6481541991233826,R_A4,22,29,2018-01-01,301.1791687011719,1647.4720458984375,0,38,0.0
STANDARD,48,301.55596923828125,0.29941073060035706,R_A4,23,30,2018-01-01,301.55596923828125,1653.090576171875,0,38,0.0
STANDARD,47,301.9858093261719,0.07256646454334259,R_A4,24,30,2018-01-01,301.9858093261719,1659.4991455078125,0,38,0.0
STANDARD,20,303.8638610839844,1.0,R_A5,1,1,2018-01-01,303.8638610839844,1685.2352294921875,0,31,0.0
STANDARD,20,304.08941650390625,1.0,R_A5,2,2,2018-01-01,304.08941650390625,1687.615478515625,0,31,0.0
STANDARD,20,304.3149719238281,1.0,R_A5,3,3,2018-01-01,304.3149719238281,1689.9957275390625,0,31,0.0
STANDARD,20,304.54052734375,1.0,R_A5,4,4,2018-01-01,304.54052734375,1692.3759765625,0,31,0.0
STANDARD,20,304.76611328125,1.0,R_A5,5,5,2018-01-01,304.76611328125,1694.756103515625,0,31,0.0
