CONIDX,SWAT,WELLMODEL,CONKPOS,SGAS,PRESSURE,CONJPOS,CONBPRES,DATE,CONIPOS,DRAWDOWN,WELL,DEPTH
2,1.0,STANDARD,2,0.0,305.2076721191406,42,305.2076721191406,2018-01-01,17,0,R_A6,1696.18896484375
3,1.0,STANDARD,3,0.0,305.3537902832031,42,305.3537902832031,2018-01-01,17,0,R_A6,1697.730712890625
4,1.0,STANDARD,4,0.0,305.4999084472656,42,305.4999084472656,2018-01-01,17,0,R_A6,1699.2724609375
5,1.0,STANDARD,5,0.0,305.64599609375,42,305.64599609375,2018-01-01,17,0,R_A6,1700.814208984375
6,1.0,STANDARD,6,0.0,305.7921142578125,42,305.7921142578125,2018-01-01,17,0,R_A6,1702.35595703125
7,1.0,STANDARD,7,0.0,305.63916015625,42,305.63916015625,2018-01-01,17,0,R_A6,1703.897705078125
8,1.0,STANDARD,8,0.0,305.7852783203125,42,305.7852783203125,2018-01-01,17,0,R_A6,1705.439453125
9,1.0,STANDARD,9,0.0,306.2304382324219,42,306.2304382324219,2018-01-01,17,0,R_A6,1706.981201171875
10,1.0,STANDARD,10,0.0,306.0707702636719,42,306.0707702636719,2018-01-01,17,0,R_A6,1708.52294921875
11,1.0,STANDARD,11,0.0,306.25634765625,42,306.25634765625,2018-01-01,17,0,R_A6,1710.4798583984375
12,1.0,STANDARD,12,0.0,306.4811706542969,42,306.4811706542969,2018-01-01,17,0,R_A6,1712.85205078125
13,1.0,STANDARD,13,0.0,306.71795654296875,42,306.71795654296875,2018-01-01,17,0,R_A6,1715.2242431640625
14,1.0,STANDARD,14,0.0,306.9427795410156,42,306.9427795410156,2018-01-01,17,0,R_A6,1717.596435546875
15,1.0,STANDARD,15,0.0,307.1676025390625,42,307.1676025390625,2018-01-01,17,0,R_A6,1719.968505859375
16,1.0,STANDARD,16,0.0,307.5374450683594,42,307.5374450683594,2018-01-01,17,0,R_A6,1722.3406982421875
17,1.0,STANDARD,17,0.0,307.76055908203125,42,307.76055908203125,2018-01-01,17,0,R_A6,1724.6949462890625
18,1.0,STANDARD,18,0.0,307.88702392578125,42,307.88702392578125,2018-01-01,17,0,R_A6,1726.029052734375
19,1.0,STANDARD,26,0.0,307.82708740234375,42,307.82708740234375,2018-01-01,17,0,R_A6,1727.0543212890625
20,1.0,STANDARD,27,0.0,308.29571533203125,42,308.29571533203125,2018-01-01,17,0,R_A6,1728.772705078125
21,1.0,STANDARD,28,0.0,308.4585876464844,42,308.4585876464844,2018-01-01,17,0,R_A6,1730.490966796875
22,1.0,STANDARD,29,0.0,308.6214294433594,42,308.6214294433594,2018-01-01,17,0,R_A6,1732.2091064453125
23,1.0,STANDARD,30,0.0,308.478515625,42,308.478515625,2018-01-01,17,0,R_A6,1733.927490234375
1,0.057506877928972244,STANDARD,1,0.0,299.2090759277344,30,299.2090759277344,2018-03-01,22,0,R_A2,1638.34912109375
