WELL,CONIDX,DATE,DRAWDOWN,CONBPRES,WELLMODEL,CONJPOS,DEPTH,CONKPOS,SWAT,SGAS,PRESSURE,CONIPOS
R_A5,3,2018-04-28,0,266.75994873046875,STANDARD,20,1688.7254638671875,3,1.0,-1.971137590713189e-24,266.75994873046875,31
R_A5,4,2018-04-28,0,266.9731140136719,STANDARD,20,1690.978271484375,4,1.0,-1.136430061832995e-24,266.9731140136719,31
R_A5,5,2018-04-28,0,267.18634033203125,STANDARD,20,1693.231201171875,5,1.0,-3.148896864231618e-24,267.18634033203125,31
R_A5,6,2018-04-28,0,267.39959716796875,STANDARD,20,1695.4840087890625,6,1.0,-3.512097496895782e-24,267.39959716796875,31
R_A5,7,2018-04-28,0,267.9334411621094,STANDARD,20,1697.7369384765625,7,1.0,-1.0688866509774449e-26,267.9334411621094,31
R_A5,8,2018-04-28,0,266.43878173828125,STANDARD,21,1699.817626953125,11,1.0,-6.977367360098963e-13,266.43878173828125,31
R_A5,9,2018-04-28,0,266.6422119140625,STANDARD,21,1701.8758544921875,12,1.0,-4.891824250362331e-13,266.6422119140625,31
R_A5,10,2018-04-28,0,266.848876953125,STANDARD,21,1703.93408203125,13,1.0,-2.2691633186182336e-14,266.848876953125,31
R_A5,11,2018-04-28,0,267.0435485839844,STANDARD,21,1705.9921875,14,1.0,-4.343300011636596e-14,267.0435485839844,31
R_A5,12,2018-04-28,0,267.2155456542969,STANDARD,21,1708.05029296875,15,1.0,-1.5876338329938455e-13,267.2155456542969,31
R_A5,13,2018-04-28,0,267.3284606933594,STANDARD,21,1710.1085205078125,16,1.0,-1.4181485033602087e-13,267.3284606933594,31
R_A5,14,2018-04-28,0,267.5065612792969,STANDARD,21,1712.166748046875,17,1.0,-3.157696814529848e-14,267.5065612792969,31
R_A5,15,2018-04-28,0,267.66741943359375,STANDARD,21,1714.08349609375,18,1.0,-4.653548190238291e-14,267.66741943359375,31
R_A5,16,2018-04-28,0,267.7668762207031,STANDARD,21,1715.2613525390625,19,1.0,-7.114217865527607e-15,267.7668762207031,31
R_A5,17,2018-04-28,0,267.64697265625,STANDARD,21,1716.782470703125,29,1.0,-4.2244026744568675e-13,267.64697265625,31
R_A5,18,2018-04-28,0,267.8839416503906,STANDARD,21,1719.2445068359375,30,1.0,-3.3708547563481017e-13,267.8839416503906,31
R_A5,19,2018-04-28,0,270.2417297363281,STANDARD,21,1721.70654296875,31,1.0,-1.3131698688560208e-16,270.2417297363281,31
R_A5,20,2018-04-28,0,291.201171875,STANDARD,21,1724.1685791015625,32,1.0,-5.14974570471128e-20,291.201171875,31
R_A5,21,2018-04-28,0,302.95703125,STANDARD,21,1726.630615234375,33,1.0,-2.2393706274338605e-22,302.95703125,31
R_A3,1,2018-07-03,0,283.2568664550781,STANDARD,41,1612.131591796875,1,0.28069764375686646,0.0,283.2568664550781,28
R_A3,2,2018-07-03,0,283.4051208496094,STANDARD,41,1614.3477783203125,2,0.20590558648109436,0.0,283.4051208496094,28
R_A3,3,2018-07-03,0,283.5534973144531,STANDARD,41,1616.5640869140625,3,0.2025260478258133,0.0,283.5534973144531,28
R_A3,4,2018-07-03,0,283.7178039550781,STANDARD,41,1618.7802734375,4,0.37556296586990356,0.0,283.7178039550781,28
R_A3,5,2018-07-03,0,283.8284606933594,STANDARD,41,1620.9964599609375,5,0.8412030339241028,0.0,283.8284606933594,28
R_A3,6,2018-07-03,0,283.8969421386719,STANDARD,41,1623.212646484375,6,0.18019147217273712,0.0,283.8969421386719,28
R_A3,7,2018-07-03,0,284.044921875,STANDARD,41,1625.428955078125,7,0.0845210924744606,0.0,284.044921875,28
R_A3,8,2018-07-03,0,282.9413146972656,STANDARD,41,1608.81982421875,7,0.1496187448501587,0.0,282.9413146972656,29
R_A3,9,2018-07-03,0,283.0810852050781,STANDARD,41,1610.9129638671875,8,0.1538805067539215,0.0,283.0810852050781,29
R_A3,10,2018-07-03,0,283.2208557128906,STANDARD,41,1613.006103515625,9,0.6494912505149841,0.0,283.2208557128906,29
R_A3,11,2018-07-03,0,283.810546875,STANDARD,41,1615.099365234375,10,0.8019502758979797,0.0,283.810546875,29
R_A3,12,2018-07-03,0,290.5605163574219,STANDARD,41,1617.30810546875,11,0.049734123051166534,0.0,290.5605163574219,29
R_A3,13,2018-07-03,0,290.7159729003906,STANDARD,41,1619.6322021484375,12,0.05412827059626579,0.0,290.7159729003906,29
R_A3,14,2018-07-03,0,290.8723449707031,STANDARD,41,1621.9564208984375,13,0.371278315782547,0.0,290.8723449707031,29
R_A3,15,2018-07-03,0,292.46875,STANDARD,41,1624.2806396484375,14,0.40462082624435425,0.0,292.46875,29
R_A3,16,2018-07-03,0,291.23114013671875,STANDARD,41,1626.6048583984375,15,0.3554743230342865,0.0,291.23114013671875,29
R_A3,17,2018-07-03,0,291.3887939453125,STANDARD,41,1628.6861572265625,16,0.8103534579277039,0.0,291.3887939453125,29
R_A3,18,2018-07-03,0,291.46063232421875,STANDARD,41,1629.7574462890625,17,0.7668237686157227,0.0,291.46063232421875,29
R_A3,19,2018-07-03,0,295.237060546875,STANDARD,41,1631.844482421875,29,1.0,1.7580304616585107e-12,295.237060546875,29
R_A3,20,2018-07-03,0,290.9369812011719,STANDARD,41,1635.7147216796875,30,0.04683937132358551,0.0,290.9369812011719,29
R_A3,21,2018-07-03,0,291.1955871582031,STANDARD,41,1639.5849609375,31,0.10387106239795685,0.0,291.1955871582031,29
