SGAS,DEPTH,DRAWDOWN,PRESSURE,CONIPOS,SWAT,CONIDX,CONBPRES,WELLMODEL,CONKPOS,DATE,CONJPOS,WELL
-1.7726933809747436e-10,1702.020751953125,0,285.1302795410156,31,1.0,8,285.1302795410156,STANDARD,11,2018-04-28,21,R_A5
-1.9706022924559363e-10,1704.0289306640625,0,285.44146728515625,31,1.0,9,285.44146728515625,STANDARD,12,2018-04-28,21,R_A5
-1.2541642203933723e-11,1706.037109375,0,285.644775390625,31,1.0,10,285.644775390625,STANDARD,13,2018-04-28,21,R_A5
-9.857769982246634e-12,1708.0452880859375,0,285.8372802734375,31,1.0,11,285.8372802734375,STANDARD,14,2018-04-28,21,R_A5
-3.58281698580043e-12,1710.053466796875,0,286.03076171875,31,1.0,12,286.03076171875,STANDARD,15,2018-04-28,21,R_A5
0.0,1712.061767578125,0,286.3979797363281,31,1.0,13,286.3979797363281,STANDARD,16,2018-04-28,21,R_A5
-7.65206962464321e-13,1714.0147705078125,0,286.6147155761719,31,1.0,14,286.6147155761719,STANDARD,17,2018-04-28,21,R_A5
0.0,1715.3502197265625,0,286.7424011230469,31,1.0,15,286.7424011230469,STANDARD,18,2018-04-28,21,R_A5
-2.2911743335907175e-10,1717.014404296875,0,287.4657287597656,31,1.0,16,287.4657287597656,STANDARD,26,2018-04-28,21,R_A5
-2.383437613939776e-10,1719.1474609375,0,287.6073913574219,31,1.0,17,287.6073913574219,STANDARD,27,2018-04-28,21,R_A5
-2.7487178667912608e-18,1721.2803955078125,0,295.0100402832031,31,1.0,18,295.0100402832031,STANDARD,28,2018-04-28,21,R_A5
1.7798479703956538e-13,1723.413330078125,0,292.7951965332031,31,1.0,19,292.7951965332031,STANDARD,29,2018-04-28,21,R_A5
2.2880406350174108e-17,1725.5462646484375,0,302.43682861328125,31,1.0,20,302.43682861328125,STANDARD,30,2018-04-28,21,R_A5
0.0,1606.6126708984375,0,276.19671630859375,28,0.22231043875217438,1,276.19671630859375,STANDARD,1,2018-07-03,41,R_A3
0.0,1608.5145263671875,0,276.32183837890625,28,0.19355525076389313,2,276.32183837890625,STANDARD,2,2018-07-03,41,R_A3
0.0,1610.41650390625,0,276.4461364746094,28,0.19082190096378326,3,276.4461364746094,STANDARD,3,2018-07-03,41,R_A3
0.0,1606.641357421875,0,276.38629150390625,29,0.1891431212425232,4,276.38629150390625,STANDARD,3,2018-07-03,41,R_A3
0.0,1608.6512451171875,0,276.5190734863281,29,0.22450989484786987,5,276.5190734863281,STANDARD,4,2018-07-03,41,R_A3
0.0,1610.6611328125,0,276.64263916015625,29,0.8099341988563538,6,276.64263916015625,STANDARD,5,2018-07-03,41,R_A3
