PRESSURE,WELL,DRAWDOWN,CONIDX,SGAS,CONBPRES,DEPTH,CONKPOS,CONJPOS,WELLMODEL,SWAT,DATE,CONIPOS
306.2666015625,R_A5,0,14,0.0,306.2666015625,1708.9317626953125,16,21,STANDARD,1.0,2018-01-01,31
306.45062255859375,R_A5,0,15,0.0,306.45062255859375,1710.873291015625,17,21,STANDARD,1.0,2018-01-01,31
306.6024169921875,R_A5,0,16,0.0,306.6024169921875,1712.4752197265625,18,21,STANDARD,1.0,2018-01-01,31
306.6849060058594,R_A5,0,17,0.0,306.6849060058594,1713.34521484375,19,21,STANDARD,1.0,2018-01-01,31
306.6681823730469,R_A5,0,18,0.0,306.6681823730469,1714.8265380859375,26,21,STANDARD,1.0,2018-01-01,31
306.88934326171875,R_A5,0,19,0.0,306.88934326171875,1717.1600341796875,27,21,STANDARD,1.0,2018-01-01,31
307.1105041503906,R_A5,0,20,0.0,307.1105041503906,1719.49365234375,28,21,STANDARD,1.0,2018-01-01,31
307.3316650390625,R_A5,0,21,0.0,307.3316650390625,1721.8271484375,29,21,STANDARD,1.0,2018-01-01,31
307.8586120605469,R_A5,0,22,0.0,307.8586120605469,1724.1607666015625,30,21,STANDARD,1.0,2018-01-01,31
305.08013916015625,R_A6,0,1,0.0,305.08013916015625,1694.843017578125,1,42,STANDARD,1.0,2018-01-01,17
305.226318359375,R_A6,0,2,0.0,305.226318359375,1696.3857421875,2,42,STANDARD,1.0,2018-01-01,17
305.37249755859375,R_A6,0,3,0.0,305.37249755859375,1697.92822265625,3,42,STANDARD,1.0,2018-01-01,17
305.5187072753906,R_A6,0,4,0.0,305.5187072753906,1699.470947265625,4,42,STANDARD,1.0,2018-01-01,17
305.6648864746094,R_A6,0,5,0.0,305.6648864746094,1701.0135498046875,5,42,STANDARD,1.0,2018-01-01,17
305.51202392578125,R_A6,0,6,0.0,305.51202392578125,1702.55615234375,6,42,STANDARD,1.0,2018-01-01,17
305.6582336425781,R_A6,0,7,0.0,305.6582336425781,1704.098876953125,7,42,STANDARD,1.0,2018-01-01,17
305.8044128417969,R_A6,0,8,0.0,305.8044128417969,1705.6414794921875,8,42,STANDARD,1.0,2018-01-01,17
306.2496643066406,R_A6,0,9,0.0,306.2496643066406,1707.18408203125,9,42,STANDARD,1.0,2018-01-01,17
306.090087890625,R_A6,0,10,0.0,306.090087890625,1708.726806640625,10,42,STANDARD,1.0,2018-01-01,17
306.27392578125,R_A6,0,11,0.0,306.27392578125,1710.665283203125,11,42,STANDARD,1.0,2018-01-01,17
306.4951477050781,R_A6,0,12,0.0,306.4951477050781,1712.9996337890625,12,42,STANDARD,1.0,2018-01-01,17
306.7283630371094,R_A6,0,13,0.0,306.7283630371094,1715.3341064453125,13,42,STANDARD,1.0,2018-01-01,17
306.9496154785156,R_A6,0,14,0.0,306.9496154785156,1717.6685791015625,14,42,STANDARD,1.0,2018-01-01,17
