CONJPOS,DEPTH,DRAWDOWN,CONKPOS,CONIDX,CONIPOS,CONBPRES,PRESSURE,SGAS,SWAT,WELLMODEL,WELL,DATE
30,1651.263427734375,0,7,7,22,299.7655029296875,299.7655029296875,0.0,0.8737221360206604,STANDARD,R_A2,2018-03-01
30,1653.0267333984375,0,8,8,22,299.89349365234375,299.89349365234375,0.0,0.866540789604187,STANDARD,R_A2,2018-03-01
30,1654.7900390625,0,9,9,22,300.21124267578125,300.21124267578125,0.0,0.8886441588401794,STANDARD,R_A2,2018-03-01
30,1656.55322265625,0,10,10,22,300.49658203125,300.49658203125,0.0,0.8783565163612366,STANDARD,R_A2,2018-03-01
30,1658.437255859375,0,11,11,22,299.8206787109375,299.8206787109375,0.0,0.06744184345006943,STANDARD,R_A2,2018-03-01
30,1660.44189453125,0,12,12,22,299.96478271484375,299.96478271484375,0.0,0.07324817776679993,STANDARD,R_A2,2018-03-01
30,1662.446533203125,0,13,13,22,300.1257629394531,300.1257629394531,0.0,0.41718336939811707,STANDARD,R_A2,2018-03-01
30,1664.451171875,0,14,14,22,300.2607727050781,300.2607727050781,0.0,0.4598570764064789,STANDARD,R_A2,2018-03-01
30,1666.4559326171875,0,15,15,22,300.39935302734375,300.39935302734375,0.0,0.9053146839141846,STANDARD,R_A2,2018-03-01
30,1668.4605712890625,0,16,16,22,300.5375671386719,300.5375671386719,0.0,0.9072456359863281,STANDARD,R_A2,2018-03-01
29,1671.2664794921875,0,16,17,22,300.56512451171875,300.56512451171875,0.0,0.9289340376853943,STANDARD,R_A2,2018-03-01
29,1673.35009765625,0,17,18,22,300.7051086425781,300.7051086425781,0.0,0.8993821144104004,STANDARD,R_A2,2018-03-01
29,1675.30712890625,0,18,19,22,300.8363037109375,300.8363037109375,0.0,0.9614700675010681,STANDARD,R_A2,2018-03-01
29,1677.253662109375,0,26,20,22,302.044921875,302.044921875,0.0,0.6482680439949036,STANDARD,R_A2,2018-03-01
29,1679.0201416015625,0,27,21,22,303.0689392089844,303.0689392089844,-2.46573472055566e-15,1.0,STANDARD,R_A2,2018-03-01
29,1680.78662109375,0,28,22,22,302.9677734375,302.9677734375,-3.3532289493926407e-14,1.0,STANDARD,R_A2,2018-03-01
