PRESSURE,DATE,WELL,DEPTH,SGAS,CONIDX,WELLMODEL,CONJPOS,CONKPOS,CONBPRES,SWAT,DRAWDOWN,CONIPOS
306.7843933105469,2018-01-01,R_A5,1714.3951416015625,0.0,17,STANDARD,21,19,306.7843933105469,1.0,0,31
306.75689697265625,2018-01-01,R_A5,1715.7628173828125,0.0,18,STANDARD,21,27,306.75689697265625,1.0,0,31
306.978271484375,2018-01-01,R_A5,1718.098388671875,0.0,19,STANDARD,21,28,306.978271484375,1.0,0,31
307.5054016113281,2018-01-01,R_A5,1720.43408203125,0.0,20,STANDARD,21,29,307.5054016113281,1.0,0,31
307.7267761230469,2018-01-01,R_A5,1722.7696533203125,0.0,21,STANDARD,21,30,307.7267761230469,1.0,0,31
307.9481506347656,2018-01-01,R_A5,1725.105224609375,0.0,22,STANDARD,21,31,307.9481506347656,1.0,0,31
305.11419677734375,2018-01-01,R_A6,1695.20263671875,0.0,1,STANDARD,42,1,305.11419677734375,1.0,0,17
305.2609558105469,2018-01-01,R_A6,1696.7510986328125,0.0,2,STANDARD,42,2,305.2609558105469,1.0,0,17
305.4076843261719,2018-01-01,R_A6,1698.299560546875,0.0,3,STANDARD,42,3,305.4076843261719,1.0,0,17
305.554443359375,2018-01-01,R_A6,1699.84814453125,0.0,4,STANDARD,42,4,305.554443359375,1.0,0,17
305.7012023925781,2018-01-01,R_A6,1701.3966064453125,0.0,5,STANDARD,42,5,305.7012023925781,1.0,0,17
305.84796142578125,2018-01-01,R_A6,1702.9451904296875,0.0,6,STANDARD,42,6,305.84796142578125,1.0,0,17
305.6956481933594,2018-01-01,R_A6,1704.49365234375,0.0,7,STANDARD,42,7,305.6956481933594,1.0,0,17
306.1414489746094,2018-01-01,R_A6,1706.042236328125,0.0,8,STANDARD,42,8,306.1414489746094,1.0,0,17
306.2882080078125,2018-01-01,R_A6,1707.5906982421875,0.0,9,STANDARD,42,9,306.2882080078125,1.0,0,17
306.1291809082031,2018-01-01,R_A6,1709.1392822265625,0.0,10,STANDARD,42,10,306.1291809082031,1.0,0,17
306.3109130859375,2018-01-01,R_A6,1711.055419921875,0.0,11,STANDARD,42,11,306.3109130859375,1.0,0,17
306.52734375,2018-01-01,R_A6,1713.3392333984375,0.0,12,STANDARD,42,12,306.52734375,1.0,0,17
306.7557678222656,2018-01-01,R_A6,1715.623046875,0.0,13,STANDARD,42,13,306.7557678222656,1.0,0,17
306.9721984863281,2018-01-01,R_A6,1717.9068603515625,0.0,14,STANDARD,42,14,306.9721984863281,1.0,0,17
307.18865966796875,2018-01-01,R_A6,1720.190673828125,0.0,15,STANDARD,42,15,307.18865966796875,1.0,0,17
307.55010986328125,2018-01-01,R_A6,1722.474365234375,0.0,16,STANDARD,42,16,307.55010986328125,1.0,0,17
307.7665710449219,2018-01-01,R_A6,1724.7581787109375,0.0,17,STANDARD,42,17,307.7665710449219,1.0,0,17
307.921630859375,2018-01-01,R_A6,1726.394287109375,0.0,18,STANDARD,42,18,307.921630859375,1.0,0,17
307.8930969238281,2018-01-01,R_A6,1727.7508544921875,0.0,19,STANDARD,42,27,307.8930969238281,1.0,0,17
308.3623352050781,2018-01-01,R_A6,1729.4755859375,0.0,20,STANDARD,42,28,308.3623352050781,1.0,0,17
308.52581787109375,2018-01-01,R_A6,1731.2001953125,0.0,21,STANDARD,42,29,308.52581787109375,1.0,0,17
308.68927001953125,2018-01-01,R_A6,1732.9249267578125,0.0,22,STANDARD,42,30,308.68927001953125,1.0,0,17
308.5469665527344,2018-01-01,R_A6,1734.649658203125,0.0,23,STANDARD,42,31,308.5469665527344,1.0,0,17
