SGAS,DEPTH,PRESSURE,CONIDX,CONJPOS,WELL,SWAT,DATE,CONIPOS,WELLMODEL,DRAWDOWN,CONKPOS,CONBPRES
0.0,1661.82275390625,300.7916564941406,11,30,R_A2,0.0743887722492218,2018-03-01,22,STANDARD,0,11,300.7916564941406
0.0,1663.8253173828125,300.92596435546875,12,30,R_A2,0.07508807629346848,2018-03-01,22,STANDARD,0,12,300.92596435546875
0.0,1665.827880859375,301.1274719238281,13,30,R_A2,0.44189149141311646,2018-03-01,22,STANDARD,0,13,301.1274719238281
0.0,1667.83056640625,301.2857971191406,14,30,R_A2,0.48499596118927,2018-03-01,22,STANDARD,0,14,301.2857971191406
0.0,1669.8331298828125,301.4178161621094,15,30,R_A2,0.686467170715332,2018-03-01,22,STANDARD,0,15,301.4178161621094
0.0,1671.835693359375,301.5343322753906,16,30,R_A2,0.9672544598579407,2018-03-01,22,STANDARD,0,16,301.5343322753906
0.0,1673.83837890625,301.6659240722656,17,30,R_A2,0.9590635299682617,2018-03-01,22,STANDARD,0,17,301.6659240722656
0.0,1675.7410888671875,301.7923583984375,18,30,R_A2,0.9700655937194824,2018-03-01,22,STANDARD,0,18,301.7923583984375
0.0,1676.7945556640625,301.8622741699219,19,30,R_A2,0.9907593727111816,2018-03-01,22,STANDARD,0,19,301.8622741699219
0.0,1677.88623046875,301.8352966308594,20,30,R_A2,0.2023083120584488,2018-03-01,22,STANDARD,0,26,301.8352966308594
5.636670109479677e-15,1679.76513671875,302.5588684082031,21,30,R_A2,1.0,2018-03-01,22,STANDARD,0,27,302.5588684082031
-1.833166830952828e-14,1677.0994873046875,302.2557373046875,22,29,R_A2,1.0,2018-03-01,22,STANDARD,0,27,302.2557373046875
-2.72898769012285e-15,1678.811279296875,302.65130615234375,23,29,R_A2,1.0,2018-03-01,22,STANDARD,0,28,302.65130615234375
0.0,1680.5230712890625,302.5230712890625,24,29,R_A2,0.8552314639091492,2018-03-01,22,STANDARD,0,29,302.5230712890625
