WELLMODEL,DATE,SWAT,DRAWDOWN,CONJPOS,CONBPRES,CONKPOS,PRESSURE,DEPTH,WELL,CONIPOS,SGAS,CONIDX
STANDARD,2018-04-28,1.0,0,21,278.2301330566406,19,278.2301330566406,1715.3580322265625,R_A5,31,0.0,17
STANDARD,2018-04-28,1.0,0,21,283.4913635253906,27,283.4913635253906,1716.7034912109375,R_A5,31,-2.6918842589013225e-13,18
STANDARD,2018-04-28,1.0,0,21,283.7549133300781,28,283.7549133300781,1719.0296630859375,R_A5,31,-1.6043569738780766e-13,19
STANDARD,2018-04-28,1.0,0,21,295.85284423828125,29,295.85284423828125,1721.35595703125,R_A5,31,-1.763632107141737e-20,20
STANDARD,2018-04-28,1.0,0,21,304.0777587890625,30,304.0777587890625,1723.68212890625,R_A5,31,-1.0159363217026312e-21,21
STANDARD,2018-04-28,1.0,0,21,306.3674011230469,31,306.3674011230469,1726.00830078125,R_A5,31,-4.1508841624440096e-23,22
STANDARD,2018-07-03,0.6510381698608398,0,41,277.6116027832031,1,277.6116027832031,1609.466552734375,R_A3,28,0.0,1
STANDARD,2018-07-03,0.11865036189556122,0,41,277.74676513671875,2,277.74676513671875,1611.482421875,R_A3,28,0.0,2
STANDARD,2018-07-03,0.11879274994134903,0,41,277.8811340332031,3,277.8811340332031,1613.4981689453125,R_A3,28,0.0,3
STANDARD,2018-07-03,0.09665326774120331,0,41,278.0155029296875,4,278.0155029296875,1615.513916015625,R_A3,28,0.0,4
STANDARD,2018-07-03,0.12746942043304443,0,41,277.49554443359375,4,277.49554443359375,1607.431396484375,R_A3,29,0.0,5
STANDARD,2018-07-03,0.6521003246307373,0,41,277.6222839355469,5,277.6222839355469,1609.442626953125,R_A3,29,0.0,6
STANDARD,2018-07-03,0.3309454917907715,0,41,277.8373718261719,6,277.8373718261719,1611.4539794921875,R_A3,29,0.0,7
STANDARD,2018-07-03,0.19614093005657196,0,41,277.97137451171875,7,277.97137451171875,1613.46533203125,R_A3,29,0.0,8
STANDARD,2018-07-03,0.1986924111843109,0,41,278.10540771484375,8,278.10540771484375,1615.4765625,R_A3,29,0.0,9
STANDARD,2018-07-03,0.7888731360435486,0,41,278.3111267089844,9,278.3111267089844,1617.48779296875,R_A3,29,0.0,10
STANDARD,2018-07-03,0.7901674509048462,0,41,279.92095947265625,10,279.92095947265625,1619.4990234375,R_A3,29,0.0,11
STANDARD,2018-07-03,0.04760194942355156,0,41,280.6094665527344,11,280.6094665527344,1621.6490478515625,R_A3,29,0.0,12
STANDARD,2018-07-03,0.054878946393728256,0,41,280.76214599609375,12,280.76214599609375,1623.9376220703125,R_A3,29,0.0,13
STANDARD,2018-07-03,0.37347251176834106,0,41,280.91571044921875,13,280.91571044921875,1626.226318359375,R_A3,29,0.0,14
STANDARD,2018-07-03,0.21257053315639496,0,41,281.3271179199219,14,281.3271179199219,1628.5150146484375,R_A3,29,0.0,15
STANDARD,2018-07-03,0.6036825776100159,0,41,281.4881286621094,15,281.4881286621094,1630.8037109375,R_A3,29,0.0,16
STANDARD,2018-07-03,0.7995234727859497,0,41,281.6526184082031,16,281.6526184082031,1632.4390869140625,R_A3,29,0.0,17
STANDARD,2018-07-03,0.8274039030075073,0,41,294.21929931640625,27,294.21929931640625,1634.6326904296875,R_A3,29,0.0,18
STANDARD,2018-07-03,0.05110059678554535,0,41,283.1370849609375,28,283.1370849609375,1638.037841796875,R_A3,29,0.0,19
STANDARD,2018-07-03,0.12574173510074615,0,41,283.3647155761719,29,283.3647155761719,1641.44287109375,R_A3,29,0.0,20
STANDARD,2018-07-03,0.6742824912071228,0,41,283.56292724609375,30,283.56292724609375,1644.8480224609375,R_A3,29,0.0,21
STANDARD,2018-07-03,0.16871215403079987,0,41,283.90264892578125,31,283.90264892578125,1648.253173828125,R_A3,29,0.0,22
STANDARD,2018-09-12,0.04997599869966507,0,52,277.16644287109375,1,277.16644287109375,1631.371337890625,R_A4,30,0.0,1
STANDARD,2018-09-12,0.049158975481987,0,52,276.9005126953125,1,276.9005126953125,1626.66455078125,R_A4,31,0.0,2
STANDARD,2018-09-12,0.04863862320780754,0,52,277.04010009765625,2,277.04010009765625,1628.759765625,R_A4,31,0.0,3
STANDARD,2018-09-12,0.051137275993824005,0,52,277.1797180175781,3,277.1797180175781,1630.8551025390625,R_A4,31,0.0,4
STANDARD,2018-09-12,0.05421854928135872,0,52,277.3193359375,4,277.3193359375,1632.950439453125,R_A4,31,0.0,5
STANDARD,2018-09-12,0.0544072687625885,0,52,277.36749267578125,4,277.36749267578125,1632.657470703125,R_A4,32,0.0,6
STANDARD,2018-09-12,0.05697057396173477,0,52,277.494140625,5,277.494140625,1634.556396484375,R_A4,32,0.0,7
STANDARD,2018-09-12,0.057587772607803345,0,51,277.5025939941406,5,277.5025939941406,1636.024658203125,R_A4,32,0.0,8
STANDARD,2018-09-12,0.05649535357952118,0,51,277.3796691894531,4,277.3796691894531,1634.1790771484375,R_A4,32,0.0,9
STANDARD,2018-09-12,0.05872837454080582,0,51,277.6322326660156,4,277.6322326660156,1636.9864501953125,R_A4,33,0.0,10
STANDARD,2018-09-12,0.061778463423252106,0,50,277.7140808105469,4,277.7140808105469,1640.618408203125,R_A4,33,0.0,11
STANDARD,2018-09-12,0.061505138874053955,0,50,277.84454345703125,4,277.84454345703125,1641.037353515625,R_A4,34,0.0,12
STANDARD,2018-09-12,0.0596858412027359,0,50,277.7177734375,3,277.7177734375,1639.1351318359375,R_A4,34,0.0,13
STANDARD,2018-09-12,0.06309347599744797,0,50,278.05609130859375,3,278.05609130859375,1642.22705078125,R_A4,35,0.0,14
STANDARD,2018-09-12,0.20835234224796295,0,50,277.9343566894531,2,277.9343566894531,1640.3917236328125,R_A4,35,0.0,15
STANDARD,2018-09-12,0.2358817160129547,0,49,278.0028381347656,2,278.0028381347656,1644.4078369140625,R_A4,35,0.0,16
STANDARD,2018-09-12,0.22987383604049683,0,49,277.8814392089844,1,277.8814392089844,1642.596923828125,R_A4,35,0.0,17
STANDARD,2018-09-12,0.08241591602563858,0,49,276.4993896484375,30,276.4993896484375,1645.5599365234375,R_A4,36,0.0,18
STANDARD,2018-09-12,0.1438307762145996,0,48,275.9233703613281,30,275.9233703613281,1645.781494140625,R_A4,36,0.0,19
STANDARD,2018-09-12,0.25578537583351135,0,48,277.4129333496094,30,277.4129333496094,1651.63720703125,R_A4,37,0.0,20
STANDARD,2018-09-12,0.7134544253349304,0,48,276.44891357421875,29,276.44891357421875,1646.16845703125,R_A4,37,0.0,21
STANDARD,2018-09-12,1.0,0,48,280.6651306152344,29,280.6651306152344,1651.2982177734375,R_A4,38,-3.142488656446285e-12,22
STANDARD,2018-09-12,0.12882575392723083,0,47,276.892333984375,29,276.892333984375,1660.4390869140625,R_A4,38,0.0,23
STANDARD,2018-11-07,1.0,0,42,276.63470458984375,1,276.63470458984375,1694.1025390625,R_A6,17,2.0524590870190512e-14,1
STANDARD,2018-11-07,1.0,0,42,276.78302001953125,2,276.78302001953125,1695.634521484375,R_A6,17,9.6699415781578e-15,2
STANDARD,2018-11-07,1.0,0,42,276.9342346191406,3,276.9342346191406,1697.16650390625,R_A6,17,7.99955872485443e-15,3
STANDARD,2018-11-07,1.0,0,42,277.0869140625,4,277.0869140625,1698.698486328125,R_A6,17,6.399548639358368e-15,4
STANDARD,2018-11-07,1.0,0,42,277.23748779296875,5,277.23748779296875,1700.2305908203125,R_A6,17,9.399948132154598e-15,5
STANDARD,2018-11-07,1.0,0,42,277.3843078613281,6,277.3843078613281,1701.762451171875,R_A6,17,4.588112658895915e-13,6
STANDARD,2018-11-07,1.0,0,42,277.2376403808594,7,277.2376403808594,1703.29443359375,R_A6,17,8.223816050888233e-13,7
