CONKPOS,CONBPRES,CONIDX,SWAT,CONJPOS,WELL,SGAS,WELLMODEL,CONIPOS,DEPTH,DATE,DRAWDOWN,PRESSURE
18,306.6856994628906,16,1.0,21,R_A5,0.0,STANDARD,31,1713.35400390625,2018-01-01,0,306.6856994628906
19,306.7843933105469,17,1.0,21,R_A5,0.0,STANDARD,31,1714.3951416015625,2018-01-01,0,306.7843933105469
27,306.75689697265625,18,1.0,21,R_A5,0.0,STANDARD,31,1715.7628173828125,2018-01-01,0,306.75689697265625
28,306.978271484375,19,1.0,21,R_A5,0.0,STANDARD,31,1718.098388671875,2018-01-01,0,306.978271484375
29,307.5054016113281,20,1.0,21,R_A5,0.0,STANDARD,31,1720.43408203125,2018-01-01,0,307.5054016113281
30,307.7267761230469,21,1.0,21,R_A5,0.0,STANDARD,31,1722.7696533203125,2018-01-01,0,307.7267761230469
31,307.9481506347656,22,1.0,21,R_A5,0.0,STANDARD,31,1725.105224609375,2018-01-01,0,307.9481506347656
1,305.11419677734375,1,1.0,42,R_A6,0.0,STANDARD,17,1695.20263671875,2018-01-01,0,305.11419677734375
2,305.2609558105469,2,1.0,42,R_A6,0.0,STANDARD,17,1696.7510986328125,2018-01-01,0,305.2609558105469
3,305.4076843261719,3,1.0,42,R_A6,0.0,STANDARD,17,1698.299560546875,2018-01-01,0,305.4076843261719
4,305.554443359375,4,1.0,42,R_A6,0.0,STANDARD,17,1699.84814453125,2018-01-01,0,305.554443359375
5,305.7012023925781,5,1.0,42,R_A6,0.0,STANDARD,17,1701.3966064453125,2018-01-01,0,305.7012023925781
6,305.84796142578125,6,1.0,42,R_A6,0.0,STANDARD,17,1702.9451904296875,2018-01-01,0,305.84796142578125
7,305.6956481933594,7,1.0,42,R_A6,0.0,STANDARD,17,1704.49365234375,2018-01-01,0,305.6956481933594
8,305.8424072265625,8,1.0,42,R_A6,0.0,STANDARD,17,1706.042236328125,2018-01-01,0,305.8424072265625
9,306.2882080078125,9,1.0,42,R_A6,0.0,STANDARD,17,1707.5906982421875,2018-01-01,0,306.2882080078125
10,306.1291809082031,10,1.0,42,R_A6,0.0,STANDARD,17,1709.1392822265625,2018-01-01,0,306.1291809082031
11,306.3109130859375,11,1.0,42,R_A6,0.0,STANDARD,17,1711.055419921875,2018-01-01,0,306.3109130859375
12,306.52734375,12,1.0,42,R_A6,0.0,STANDARD,17,1713.3392333984375,2018-01-01,0,306.52734375
13,306.7557678222656,13,1.0,42,R_A6,0.0,STANDARD,17,1715.623046875,2018-01-01,0,306.7557678222656
14,306.9721984863281,14,1.0,42,R_A6,0.0,STANDARD,17,1717.9068603515625,2018-01-01,0,306.9721984863281
15,307.18865966796875,15,1.0,42,R_A6,0.0,STANDARD,17,1720.190673828125,2018-01-01,0,307.18865966796875
16,307.55010986328125,16,1.0,42,R_A6,0.0,STANDARD,17,1722.474365234375,2018-01-01,0,307.55010986328125
17,307.7665710449219,17,1.0,42,R_A6,0.0,STANDARD,17,1724.7581787109375,2018-01-01,0,307.7665710449219
18,307.921630859375,18,1.0,42,R_A6,0.0,STANDARD,17,1726.394287109375,2018-01-01,0,307.921630859375
27,307.8930969238281,19,1.0,42,R_A6,0.0,STANDARD,17,1727.7508544921875,2018-01-01,0,307.8930969238281
28,308.3623352050781,20,1.0,42,R_A6,0.0,STANDARD,17,1729.4755859375,2018-01-01,0,308.3623352050781
29,308.52581787109375,21,1.0,42,R_A6,0.0,STANDARD,17,1731.2001953125,2018-01-01,0,308.52581787109375
30,308.68927001953125,22,1.0,42,R_A6,0.0,STANDARD,17,1732.9249267578125,2018-01-01,0,308.68927001953125
31,308.5469665527344,23,1.0,42,R_A6,0.0,STANDARD,17,1734.649658203125,2018-01-01,0,308.5469665527344
1,297.9618225097656,1,0.05590961128473282,30,R_A2,0.0,STANDARD,22,1641.094970703125,2018-03-01,0,297.9618225097656
2,298.0820617675781,2,0.05798409506678581,30,R_A2,0.0,STANDARD,22,1642.8890380859375,2018-03-01,0,298.0820617675781
3,298.2023010253906,3,0.06067906692624092,30,R_A2,0.0,STANDARD,22,1644.68310546875,2018-03-01,0,298.2023010253906
4,298.32257080078125,4,0.06784942746162415,30,R_A2,0.0,STANDARD,22,1646.4771728515625,2018-03-01,0,298.32257080078125
5,298.4429016113281,5,0.07155876606702805,30,R_A2,0.0,STANDARD,22,1648.2713623046875,2018-03-01,0,298.4429016113281
6,298.5633544921875,6,0.14334188401699066,30,R_A2,0.0,STANDARD,22,1650.0654296875,2018-03-01,0,298.5633544921875
7,298.6839599609375,7,0.25991880893707275,30,R_A2,0.0,STANDARD,22,1651.859619140625,2018-03-01,0,298.6839599609375
8,298.81744384765625,8,0.6483508944511414,30,R_A2,0.0,STANDARD,22,1653.6536865234375,2018-03-01,0,298.81744384765625
9,298.9461364746094,9,0.6486061215400696,30,R_A2,0.0,STANDARD,22,1655.44775390625,2018-03-01,0,298.9461364746094
10,299.7999267578125,10,0.9129198789596558,30,R_A2,0.0,STANDARD,22,1657.2418212890625,2018-03-01,0,299.7999267578125
11,300.50628662109375,11,0.07878845930099487,30,R_A2,0.0,STANDARD,22,1659.1368408203125,2018-03-01,0,300.50628662109375
12,300.9203796386719,12,0.08625000715255737,30,R_A2,0.0,STANDARD,22,1661.132568359375,2018-03-01,0,300.9203796386719
13,301.0169372558594,13,0.45778584480285645,30,R_A2,0.0,STANDARD,22,1663.12841796875,2018-03-01,0,301.0169372558594
14,301.1453857421875,14,0.5199218988418579,30,R_A2,0.0,STANDARD,22,1665.1241455078125,2018-03-01,0,301.1453857421875
15,301.2781677246094,15,0.6916823387145996,30,R_A2,0.0,STANDARD,22,1667.1199951171875,2018-03-01,0,301.2781677246094
16,301.40869140625,16,0.972693920135498,30,R_A2,0.0,STANDARD,22,1669.11572265625,2018-03-01,0,301.40869140625
17,301.54180908203125,17,0.9493968486785889,30,R_A2,0.0,STANDARD,22,1671.111572265625,2018-03-01,0,301.54180908203125
18,301.66748046875,18,0.9820559620857239,30,R_A2,0.0,STANDARD,22,1672.9881591796875,2018-03-01,0,301.66748046875
18,301.4508056640625,19,0.992170512676239,29,R_A2,0.0,STANDARD,22,1674.229736328125,2018-03-01,0,301.4508056640625
27,301.58856201171875,20,0.4962034523487091,29,R_A2,0.0,STANDARD,22,1676.1676025390625,2018-03-01,0,301.58856201171875
28,301.82281494140625,21,0.9991536736488342,29,R_A2,0.0,STANDARD,22,1677.9368896484375,2018-03-01,0,301.82281494140625
29,302.1800231933594,22,1.0,29,R_A2,-6.056775081475507e-10,STANDARD,22,1679.7061767578125,2018-03-01,0,302.1800231933594
30,303.12042236328125,23,1.0,29,R_A2,-8.88952811101823e-14,STANDARD,22,1681.4754638671875,2018-03-01,0,303.12042236328125
31,303.62298583984375,24,1.0,29,R_A2,-2.3853756460584605e-15,STANDARD,22,1683.2447509765625,2018-03-01,0,303.62298583984375
1,270.5019836425781,1,1.0,20,R_A5,-1.4755006229982042e-17,STANDARD,31,1685.026611328125,2018-04-28,0,270.5019836425781
2,270.7186584472656,2,1.0,20,R_A5,-4.224196083121032e-15,STANDARD,31,1687.3070068359375,2018-04-28,0,270.7186584472656
3,270.9350280761719,3,1.0,20,R_A5,-5.715386998850387e-15,STANDARD,31,1689.5875244140625,2018-04-28,0,270.9350280761719
4,271.1512145996094,4,1.0,20,R_A5,-6.085893186023048e-15,STANDARD,31,1691.8680419921875,2018-04-28,0,271.1512145996094
5,271.36724853515625,5,1.0,20,R_A5,-6.133816192596328e-15,STANDARD,31,1694.1485595703125,2018-04-28,0,271.36724853515625
6,271.5831604003906,6,1.0,20,R_A5,-5.058839479455844e-15,STANDARD,31,1696.4290771484375,2018-04-28,0,271.5831604003906
7,272.1253967285156,7,1.0,20,R_A5,-1.8433268641002013e-15,STANDARD,31,1698.70947265625,2018-04-28,0,272.1253967285156
11,273.96502685546875,8,1.0,20,R_A5,-8.025126244960712e-13,STANDARD,31,1707.6488037109375,2018-04-28,0,273.96502685546875
12,274.1463317871094,9,1.0,20,R_A5,-5.317486902189916e-13,STANDARD,31,1709.5638427734375,2018-04-28,0,274.1463317871094
12,272.6368103027344,10,1.0,21,R_A5,-4.035665968071811e-10,STANDARD,31,1701.7845458984375,2018-04-28,0,272.6368103027344
13,272.83380126953125,11,1.0,21,R_A5,-2.414372694825584e-11,STANDARD,31,1703.735107421875,2018-04-28,0,272.83380126953125
14,273.0188293457031,12,1.0,21,R_A5,-3.907872983544003e-11,STANDARD,31,1705.6856689453125,2018-04-28,0,273.0188293457031
