CONIDX,DEPTH,CONIPOS,CONBPRES,DRAWDOWN,SGAS,CONKPOS,PRESSURE,CONJPOS,SWAT,WELLMODEL,DATE,WELL
16,1713.7669677734375,31,282.7808532714844,0,-1.32324858535815e-12,18,282.7808532714844,21,1.0,STANDARD,2018-04-28,R_A5
17,1714.422119140625,31,282.8428955078125,0,0.0,19,282.8428955078125,21,1.0,STANDARD,2018-04-28,R_A5
18,1715.6734619140625,31,285.31243896484375,0,-3.544701763559012e-14,26,285.31243896484375,21,1.0,STANDARD,2018-04-28,R_A5
19,1717.938720703125,31,285.6483154296875,0,-3.1413057105609404e-14,27,285.6483154296875,21,1.0,STANDARD,2018-04-28,R_A5
20,1720.2039794921875,31,296.28167724609375,0,-1.8887429324523124e-21,28,296.28167724609375,21,1.0,STANDARD,2018-04-28,R_A5
21,1722.46923828125,31,303.79425048828125,0,-1.3187596011858633e-22,29,303.79425048828125,21,1.0,STANDARD,2018-04-28,R_A5
22,1724.734619140625,31,306.9062194824219,0,-1.895001863737141e-24,30,306.9062194824219,21,1.0,STANDARD,2018-04-28,R_A5
1,1608.8302001953125,28,274.53900146484375,0,0.0,1,274.53900146484375,41,0.3260200023651123,STANDARD,2018-07-03,R_A3
2,1610.822998046875,28,274.6608581542969,0,0.0,2,274.6608581542969,41,0.14652317762374878,STANDARD,2018-07-03,R_A3
3,1602.380859375,29,274.104248046875,0,0.0,2,274.104248046875,41,0.16050095856189728,STANDARD,2018-07-03,R_A3
4,1604.4591064453125,29,274.24261474609375,0,0.0,3,274.24261474609375,41,0.11896617710590363,STANDARD,2018-07-03,R_A3
5,1606.5374755859375,29,274.3810729980469,0,0.0,4,274.3810729980469,41,0.1373434215784073,STANDARD,2018-07-03,R_A3
6,1608.61572265625,29,274.6108703613281,0,0.0,5,274.6108703613281,41,0.8013544678688049,STANDARD,2018-07-03,R_A3
7,1610.694091796875,29,274.6812744140625,0,0.0,6,274.6812744140625,41,0.18269145488739014,STANDARD,2018-07-03,R_A3
8,1612.7723388671875,29,274.81988525390625,0,0.0,7,274.81988525390625,41,0.19749945402145386,STANDARD,2018-07-03,R_A3
9,1614.8505859375,29,274.95855712890625,0,0.0,8,274.95855712890625,41,0.19953346252441406,STANDARD,2018-07-03,R_A3
10,1616.928955078125,29,275.25628662109375,0,0.0,9,275.25628662109375,41,0.7876226305961609,STANDARD,2018-07-03,R_A3
11,1619.0072021484375,29,283.6883239746094,0,0.0,10,283.6883239746094,41,0.7884113788604736,STANDARD,2018-07-03,R_A3
12,1621.1805419921875,29,294.90771484375,0,0.0,11,294.90771484375,41,0.04647429659962654,STANDARD,2018-07-03,R_A3
13,1623.4488525390625,29,295.0596008300781,0,0.0,12,295.0596008300781,41,0.05464216321706772,STANDARD,2018-07-03,R_A3
14,1625.7171630859375,29,295.2118225097656,0,0.0,13,295.2118225097656,41,0.3674391508102417,STANDARD,2018-07-03,R_A3
