SGAS,WELL,CONKPOS,CONJPOS,PRESSURE,CONIPOS,DRAWDOWN,CONBPRES,SWAT,DEPTH,DATE,CONIDX,WELLMODEL
0.0,R_A6,29,42,307.8159484863281,17,0,307.8159484863281,1.0,1726.9368896484375,2018-01-01,19,STANDARD
0.0,R_A6,30,42,308.2841796875,17,0,308.2841796875,1.0,1728.65087890625,2018-01-01,20,STANDARD
0.0,R_A6,31,42,308.4466247558594,17,0,308.4466247558594,1.0,1730.3648681640625,2018-01-01,21,STANDARD
0.0,R_A6,32,42,308.6091003417969,17,0,308.6091003417969,1.0,1732.078857421875,2018-01-01,22,STANDARD
0.0,R_A6,33,42,308.46575927734375,17,0,308.46575927734375,1.0,1733.792724609375,2018-01-01,23,STANDARD
0.0,R_A2,1,30,297.9107666015625,22,0,297.9107666015625,0.05476076900959015,1640.1444091796875,2018-03-01,1,STANDARD
0.0,R_A2,2,30,298.0309143066406,22,0,298.0309143066406,0.05445148050785065,1641.9373779296875,2018-03-01,2,STANDARD
0.0,R_A2,3,30,298.15106201171875,22,0,298.15106201171875,0.057392336428165436,1643.730224609375,2018-03-01,3,STANDARD
0.0,R_A2,4,30,298.271240234375,22,0,298.271240234375,0.06270142644643784,1645.5230712890625,2018-03-01,4,STANDARD
0.0,R_A2,5,30,298.39141845703125,22,0,298.39141845703125,0.06545739620923996,1647.31591796875,2018-03-01,5,STANDARD
0.0,R_A2,6,30,298.5968933105469,22,0,298.5968933105469,0.30615493655204773,1649.1087646484375,2018-03-01,6,STANDARD
0.0,R_A2,7,30,298.71917724609375,22,0,298.71917724609375,0.875720739364624,1650.901611328125,2018-03-01,7,STANDARD
0.0,R_A2,8,30,298.8466491699219,22,0,298.8466491699219,0.8584548234939575,1652.6944580078125,2018-03-01,8,STANDARD
0.0,R_A2,9,30,299.2855224609375,22,0,299.2855224609375,0.8736672401428223,1654.4874267578125,2018-03-01,9,STANDARD
0.0,R_A2,10,30,299.5313720703125,22,0,299.5313720703125,0.9047043919563293,1656.2802734375,2018-03-01,10,STANDARD
0.0,R_A2,11,30,299.4552917480469,22,0,299.4552917480469,0.07029712945222855,1658.169189453125,2018-03-01,11,STANDARD
0.0,R_A2,13,30,299.91748046875,22,0,299.91748046875,0.43672826886177063,1662.139404296875,2018-03-01,12,STANDARD
0.0,R_A2,14,30,300.05059814453125,22,0,300.05059814453125,0.46632689237594604,1664.12451171875,2018-03-01,13,STANDARD
0.0,R_A2,15,30,300.1828308105469,22,0,300.1828308105469,0.907417356967926,1666.1094970703125,2018-03-01,14,STANDARD
0.0,R_A2,16,30,300.3148498535156,22,0,300.3148498535156,0.9271775484085083,1668.0946044921875,2018-03-01,15,STANDARD
0.0,R_A2,17,30,300.4476013183594,22,0,300.4476013183594,0.8813962936401367,1670.0797119140625,2018-03-01,16,STANDARD
0.0,R_A2,17,29,300.26702880859375,22,0,300.26702880859375,0.9209685921669006,1673.0072021484375,2018-03-01,17,STANDARD
0.0,R_A2,18,29,300.3982238769531,22,0,300.3982238769531,0.9695570468902588,1674.955078125,2018-03-01,18,STANDARD
-3.049796971972443e-15,R_A2,29,29,303.1357727050781,22,0,303.1357727050781,1.0,1676.7447509765625,2018-03-01,19,STANDARD
-3.3872434632137684e-15,R_A2,30,29,303.2549133300781,22,0,303.2549133300781,1.0,1678.4881591796875,2018-03-01,20,STANDARD
-5.225134916891439e-15,R_A2,31,29,303.3755187988281,22,0,303.3755187988281,1.0,1680.2315673828125,2018-03-01,21,STANDARD
-1.5661451153417723e-14,R_A2,32,29,303.8466796875,22,0,303.8466796875,1.0,1681.9749755859375,2018-03-01,22,STANDARD
-6.514797382117798e-14,R_A2,33,29,304.0096740722656,22,0,304.0096740722656,1.0,1683.7183837890625,2018-03-01,23,STANDARD
-4.855545965298802e-10,R_A5,1,20,279.1243591308594,31,0,279.1243591308594,1.0,1685.7332763671875,2018-04-28,1,STANDARD
-5.084379584019416e-10,R_A5,2,20,279.3257751464844,31,0,279.3257751464844,1.0,1687.8603515625,2018-04-28,2,STANDARD
-5.362742472314608e-10,R_A5,3,20,279.5272521972656,31,0,279.5272521972656,1.0,1689.9874267578125,2018-04-28,3,STANDARD
-5.052033791308475e-10,R_A5,4,20,279.7287292480469,31,0,279.7287292480469,1.0,1692.114501953125,2018-04-28,4,STANDARD
-4.296494549027585e-10,R_A5,5,20,279.93035888671875,31,0,279.93035888671875,1.0,1694.2415771484375,2018-04-28,5,STANDARD
-3.9105002569428393e-10,R_A5,6,20,280.13201904296875,31,0,280.13201904296875,1.0,1696.36865234375,2018-04-28,6,STANDARD
-9.77816265457232e-12,R_A5,7,20,280.6764221191406,31,0,280.6764221191406,1.0,1698.495849609375,2018-04-28,7,STANDARD
-4.42593271060554e-12,R_A5,8,20,281.2493591308594,31,0,281.2493591308594,1.0,1700.6229248046875,2018-04-28,8,STANDARD
-8.202051815509037e-10,R_A5,8,21,279.6109313964844,31,0,279.6109313964844,1.0,1694.775634765625,2018-04-28,9,STANDARD
-2.4735448064805432e-11,R_A5,11,21,278.9260559082031,31,0,278.9260559082031,1.0,1701.3726806640625,2018-04-28,10,STANDARD
-3.2423917717405715e-11,R_A5,12,21,279.1293029785156,31,0,279.1293029785156,1.0,1703.323974609375,2018-04-28,11,STANDARD
-1.2489142749497195e-12,R_A5,13,21,279.3266296386719,31,0,279.3266296386719,1.0,1705.2752685546875,2018-04-28,12,STANDARD
-2.4922026248264117e-11,R_A5,14,21,279.51263427734375,31,0,279.51263427734375,1.0,1707.2266845703125,2018-04-28,13,STANDARD
-1.3910648674619885e-11,R_A5,15,21,279.7008361816406,31,0,279.7008361816406,1.0,1709.177978515625,2018-04-28,14,STANDARD
-6.528126021525249e-13,R_A5,16,21,280.060791015625,31,0,280.060791015625,1.0,1711.1292724609375,2018-04-28,15,STANDARD
-2.990821295050655e-13,R_A5,17,21,280.2801818847656,31,0,280.2801818847656,1.0,1713.0806884765625,2018-04-28,16,STANDARD
-4.0108942642863576e-13,R_A5,18,21,280.4297790527344,31,0,280.4297790527344,1.0,1714.5982666015625,2018-04-28,17,STANDARD
-2.483612491013809e-12,R_A5,29,21,286.3111877441406,31,0,286.3111877441406,1.0,1716.2681884765625,2018-04-28,18,STANDARD
-2.0269120583338296e-12,R_A5,30,21,286.5216369628906,31,0,286.5216369628906,1.0,1718.490966796875,2018-04-28,19,STANDARD
-5.0938381826959545e-18,R_A5,31,21,297.0858459472656,31,0,297.0858459472656,1.0,1720.7138671875,2018-04-28,20,STANDARD
-9.014983238156094e-18,R_A5,32,21,304.4115905761719,31,0,304.4115905761719,1.0,1722.9366455078125,2018-04-28,21,STANDARD
