PRESSURE,CONIDX,CONJPOS,DATE,CONBPRES,CONIPOS,SGAS,CONKPOS,SWAT,WELLMODEL,DEPTH,DRAWDOWN,WELL
306.8069763183594,13,42,2018-01-01,306.8069763183594,17,0.0,13,1.0,STANDARD,1716.1634521484375,0,R_A6
307.0255126953125,14,42,2018-01-01,307.0255126953125,17,0.0,14,1.0,STANDARD,1718.46923828125,0,R_A6
307.2440185546875,15,42,2018-01-01,307.2440185546875,17,0.0,15,1.0,STANDARD,1720.7750244140625,0,R_A6
307.6075744628906,16,42,2018-01-01,307.6075744628906,17,0.0,16,1.0,STANDARD,1723.0806884765625,0,R_A6
307.82611083984375,17,42,2018-01-01,307.82611083984375,17,0.0,17,1.0,STANDARD,1725.386474609375,0,R_A6
307.97650146484375,18,42,2018-01-01,307.97650146484375,17,0.0,18,1.0,STANDARD,1726.97314453125,0,R_A6
307.9424133300781,19,42,2018-01-01,307.9424133300781,17,0.0,25,1.0,STANDARD,1728.2711181640625,0,R_A6
308.4119873046875,20,42,2018-01-01,308.4119873046875,17,0.0,26,1.0,STANDARD,1729.9993896484375,0,R_A6
308.5758056640625,21,42,2018-01-01,308.5758056640625,17,0.0,27,1.0,STANDARD,1731.7276611328125,0,R_A6
308.7396240234375,22,42,2018-01-01,308.7396240234375,17,0.0,28,1.0,STANDARD,1733.4560546875,0,R_A6
308.5976257324219,23,42,2018-01-01,308.5976257324219,17,0.0,29,1.0,STANDARD,1735.184326171875,0,R_A6
297.8704528808594,1,30,2018-03-01,297.8704528808594,22,0.0,1,0.05366510525345802,STANDARD,1640.7828369140625,0,R_A2
297.9853210449219,2,30,2018-03-01,297.9853210449219,22,0.0,2,0.054398685693740845,STANDARD,1642.496826171875,0,R_A2
298.10015869140625,3,30,2018-03-01,298.10015869140625,22,0.0,3,0.05848116800189018,STANDARD,1644.2108154296875,0,R_A2
298.21502685546875,4,30,2018-03-01,298.21502685546875,22,0.0,4,0.0628630518913269,STANDARD,1645.9248046875,0,R_A2
298.3298645019531,5,30,2018-03-01,298.3298645019531,22,0.0,5,0.06542164087295532,STANDARD,1647.638671875,0,R_A2
298.4682922363281,6,30,2018-03-01,298.4682922363281,22,0.0,6,0.31643420457839966,STANDARD,1649.3526611328125,0,R_A2
298.59222412109375,7,30,2018-03-01,298.59222412109375,22,0.0,7,0.8734354376792908,STANDARD,1651.066650390625,0,R_A2
298.7145690917969,8,30,2018-03-01,298.7145690917969,22,0.0,8,0.8517426252365112,STANDARD,1652.7806396484375,0,R_A2
299.08831787109375,9,30,2018-03-01,299.08831787109375,22,0.0,9,0.8708178400993347,STANDARD,1654.49462890625,0,R_A2
299.3579406738281,10,30,2018-03-01,299.3579406738281,22,0.0,10,0.8824396729469299,STANDARD,1656.208740234375,0,R_A2
299.03131103515625,11,30,2018-03-01,299.03131103515625,22,0.0,11,0.06825988739728928,STANDARD,1658.1060791015625,0,R_A2
299.17169189453125,12,30,2018-03-01,299.17169189453125,22,0.0,12,0.0776953175663948,STANDARD,1660.1868896484375,0,R_A2
299.35784912109375,13,30,2018-03-01,299.35784912109375,22,0.0,13,0.422260582447052,STANDARD,1662.2677001953125,0,R_A2
299.4983825683594,14,30,2018-03-01,299.4983825683594,22,0.0,14,0.4667205512523651,STANDARD,1664.3485107421875,0,R_A2
299.6414794921875,15,30,2018-03-01,299.6414794921875,22,0.0,15,0.9072346687316895,STANDARD,1666.4293212890625,0,R_A2
299.7841796875,16,30,2018-03-01,299.7841796875,22,0.0,16,0.9412646889686584,STANDARD,1668.510009765625,0,R_A2
299.92681884765625,17,30,2018-03-01,299.92681884765625,22,0.0,17,0.8977838158607483,STANDARD,1670.5908203125,0,R_A2
300.1066589355469,18,29,2018-03-01,300.1066589355469,22,0.0,17,0.9818177819252014,STANDARD,1675.9664306640625,0,R_A2
