DEPTH,WELL,DATE,CONBPRES,PRESSURE,CONIDX,CONJPOS,DRAWDOWN,CONKPOS,CONIPOS,WELLMODEL,SGAS,SWAT
1665.1241455078125,R_A2,2018-03-01,300.6316833496094,300.6316833496094,14,30,0,14,22,STANDARD,0.0,0.5081359148025513
1667.1199951171875,R_A2,2018-03-01,300.76849365234375,300.76849365234375,15,30,0,15,22,STANDARD,0.0,0.6799415349960327
1669.11572265625,R_A2,2018-03-01,300.90264892578125,300.90264892578125,16,30,0,16,22,STANDARD,0.0,0.9764872193336487
1671.111572265625,R_A2,2018-03-01,301.0369567871094,301.0369567871094,17,30,0,17,22,STANDARD,0.0,0.9520916938781738
1672.9881591796875,R_A2,2018-03-01,301.1629638671875,301.1629638671875,18,30,0,18,22,STANDARD,0.0,0.9803791642189026
1674.229736328125,R_A2,2018-03-01,301.15374755859375,301.15374755859375,19,29,0,18,22,STANDARD,0.0,0.9921008348464966
1676.1676025390625,R_A2,2018-03-01,301.48040771484375,301.48040771484375,20,29,0,27,22,STANDARD,0.0,0.4444972574710846
1677.9368896484375,R_A2,2018-03-01,302.52960205078125,302.52960205078125,21,29,0,28,22,STANDARD,-1.4373037265577593e-12,1.0
1679.7061767578125,R_A2,2018-03-01,303.2535400390625,303.2535400390625,22,29,0,29,22,STANDARD,-1.0991006011134424e-13,1.0
1681.4754638671875,R_A2,2018-03-01,303.6495361328125,303.6495361328125,23,29,0,30,22,STANDARD,-9.973341156567766e-15,1.0
1683.2447509765625,R_A2,2018-03-01,303.8954162597656,303.8954162597656,24,29,0,31,22,STANDARD,-2.1079778615468343e-15,1.0
1685.026611328125,R_A5,2018-04-28,267.7470703125,267.7470703125,1,20,0,1,31,STANDARD,-4.6353817052119384e-14,1.0
1687.3070068359375,R_A5,2018-04-28,267.9630126953125,267.9630126953125,2,20,0,2,31,STANDARD,-3.8900665729011547e-14,1.0
1689.5875244140625,R_A5,2018-04-28,268.17864990234375,268.17864990234375,3,20,0,3,31,STANDARD,-3.84383077125551e-14,1.0
1691.8680419921875,R_A5,2018-04-28,268.39410400390625,268.39410400390625,4,20,0,4,31,STANDARD,-4.169890344477012e-14,1.0
1694.1485595703125,R_A5,2018-04-28,268.6097717285156,268.6097717285156,5,20,0,5,31,STANDARD,-4.034002542814899e-14,1.0
1696.4290771484375,R_A5,2018-04-28,268.8255310058594,268.8255310058594,6,20,0,6,31,STANDARD,-4.0738666238181176e-14,1.0
1698.70947265625,R_A5,2018-04-28,269.3675231933594,269.3675231933594,7,20,0,7,31,STANDARD,-1.1576200237381918e-14,1.0
1707.6488037109375,R_A5,2018-04-28,278.1730041503906,278.1730041503906,8,20,0,11,31,STANDARD,-5.707409371502603e-12,1.0
1709.5638427734375,R_A5,2018-04-28,278.8083801269531,278.8083801269531,9,20,0,12,31,STANDARD,-1.1720102319201509e-11,1.0
1701.7845458984375,R_A5,2018-04-28,277.05584716796875,277.05584716796875,10,21,0,12,31,STANDARD,-3.4942531507153873e-11,1.0
1703.735107421875,R_A5,2018-04-28,277.25592041015625,277.25592041015625,11,21,0,13,31,STANDARD,-2.113108299450772e-12,1.0
1705.6856689453125,R_A5,2018-04-28,277.4461975097656,277.4461975097656,12,21,0,14,31,STANDARD,-2.9218231566846553e-12,1.0
