PRESSURE,CONKPOS,SWAT,DATE,CONIDX,WELLMODEL,CONIPOS,CONJPOS,CONBPRES,WELL,SGAS,DRAWDOWN,DEPTH
278.2093505859375,1,0.6497027277946472,2018-07-03,1,STANDARD,28,41,278.2093505859375,R_A3,0.0,0,1611.585205078125
278.36285400390625,2,0.20583266019821167,2018-07-03,2,STANDARD,28,41,278.36285400390625,R_A3,0.0,0,1613.6685791015625
278.5022277832031,3,0.31978192925453186,2018-07-03,3,STANDARD,28,41,278.5022277832031,R_A3,0.0,0,1615.751953125
278.6415710449219,4,0.25625577569007874,2018-07-03,4,STANDARD,28,41,278.6415710449219,R_A3,0.0,0,1617.8353271484375
279.32177734375,5,0.8101838827133179,2018-07-03,5,STANDARD,28,41,279.32177734375,R_A3,0.0,0,1619.918701171875
279.4314880371094,6,0.35736584663391113,2018-07-03,6,STANDARD,28,41,279.4314880371094,R_A3,0.0,0,1622.0020751953125
278.6960144042969,6,0.34106937050819397,2018-07-03,7,STANDARD,29,41,278.6960144042969,R_A3,0.0,0,1611.2529296875
278.8274841308594,7,0.2000322788953781,2018-07-03,8,STANDARD,29,41,278.8274841308594,R_A3,0.0,0,1613.2593994140625
278.9607238769531,8,0.2031739056110382,2018-07-03,9,STANDARD,29,41,278.9607238769531,R_A3,0.0,0,1615.265869140625
279.09326171875,9,0.6564708352088928,2018-07-03,10,STANDARD,29,41,279.09326171875,R_A3,0.0,0,1617.272216796875
279.5233154296875,10,0.8088594675064087,2018-07-03,11,STANDARD,29,41,279.5233154296875,R_A3,0.0,0,1619.2786865234375
283.0011291503906,11,0.049025263637304306,2018-07-03,12,STANDARD,29,41,283.0011291503906,R_A3,0.0,0,1621.3687744140625
283.1462707519531,12,0.05660160630941391,2018-07-03,13,STANDARD,29,41,283.1462707519531,R_A3,0.0,0,1623.54248046875
283.2915344238281,13,0.38137516379356384,2018-07-03,14,STANDARD,29,41,283.2915344238281,R_A3,0.0,0,1625.7161865234375
283.9244689941406,14,0.38948848843574524,2018-07-03,15,STANDARD,29,41,283.9244689941406,R_A3,0.0,0,1627.889892578125
283.3432922363281,15,0.5190311074256897,2018-07-03,16,STANDARD,29,41,283.3432922363281,R_A3,0.0,0,1629.9632568359375
283.45294189453125,16,0.8148482441902161,2018-07-03,17,STANDARD,29,41,283.45294189453125,R_A3,0.0,0,1631.6019287109375
