CONKPOS,WELLMODEL,SGAS,CONJPOS,SWAT,CONBPRES,CONIDX,CONIPOS,PRESSURE,WELL,DRAWDOWN,DATE,DEPTH
5,STANDARD,0.0,52,0.19793283939361572,280.42230224609375,6,31,280.42230224609375,R_A4,0,2018-09-12,1635.06201171875
5,STANDARD,0.0,52,0.2801268398761749,280.54412841796875,7,32,280.54412841796875,R_A4,0,2018-09-12,1633.8167724609375
4,STANDARD,0.0,52,0.05368467792868614,280.3486328125,8,32,280.3486328125,R_A4,0,2018-09-12,1631.934326171875
4,STANDARD,0.0,51,0.05587627738714218,280.5120849609375,9,32,280.5120849609375,R_A4,0,2018-09-12,1636.04150390625
4,STANDARD,0.0,51,0.056322064250707626,280.71502685546875,10,33,280.71502685546875,R_A4,0,2018-09-12,1637.1239013671875
3,STANDARD,0.0,51,0.08400106430053711,280.5874938964844,11,33,280.5874938964844,R_A4,0,2018-09-12,1635.2117919921875
4,STANDARD,0.0,50,0.05901963636279106,280.96893310546875,12,33,280.96893310546875,R_A4,0,2018-09-12,1642.2882080078125
4,STANDARD,0.0,50,0.059464097023010254,280.9405822753906,13,34,280.9405822753906,R_A4,0,2018-09-12,1640.323974609375
3,STANDARD,0.0,50,0.1767074018716812,280.8146057128906,14,34,280.8146057128906,R_A4,0,2018-09-12,1638.43505859375
3,STANDARD,0.0,50,0.22420726716518402,280.8593444824219,15,35,280.8593444824219,R_A4,0,2018-09-12,1638.1741943359375
3,STANDARD,0.0,49,0.2321687787771225,281.1990966796875,16,35,281.1990966796875,R_A4,0,2018-09-12,1644.172119140625
28,STANDARD,0.0,49,0.05561869591474533,279.0533752441406,17,36,279.0533752441406,R_A4,0,2018-09-12,1643.8502197265625
28,STANDARD,0.0,48,0.056639160960912704,278.90869140625,18,36,278.90869140625,R_A4,0,2018-09-12,1644.9219970703125
28,STANDARD,0.0,48,0.23744511604309082,279.4746398925781,19,37,279.4746398925781,R_A4,0,2018-09-12,1649.7161865234375
27,STANDARD,0.0,48,0.054823435842990875,279.0697937011719,20,37,279.0697937011719,R_A4,0,2018-09-12,1644.139892578125
27,STANDARD,0.0,48,0.05627237260341644,279.5853576660156,21,38,279.5853576660156,R_A4,0,2018-09-12,1648.583984375
27,STANDARD,0.0,47,0.06672008335590363,280.1148376464844,22,38,280.1148376464844,R_A4,0,2018-09-12,1658.8201904296875
1,STANDARD,-9.438205425538193e-13,42,1.0,277.5187683105469,1,17,277.5187683105469,R_A6,0,2018-11-07,1694.2593994140625
2,STANDARD,-5.54371381699531e-13,42,1.0,277.6643981933594,2,17,277.6643981933594,R_A6,0,2018-11-07,1695.7939453125
3,STANDARD,-4.167124002633915e-13,42,1.0,277.8095703125,3,17,277.8095703125,R_A6,0,2018-11-07,1697.3284912109375
