SGAS,CONIPOS,CONKPOS,SWAT,PRESSURE,WELLMODEL,CONIDX,CONBPRES,CONJPOS,WELL,DATE,DEPTH,DRAWDOWN
0.0,17,2,1.0,305.1646728515625,STANDARD,2,305.1646728515625,42,R_A6,2018-01-01,1695.735107421875,0
0.0,17,3,1.0,305.3094787597656,STANDARD,3,305.3094787597656,42,R_A6,2018-01-01,1697.2633056640625,0
0.0,17,4,1.0,305.4543151855469,STANDARD,4,305.4543151855469,42,R_A6,2018-01-01,1698.7913818359375,0
0.0,17,5,1.0,305.59912109375,STANDARD,5,305.59912109375,42,R_A6,2018-01-01,1700.319580078125,0
0.0,17,6,1.0,305.7439270019531,STANDARD,6,305.7439270019531,42,R_A6,2018-01-01,1701.84765625,0
0.0,17,7,1.0,305.5896911621094,STANDARD,7,305.5896911621094,42,R_A6,2018-01-01,1703.375732421875,0
0.0,17,8,1.0,305.7345275878906,STANDARD,8,305.7345275878906,42,R_A6,2018-01-01,1704.9039306640625,0
0.0,17,9,1.0,306.17840576171875,STANDARD,9,306.17840576171875,42,R_A6,2018-01-01,1706.4320068359375,0
0.0,17,10,1.0,306.0174255371094,STANDARD,10,306.0174255371094,42,R_A6,2018-01-01,1707.960205078125,0
0.0,17,11,1.0,306.2000732421875,STANDARD,11,306.2000732421875,42,R_A6,2018-01-01,1709.885986328125,0
0.0,17,12,1.0,306.4202880859375,STANDARD,12,306.4202880859375,42,R_A6,2018-01-01,1712.20947265625,0
0.0,17,13,1.0,306.6524353027344,STANDARD,13,306.6524353027344,42,R_A6,2018-01-01,1714.532958984375,0
0.0,17,14,1.0,306.8726501464844,STANDARD,14,306.8726501464844,42,R_A6,2018-01-01,1716.8564453125,0
0.0,17,15,1.0,307.0928649902344,STANDARD,15,307.0928649902344,42,R_A6,2018-01-01,1719.179931640625,0
0.0,17,16,1.0,307.45806884765625,STANDARD,16,307.45806884765625,42,R_A6,2018-01-01,1721.5032958984375,0
