PRESSURE,CONJPOS,CONIPOS,WELL,CONKPOS,CONIDX,SWAT,CONBPRES,DATE,DRAWDOWN,WELLMODEL,SGAS,DEPTH
302.4239196777344,29,22,R_A2,28,23,0.9999999403953552,302.4239196777344,2018-03-01,0,STANDARD,-4.280767740283409e-09,1683.268798828125
302.5005187988281,29,22,R_A2,29,24,0.9999985694885254,302.5005187988281,2018-03-01,0,STANDARD,0.0,1684.987548828125
284.11114501953125,20,31,R_A5,1,1,1.0,284.11114501953125,2018-04-28,0,STANDARD,8.522604150185131e-11,1685.5169677734375
284.31317138671875,20,31,R_A5,2,2,1.0,284.31317138671875,2018-04-28,0,STANDARD,1.2392037396224964e-10,1687.65087890625
284.5150146484375,20,31,R_A5,3,3,1.0,284.5150146484375,2018-04-28,0,STANDARD,1.0490250335060125e-10,1689.7847900390625
284.71697998046875,20,31,R_A5,4,4,1.0,284.71697998046875,2018-04-28,0,STANDARD,1.1700178326190525e-10,1691.918701171875
284.9189453125,20,31,R_A5,5,5,1.0,284.9189453125,2018-04-28,0,STANDARD,9.450100424412966e-11,1694.0526123046875
285.1208801269531,20,31,R_A5,6,6,1.0,285.1208801269531,2018-04-28,0,STANDARD,7.6855438679857e-11,1696.1864013671875
285.63848876953125,20,31,R_A5,7,7,1.0,285.63848876953125,2018-04-28,0,STANDARD,6.843681437523896e-13,1698.3204345703125
285.8460693359375,20,31,R_A5,8,8,1.0,285.8460693359375,2018-04-28,0,STANDARD,0.0,1700.454345703125
272.3348693847656,21,31,R_A5,11,9,1.0,272.3348693847656,2018-04-28,0,STANDARD,-1.5195690539204776e-10,1700.47314453125
272.4526062011719,21,31,R_A5,12,10,1.0,272.4526062011719,2018-04-28,0,STANDARD,-9.805322526146298e-11,1702.4913330078125
272.658935546875,21,31,R_A5,13,11,1.0,272.658935546875,2018-04-28,0,STANDARD,0.0,1704.509521484375
272.86370849609375,21,31,R_A5,14,12,1.0,272.86370849609375,2018-04-28,0,STANDARD,-2.9346775010097303e-10,1706.5277099609375
273.06097412109375,21,31,R_A5,15,13,1.0,273.06097412109375,2018-04-28,0,STANDARD,-1.247096870216069e-10,1708.5458984375
273.409912109375,21,31,R_A5,16,14,1.0,273.409912109375,2018-04-28,0,STANDARD,-1.4128152640846547e-11,1710.5640869140625
273.6191101074219,21,31,R_A5,17,15,1.0,273.6191101074219,2018-04-28,0,STANDARD,-1.8508000687589288e-11,1712.582275390625
273.76263427734375,21,31,R_A5,18,16,1.0,273.76263427734375,2018-04-28,0,STANDARD,-1.7364373827710722e-11,1714.0079345703125
273.8238525390625,21,31,R_A5,19,17,1.0,273.8238525390625,2018-04-28,0,STANDARD,0.0,1714.63623046875
277.9937438964844,21,31,R_A5,25,18,1.0,277.9937438964844,2018-04-28,0,STANDARD,-3.096433942584298e-10,1715.9693603515625
278.5755920410156,21,31,R_A5,26,19,1.0,278.5755920410156,2018-04-28,0,STANDARD,-4.44397879606484e-10,1718.2119140625
291.8242492675781,21,31,R_A5,27,20,1.0,291.8242492675781,2018-04-28,0,STANDARD,-1.0173050323236869e-16,1720.45458984375
302.1995849609375,21,31,R_A5,28,21,1.0,302.1995849609375,2018-04-28,0,STANDARD,-1.3165940988069698e-17,1722.697265625
306.14044189453125,21,31,R_A5,29,22,1.0,306.14044189453125,2018-04-28,0,STANDARD,-7.190333132078314e-19,1724.93994140625
284.2368469238281,41,28,R_A3,1,1,0.6492964029312134,284.2368469238281,2018-07-03,0,STANDARD,0.0,1611.044677734375
284.3687438964844,41,28,R_A3,2,2,0.19715677201747894,284.3687438964844,2018-07-03,0,STANDARD,0.0,1613.1375732421875
284.5079040527344,41,28,R_A3,3,3,0.195855975151062,284.5079040527344,2018-07-03,0,STANDARD,0.0,1615.23046875
283.64056396484375,41,29,R_A3,3,4,0.18470117449760437,283.64056396484375,2018-07-03,0,STANDARD,0.0,1602.1478271484375
283.7814025878906,41,29,R_A3,4,5,0.21753059327602386,283.7814025878906,2018-07-03,0,STANDARD,0.0,1604.2559814453125
283.922607421875,41,29,R_A3,5,6,0.6490761041641235,283.922607421875,2018-07-03,0,STANDARD,0.0,1606.3642578125
284.0714416503906,41,29,R_A3,6,7,0.6490922570228577,284.0714416503906,2018-07-03,0,STANDARD,0.0,1608.472412109375
284.2287292480469,41,29,R_A3,7,8,0.1928080916404724,284.2287292480469,2018-07-03,0,STANDARD,0.0,1610.5806884765625
284.3697509765625,41,29,R_A3,8,9,0.19942691922187805,284.3697509765625,2018-07-03,0,STANDARD,0.0,1612.68896484375
285.01324462890625,41,29,R_A3,9,10,0.7787781953811646,285.01324462890625,2018-07-03,0,STANDARD,0.0,1614.797119140625
285.25323486328125,41,29,R_A3,10,11,0.17627887427806854,285.25323486328125,2018-07-03,0,STANDARD,0.0,1616.9053955078125
294.9861145019531,41,29,R_A3,11,12,0.04690684750676155,294.9861145019531,2018-07-03,0,STANDARD,0.0,1619.093994140625
295.1380615234375,41,29,R_A3,12,13,0.05220314487814903,295.1380615234375,2018-07-03,0,STANDARD,0.0,1621.3631591796875
295.29046630859375,41,29,R_A3,13,14,0.3651863932609558,295.29046630859375,2018-07-03,0,STANDARD,0.0,1623.63232421875
296.0640563964844,41,29,R_A3,15,15,0.49754810333251953,296.0640563964844,2018-07-03,0,STANDARD,0.0,1628.1707763671875
296.21209716796875,41,29,R_A3,16,16,0.8003672957420349,296.21209716796875,2018-07-03,0,STANDARD,0.0,1630.30859375
285.0404357910156,41,29,R_A3,25,17,0.13520964980125427,285.0404357910156,2018-07-03,0,STANDARD,0.0,1633.36474609375
285.2843322753906,41,29,R_A3,26,18,0.04543410614132881,285.2843322753906,2018-07-03,0,STANDARD,0.0,1637.114501953125
285.5347595214844,41,29,R_A3,27,19,0.04905445873737335,285.5347595214844,2018-07-03,0,STANDARD,0.0,1640.8643798828125
285.73541259765625,41,29,R_A3,28,20,0.6504907608032227,285.73541259765625,2018-07-03,0,STANDARD,0.0,1644.6141357421875
285.93505859375,41,29,R_A3,29,21,0.06382519751787186,285.93505859375,2018-07-03,0,STANDARD,0.0,1648.3638916015625
277.5115051269531,52,30,R_A4,1,1,0.0498068630695343,277.5115051269531,2018-09-12,0,STANDARD,0.0,1632.4859619140625
