SWAT,SGAS,CONIDX,CONJPOS,WELLMODEL,WELL,CONIPOS,CONKPOS,DEPTH,CONBPRES,DRAWDOWN,DATE,PRESSURE
1.0,0.0,7,20,STANDARD,R_A5,31,7,1698.70947265625,305.446533203125,0,2018-01-01,305.446533203125
1.0,0.0,8,20,STANDARD,R_A5,31,11,1707.6488037109375,305.988037109375,0,2018-01-01,305.988037109375
1.0,0.0,9,20,STANDARD,R_A5,31,12,1709.5638427734375,306.1695251464844,0,2018-01-01,306.1695251464844
1.0,0.0,10,21,STANDARD,R_A5,31,12,1701.7845458984375,305.4322814941406,0,2018-01-01,305.4322814941406
1.0,0.0,11,21,STANDARD,R_A5,31,13,1703.735107421875,305.6291198730469,0,2018-01-01,305.6291198730469
1.0,0.0,12,21,STANDARD,R_A5,31,14,1705.6856689453125,305.81396484375,0,2018-01-01,305.81396484375
1.0,0.0,13,21,STANDARD,R_A5,31,15,1707.63623046875,305.9988098144531,0,2018-01-01,305.9988098144531
1.0,0.0,14,21,STANDARD,R_A5,31,16,1709.5867919921875,306.3287048339844,0,2018-01-01,306.3287048339844
1.0,0.0,15,21,STANDARD,R_A5,31,17,1711.537353515625,306.5135498046875,0,2018-01-01,306.5135498046875
1.0,0.0,16,21,STANDARD,R_A5,31,18,1713.35400390625,306.6856994628906,0,2018-01-01,306.6856994628906
1.0,0.0,17,21,STANDARD,R_A5,31,19,1714.3951416015625,306.7843933105469,0,2018-01-01,306.7843933105469
1.0,0.0,18,21,STANDARD,R_A5,31,27,1715.7628173828125,306.75689697265625,0,2018-01-01,306.75689697265625
1.0,0.0,19,21,STANDARD,R_A5,31,28,1718.098388671875,306.978271484375,0,2018-01-01,306.978271484375
1.0,0.0,20,21,STANDARD,R_A5,31,29,1720.43408203125,307.5054016113281,0,2018-01-01,307.5054016113281
1.0,0.0,21,21,STANDARD,R_A5,31,30,1722.7696533203125,307.7267761230469,0,2018-01-01,307.7267761230469
1.0,0.0,22,21,STANDARD,R_A5,31,31,1725.105224609375,307.9481506347656,0,2018-01-01,307.9481506347656
1.0,0.0,1,42,STANDARD,R_A6,17,1,1695.20263671875,305.11419677734375,0,2018-01-01,305.11419677734375
1.0,0.0,2,42,STANDARD,R_A6,17,2,1696.7510986328125,304.9618835449219,0,2018-01-01,304.9618835449219
1.0,0.0,3,42,STANDARD,R_A6,17,3,1698.299560546875,305.4076843261719,0,2018-01-01,305.4076843261719
1.0,0.0,4,42,STANDARD,R_A6,17,4,1699.84814453125,305.554443359375,0,2018-01-01,305.554443359375
1.0,0.0,5,42,STANDARD,R_A6,17,5,1701.3966064453125,305.7012023925781,0,2018-01-01,305.7012023925781
1.0,0.0,6,42,STANDARD,R_A6,17,6,1702.9451904296875,305.84796142578125,0,2018-01-01,305.84796142578125
1.0,0.0,7,42,STANDARD,R_A6,17,7,1704.49365234375,305.6956481933594,0,2018-01-01,305.6956481933594
1.0,0.0,8,42,STANDARD,R_A6,17,8,1706.042236328125,305.8424072265625,0,2018-01-01,305.8424072265625
1.0,0.0,9,42,STANDARD,R_A6,17,9,1707.5906982421875,306.2882080078125,0,2018-01-01,306.2882080078125
1.0,0.0,10,42,STANDARD,R_A6,17,10,1709.1392822265625,306.1291809082031,0,2018-01-01,306.1291809082031
1.0,0.0,11,42,STANDARD,R_A6,17,11,1711.055419921875,306.3109130859375,0,2018-01-01,306.3109130859375
1.0,0.0,12,42,STANDARD,R_A6,17,12,1713.3392333984375,306.52734375,0,2018-01-01,306.52734375
1.0,0.0,13,42,STANDARD,R_A6,17,13,1715.623046875,306.7557678222656,0,2018-01-01,306.7557678222656
1.0,0.0,14,42,STANDARD,R_A6,17,14,1717.9068603515625,306.9721984863281,0,2018-01-01,306.9721984863281
1.0,0.0,15,42,STANDARD,R_A6,17,15,1720.190673828125,307.18865966796875,0,2018-01-01,307.18865966796875
1.0,0.0,16,42,STANDARD,R_A6,17,16,1722.474365234375,307.55010986328125,0,2018-01-01,307.55010986328125
1.0,0.0,17,42,STANDARD,R_A6,17,17,1724.7581787109375,307.7665710449219,0,2018-01-01,307.7665710449219
1.0,0.0,18,42,STANDARD,R_A6,17,18,1726.394287109375,307.921630859375,0,2018-01-01,307.921630859375
1.0,0.0,19,42,STANDARD,R_A6,17,27,1727.7508544921875,307.8930969238281,0,2018-01-01,307.8930969238281
1.0,0.0,20,42,STANDARD,R_A6,17,28,1729.4755859375,308.3623352050781,0,2018-01-01,308.3623352050781
1.0,0.0,21,42,STANDARD,R_A6,17,29,1731.2001953125,308.52581787109375,0,2018-01-01,308.52581787109375
1.0,0.0,22,42,STANDARD,R_A6,17,30,1732.9249267578125,308.68927001953125,0,2018-01-01,308.68927001953125
1.0,0.0,23,42,STANDARD,R_A6,17,31,1734.649658203125,308.5469665527344,0,2018-01-01,308.5469665527344
0.0617954395711422,0.0,1,30,STANDARD,R_A2,22,1,1641.094970703125,298.4752197265625,0,2018-03-01,298.4752197265625
0.06299395859241486,0.0,2,30,STANDARD,R_A2,22,2,1642.8890380859375,298.5954895019531,0,2018-03-01,298.5954895019531
0.0661349818110466,0.0,3,30,STANDARD,R_A2,22,3,1644.68310546875,298.7157287597656,0,2018-03-01,298.7157287597656
0.07212945073843002,0.0,4,30,STANDARD,R_A2,22,4,1646.4771728515625,298.83599853515625,0,2018-03-01,298.83599853515625
0.07523205131292343,0.0,5,30,STANDARD,R_A2,22,5,1648.2713623046875,298.95623779296875,0,2018-03-01,298.95623779296875
0.3240942358970642,0.0,6,30,STANDARD,R_A2,22,6,1650.0654296875,299.10302734375,0,2018-03-01,299.10302734375
0.9244839549064636,0.0,7,30,STANDARD,R_A2,22,7,1651.859619140625,299.2264099121094,0,2018-03-01,299.2264099121094
0.8894371390342712,0.0,8,30,STANDARD,R_A2,22,8,1653.6536865234375,299.3499450683594,0,2018-03-01,299.3499450683594
0.943950891494751,0.0,9,30,STANDARD,R_A2,22,9,1655.44775390625,299.5389099121094,0,2018-03-01,299.5389099121094
0.9436277151107788,0.0,10,30,STANDARD,R_A2,22,10,1657.2418212890625,299.7469787597656,0,2018-03-01,299.7469787597656
0.09048627316951752,0.0,11,30,STANDARD,R_A2,22,11,1659.1368408203125,299.8359375,0,2018-03-01,299.8359375
0.1068686917424202,0.0,12,30,STANDARD,R_A2,22,12,1661.132568359375,299.970947265625,0,2018-03-01,299.970947265625
0.5015872120857239,0.0,13,30,STANDARD,R_A2,22,13,1663.12841796875,300.1712341308594,0,2018-03-01,300.1712341308594
0.5914852023124695,0.0,14,30,STANDARD,R_A2,22,14,1665.1241455078125,300.3094177246094,0,2018-03-01,300.3094177246094
0.7734203338623047,0.0,15,30,STANDARD,R_A2,22,15,1667.1199951171875,300.44451904296875,0,2018-03-01,300.44451904296875
1.0,-1.7627871384817695e-09,16,30,STANDARD,R_A2,22,16,1669.11572265625,300.57867431640625,0,2018-03-01,300.57867431640625
0.9947052001953125,0.0,17,30,STANDARD,R_A2,22,17,1671.111572265625,300.71282958984375,0,2018-03-01,300.71282958984375
1.0,-9.894653985043078e-10,18,30,STANDARD,R_A2,22,18,1672.9881591796875,301.0251770019531,0,2018-03-01,301.0251770019531
1.0,-8.720587585386852e-10,19,29,STANDARD,R_A2,22,18,1674.229736328125,301.0419616699219,0,2018-03-01,301.0419616699219
1.0,1.8273812909912202e-13,20,29,STANDARD,R_A2,22,27,1676.1676025390625,300.6595153808594,0,2018-03-01,300.6595153808594
1.0,-2.8971624587491083e-18,21,29,STANDARD,R_A2,22,28,1677.9368896484375,303.4518737792969,0,2018-03-01,303.4518737792969
1.0,-6.897392805009371e-19,22,29,STANDARD,R_A2,22,29,1679.7061767578125,303.6164855957031,0,2018-03-01,303.6164855957031
1.0,-1.6631987452223895e-19,23,29,STANDARD,R_A2,22,30,1681.4754638671875,303.7861328125,0,2018-03-01,303.7861328125
1.0,-2.0127123454527926e-20,24,29,STANDARD,R_A2,22,31,1683.2447509765625,303.96331787109375,0,2018-03-01,303.96331787109375
1.0,-1.2892036396761064e-11,1,20,STANDARD,R_A5,31,1,1685.026611328125,279.7792053222656,0,2018-04-28,279.7792053222656
1.0,-1.1911647015971916e-11,2,20,STANDARD,R_A5,31,2,1687.3070068359375,279.9950866699219,0,2018-04-28,279.9950866699219
1.0,-1.1318480874766834e-11,3,20,STANDARD,R_A5,31,3,1689.5875244140625,280.2110290527344,0,2018-04-28,280.2110290527344
1.0,-1.2619012605685764e-11,4,20,STANDARD,R_A5,31,4,1691.8680419921875,280.4269714355469,0,2018-04-28,280.4269714355469
1.0,-1.2320057300729825e-11,5,20,STANDARD,R_A5,31,5,1694.1485595703125,280.6429138183594,0,2018-04-28,280.6429138183594
1.0,-1.1791887778722643e-11,6,20,STANDARD,R_A5,31,6,1696.4290771484375,280.85882568359375,0,2018-04-28,280.85882568359375
1.0,-5.20950470261905e-13,7,20,STANDARD,R_A5,31,7,1698.70947265625,281.4105224609375,0,2018-04-28,281.4105224609375
1.0,-5.560160665218916e-11,8,20,STANDARD,R_A5,31,11,1707.6488037109375,279.8148193359375,0,2018-04-28,279.8148193359375
1.0,-4.91586632511698e-11,9,20,STANDARD,R_A5,31,12,1709.5638427734375,279.9783630371094,0,2018-04-28,279.9783630371094
1.0,-1.0877701517308935e-10,10,21,STANDARD,R_A5,31,12,1701.7845458984375,278.2322692871094,0,2018-04-28,278.2322692871094
1.0,-3.988688285910813e-12,11,21,STANDARD,R_A5,31,13,1703.735107421875,278.4263916015625,0,2018-04-28,278.4263916015625
1.0,-2.1790480878025598e-11,12,21,STANDARD,R_A5,31,14,1705.6856689453125,278.6077575683594,0,2018-04-28,278.6077575683594
1.0,-9.120954859442865e-12,13,21,STANDARD,R_A5,31,15,1707.63623046875,278.7875061035156,0,2018-04-28,278.7875061035156
1.0,-6.546152942626948e-12,14,21,STANDARD,R_A5,31,16,1709.5867919921875,279.0992431640625,0,2018-04-28,279.0992431640625
1.0,-1.823211720486384e-12,15,21,STANDARD,R_A5,31,17,1711.537353515625,279.2358093261719,0,2018-04-28,279.2358093261719
1.0,-3.4258069471493346e-12,16,21,STANDARD,R_A5,31,18,1713.35400390625,279.35479736328125,0,2018-04-28,279.35479736328125
1.0,0.0,17,21,STANDARD,R_A5,31,19,1714.3951416015625,279.4274597167969,0,2018-04-28,279.4274597167969
1.0,-1.0454136200373915e-13,18,21,STANDARD,R_A5,31,27,1715.7628173828125,279.3944396972656,0,2018-04-28,279.3944396972656
1.0,-1.9807587644735114e-13,19,21,STANDARD,R_A5,31,28,1718.098388671875,279.6148986816406,0,2018-04-28,279.6148986816406
1.0,-2.4601942770653927e-20,20,21,STANDARD,R_A5,31,29,1720.43408203125,284.7066345214844,0,2018-04-28,284.7066345214844
1.0,-1.4221683959881527e-19,21,21,STANDARD,R_A5,31,30,1722.7696533203125,280.0408630371094,0,2018-04-28,280.0408630371094
1.0,-1.2836732875344578e-19,22,21,STANDARD,R_A5,31,31,1725.105224609375,291.5061950683594,0,2018-04-28,291.5061950683594
0.6494188904762268,0.0,1,41,STANDARD,R_A3,28,1,1609.243408203125,278.4412536621094,0,2018-07-03,278.4412536621094
0.20320749282836914,0.0,2,41,STANDARD,R_A3,28,2,1611.3077392578125,278.57537841796875,0,2018-07-03,278.57537841796875
0.19894567131996155,0.0,3,41,STANDARD,R_A3,28,3,1613.3720703125,278.7130432128906,0,2018-07-03,278.7130432128906
0.2604846656322479,0.0,4,41,STANDARD,R_A3,28,4,1615.4365234375,278.8507080078125,0,2018-07-03,278.8507080078125
0.8366190195083618,0.0,5,41,STANDARD,R_A3,28,5,1617.5008544921875,279.0115966796875,0,2018-07-03,279.0115966796875
0.6508246064186096,0.0,6,41,STANDARD,R_A3,28,6,1619.565185546875,279.0796203613281,0,2018-07-03,279.0796203613281
0.6510218381881714,0.0,7,41,STANDARD,R_A3,29,6,1609.3663330078125,278.379638671875,0,2018-07-03,278.379638671875
0.20456650853157043,0.0,8,41,STANDARD,R_A3,29,7,1611.4163818359375,278.53125,0,2018-07-03,278.53125
0.20739047229290009,0.0,9,41,STANDARD,R_A3,29,8,1613.46630859375,278.6679992675781,0,2018-07-03,278.6679992675781
0.8104060292243958,0.0,10,41,STANDARD,R_A3,29,9,1615.516357421875,278.9095458984375,0,2018-07-03,278.9095458984375
0.8068735003471375,0.0,11,41,STANDARD,R_A3,29,10,1617.5662841796875,282.3991394042969,0,2018-07-03,282.3991394042969
0.049801357090473175,0.0,12,41,STANDARD,R_A3,29,11,1619.750732421875,283.3648681640625,0,2018-07-03,283.3648681640625
0.057197973132133484,0.0,13,41,STANDARD,R_A3,29,12,1622.0697021484375,283.5196838378906,0,2018-07-03,283.5196838378906
0.3784480094909668,0.0,14,41,STANDARD,R_A3,29,13,1624.388671875,283.6749572753906,0,2018-07-03,283.6749572753906
0.41167595982551575,0.0,15,41,STANDARD,R_A3,29,15,1629.026611328125,283.85577392578125,0,2018-07-03,283.85577392578125
0.8168070912361145,0.0,16,41,STANDARD,R_A3,29,16,1630.9468994140625,283.96771240234375,0,2018-07-03,283.96771240234375
0.6541773080825806,0.0,17,41,STANDARD,R_A3,29,27,1633.5262451171875,283.9204406738281,0,2018-07-03,283.9204406738281
0.04970323294401169,0.0,18,41,STANDARD,R_A3,29,28,1637.1630859375,284.1457214355469,0,2018-07-03,284.1457214355469
0.05863109976053238,0.0,19,41,STANDARD,R_A3,29,29,1640.8001708984375,284.3885803222656,0,2018-07-03,284.3885803222656
1.0,-6.934985355075418e-14,20,41,STANDARD,R_A3,29,30,1644.4371337890625,287.52276611328125,0,2018-07-03,287.52276611328125
0.06845085322856903,0.0,21,41,STANDARD,R_A3,29,31,1648.0740966796875,284.87896728515625,0,2018-07-03,284.87896728515625
0.05248717591166496,0.0,1,52,STANDARD,R_A4,30,1,1631.1873779296875,275.9069519042969,0,2018-09-12,275.9069519042969
0.05233044922351837,0.0,2,52,STANDARD,R_A4,31,1,1627.4293212890625,275.7677917480469,0,2018-09-12,275.7677917480469
0.05403507128357887,0.0,3,52,STANDARD,R_A4,31,2,1629.4896240234375,275.9050598144531,0,2018-09-12,275.9050598144531
0.05677596107125282,0.0,4,52,STANDARD,R_A4,31,3,1631.5498046875,276.04229736328125,0,2018-09-12,276.04229736328125
0.06195664033293724,0.0,5,52,STANDARD,R_A4,31,4,1633.610107421875,276.1794738769531,0,2018-09-12,276.1794738769531
0.05962993949651718,0.0,6,52,STANDARD,R_A4,32,4,1632.3968505859375,276.1843566894531,0,2018-09-12,276.1843566894531
0.06291045993566513,0.0,7,51,STANDARD,R_A4,32,4,1635.880615234375,276.3768310546875,0,2018-09-12,276.3768310546875
0.09806548058986664,0.0,8,51,STANDARD,R_A4,33,4,1637.321044921875,276.5498962402344,0,2018-09-12,276.5498962402344
0.17367394268512726,0.0,9,51,STANDARD,R_A4,33,3,1635.474609375,276.42718505859375,0,2018-09-12,276.42718505859375
0.200095072388649,0.0,10,50,STANDARD,R_A4,33,4,1642.1485595703125,276.5854797363281,0,2018-09-12,276.5854797363281
0.1692565381526947,0.0,11,50,STANDARD,R_A4,34,4,1641.132080078125,276.61328125,0,2018-09-12,276.61328125
