CONIPOS,PRESSURE,CONBPRES,WELLMODEL,CONKPOS,DEPTH,DRAWDOWN,SWAT,WELL,SGAS,DATE,CONJPOS,CONIDX
31,306.7843933105469,306.7843933105469,STANDARD,19,1714.3951416015625,0,1.0,R_A5,0.0,2018-01-01,21,17
31,306.75689697265625,306.75689697265625,STANDARD,27,1715.7628173828125,0,1.0,R_A5,0.0,2018-01-01,21,18
31,306.978271484375,306.978271484375,STANDARD,28,1718.098388671875,0,1.0,R_A5,0.0,2018-01-01,21,19
31,307.5054016113281,307.5054016113281,STANDARD,29,1720.43408203125,0,1.0,R_A5,0.0,2018-01-01,21,20
31,307.7267761230469,307.7267761230469,STANDARD,30,1722.7696533203125,0,1.0,R_A5,0.0,2018-01-01,21,21
31,307.9481506347656,307.9481506347656,STANDARD,31,1725.105224609375,0,1.0,R_A5,0.0,2018-01-01,21,22
17,305.11419677734375,305.11419677734375,STANDARD,1,1695.20263671875,0,1.0,R_A6,0.0,2018-01-01,42,1
17,305.2609558105469,305.2609558105469,STANDARD,2,1696.7510986328125,0,1.0,R_A6,0.0,2018-01-01,42,2
17,305.4076843261719,305.4076843261719,STANDARD,3,1698.299560546875,0,1.0,R_A6,0.0,2018-01-01,42,3
17,305.554443359375,305.554443359375,STANDARD,4,1699.84814453125,0,1.0,R_A6,0.0,2018-01-01,42,4
17,305.7012023925781,305.7012023925781,STANDARD,5,1701.3966064453125,0,1.0,R_A6,0.0,2018-01-01,42,5
17,305.84796142578125,305.84796142578125,STANDARD,6,1702.9451904296875,0,1.0,R_A6,0.0,2018-01-01,42,6
17,305.6956481933594,305.6956481933594,STANDARD,7,1704.49365234375,0,1.0,R_A6,0.0,2018-01-01,42,7
17,305.8424072265625,305.8424072265625,STANDARD,8,1706.042236328125,0,1.0,R_A6,0.0,2018-01-01,42,8
17,306.2882080078125,306.2882080078125,STANDARD,9,1707.5906982421875,0,1.0,R_A6,0.0,2018-01-01,42,9
17,306.1291809082031,306.1291809082031,STANDARD,10,1709.1392822265625,0,1.0,R_A6,0.0,2018-01-01,42,10
17,306.3109130859375,306.3109130859375,STANDARD,11,1711.055419921875,0,1.0,R_A6,0.0,2018-01-01,42,11
17,306.52734375,306.52734375,STANDARD,12,1713.3392333984375,0,1.0,R_A6,0.0,2018-01-01,42,12
17,306.7557678222656,306.7557678222656,STANDARD,13,1715.623046875,0,1.0,R_A6,0.0,2018-01-01,42,13
17,306.9721984863281,306.9721984863281,STANDARD,14,1717.9068603515625,0,1.0,R_A6,0.0,2018-01-01,42,14
17,307.18865966796875,307.18865966796875,STANDARD,15,1720.190673828125,0,1.0,R_A6,0.0,2018-01-01,42,15
17,307.55010986328125,307.55010986328125,STANDARD,16,1722.474365234375,0,1.0,R_A6,0.0,2018-01-01,42,16
17,307.7665710449219,307.7665710449219,STANDARD,17,1724.7581787109375,0,1.0,R_A6,0.0,2018-01-01,42,17
17,307.921630859375,307.921630859375,STANDARD,18,1726.394287109375,0,1.0,R_A6,0.0,2018-01-01,42,18
17,307.8930969238281,307.8930969238281,STANDARD,27,1727.7508544921875,0,1.0,R_A6,0.0,2018-01-01,42,19
17,308.3623352050781,308.3623352050781,STANDARD,28,1729.4755859375,0,1.0,R_A6,0.0,2018-01-01,42,20
17,308.52581787109375,308.52581787109375,STANDARD,29,1731.2001953125,0,1.0,R_A6,0.0,2018-01-01,42,21
