CONBPRES,DRAWDOWN,SWAT,CONIPOS,WELLMODEL,DATE,PRESSURE,CONKPOS,CONIDX,CONJPOS,SGAS,DEPTH,WELL
304.67974853515625,0,1.0,31,STANDARD,2018-01-01,304.67974853515625,5,5,20,0.0,1693.8448486328125,R_A5
304.8902282714844,0,1.0,31,STANDARD,2018-01-01,304.8902282714844,6,6,20,0.0,1696.0660400390625,R_A5
305.4065246582031,0,1.0,31,STANDARD,2018-01-01,305.4065246582031,7,7,20,0.0,1698.287109375,R_A5
305.3179626464844,0,1.0,31,STANDARD,2018-01-01,305.3179626464844,8,8,20,0.0,1700.50830078125,R_A5
305.5284423828125,0,1.0,31,STANDARD,2018-01-01,305.5284423828125,9,9,20,0.0,1702.729248046875,R_A5
305.7389221191406,0,1.0,31,STANDARD,2018-01-01,305.7389221191406,10,10,20,0.0,1704.9503173828125,R_A5
305.191650390625,0,1.0,31,STANDARD,2018-01-01,305.191650390625,10,11,21,0.0,1699.24658203125,R_A5
305.39556884765625,0,1.0,31,STANDARD,2018-01-01,305.39556884765625,11,12,21,0.0,1701.397216796875,R_A5
305.590087890625,0,1.0,31,STANDARD,2018-01-01,305.590087890625,12,13,21,0.0,1703.44970703125,R_A5
305.79656982421875,0,1.0,31,STANDARD,2018-01-01,305.79656982421875,13,14,21,0.0,1705.502197265625,R_A5
305.9910888671875,0,1.0,31,STANDARD,2018-01-01,305.9910888671875,14,15,21,0.0,1707.5548095703125,R_A5
306.18560791015625,0,1.0,31,STANDARD,2018-01-01,306.18560791015625,15,16,21,0.0,1709.6072998046875,R_A5
306.525146484375,0,1.0,31,STANDARD,2018-01-01,306.525146484375,16,17,21,0.0,1711.6597900390625,R_A5
306.7165832519531,0,1.0,31,STANDARD,2018-01-01,306.7165832519531,17,18,21,0.0,1713.6796875,R_A5
306.8464660644531,0,1.0,31,STANDARD,2018-01-01,306.8464660644531,18,19,21,0.0,1715.050048828125,R_A5
306.8359680175781,0,1.0,31,STANDARD,2018-01-01,306.8359680175781,24,20,21,0.0,1716.596923828125,R_A5
307.047607421875,0,1.0,31,STANDARD,2018-01-01,307.047607421875,25,21,21,0.0,1718.830078125,R_A5
