WELLMODEL,DEPTH,WELL,SWAT,SGAS,CONIDX,CONKPOS,CONJPOS,CONIPOS,DRAWDOWN,CONBPRES,DATE,PRESSURE
STANDARD,1674.5677490234375,R_A2,0.9658077359199524,0.0,19,18,29,22,0,301.204833984375,2018-03-01,301.204833984375
STANDARD,1676.4000244140625,R_A2,0.649627149105072,0.0,20,26,29,22,0,302.1503601074219,2018-03-01,302.1503601074219
STANDARD,1678.189697265625,R_A2,0.831341564655304,0.0,21,27,29,22,0,303.2269287109375,2018-03-01,303.2269287109375
STANDARD,1679.9793701171875,R_A2,1.0,-5.449986271366316e-16,22,28,29,22,0,303.3651123046875,2018-03-01,303.3651123046875
STANDARD,1681.7691650390625,R_A2,1.0,-2.951501763058897e-15,23,29,29,22,0,303.8231201171875,2018-03-01,303.8231201171875
STANDARD,1683.558837890625,R_A2,1.0,-3.824557468276981e-15,24,30,29,22,0,303.98846435546875,2018-03-01,303.98846435546875
STANDARD,1685.9881591796875,R_A5,0.9999999403953552,-1.2679123306824636e-09,1,1,20,31,0,277.4788513183594,2018-04-28,277.4788513183594
STANDARD,1688.1651611328125,R_A5,1.0,-1.1576961611581282e-09,2,2,20,31,0,277.684814453125,2018-04-28,277.684814453125
STANDARD,1690.34228515625,R_A5,0.9999999403953552,-1.2994227915896772e-09,3,3,20,31,0,277.890869140625,2018-04-28,277.890869140625
STANDARD,1692.519287109375,R_A5,0.9999999403953552,-1.2849702413220143e-09,4,4,20,31,0,278.0969543457031,2018-04-28,278.0969543457031
STANDARD,1694.6964111328125,R_A5,0.9999999403953552,-1.2601863996763996e-09,5,5,20,31,0,278.3030700683594,2018-04-28,278.3030700683594
STANDARD,1696.873291015625,R_A5,1.0,-9.406632139885573e-10,6,6,20,31,0,278.50909423828125,2018-04-28,278.50909423828125
STANDARD,1699.0504150390625,R_A5,1.0,-8.248478289285543e-12,7,7,20,31,0,279.0645751953125,2018-04-28,279.0645751953125
STANDARD,1701.2274169921875,R_A5,1.0,-2.2139163766143888e-11,8,8,20,31,0,279.3189697265625,2018-04-28,279.3189697265625
STANDARD,1697.280029296875,R_A5,1.0,-1.2205449151370118e-10,9,10,21,31,0,277.5567626953125,2018-04-28,277.5567626953125
STANDARD,1699.4619140625,R_A5,1.0,-1.1555150065956088e-11,10,11,21,31,0,277.9610900878906,2018-04-28,277.9610900878906
STANDARD,1701.5045166015625,R_A5,1.0,-2.747676218495254e-12,11,12,21,31,0,278.255615234375,2018-04-28,278.255615234375
STANDARD,1703.5469970703125,R_A5,1.0,-1.0931185833893894e-13,12,13,21,31,0,278.4595031738281,2018-04-28,278.4595031738281
