WELL,DATE,CONJPOS,WELLMODEL,DRAWDOWN,CONBPRES,DEPTH,CONKPOS,SWAT,CONIDX,PRESSURE,CONIPOS,SGAS
R_A6,2018-01-01,42,STANDARD,0,305.3352966308594,1697.5357666015625,3,1.0,3,305.3352966308594,17,0.0
R_A6,2018-01-01,42,STANDARD,0,305.48101806640625,1699.0732421875,4,1.0,4,305.48101806640625,17,0.0
R_A6,2018-01-01,42,STANDARD,0,305.626708984375,1700.610595703125,5,1.0,5,305.626708984375,17,0.0
R_A6,2018-01-01,42,STANDARD,0,305.77239990234375,1702.14794921875,6,1.0,6,305.77239990234375,17,0.0
R_A6,2018-01-01,42,STANDARD,0,305.6190490722656,1703.6854248046875,7,1.0,7,305.6190490722656,17,0.0
R_A6,2018-01-01,42,STANDARD,0,305.7647399902344,1705.222900390625,8,1.0,8,305.7647399902344,17,0.0
R_A6,2018-01-01,42,STANDARD,0,306.2095031738281,1706.76025390625,9,1.0,9,306.2095031738281,17,0.0
R_A6,2018-01-01,42,STANDARD,0,306.0494079589844,1708.297607421875,10,1.0,10,306.0494079589844,17,0.0
R_A6,2018-01-01,42,STANDARD,0,306.2322082519531,1710.2252197265625,11,1.0,11,306.2322082519531,17,0.0
R_A6,2018-01-01,42,STANDARD,0,306.451904296875,1712.5430908203125,12,1.0,12,306.451904296875,17,0.0
R_A6,2018-01-01,42,STANDARD,0,306.68353271484375,1714.8609619140625,13,1.0,13,306.68353271484375,17,0.0
R_A6,2018-01-01,42,STANDARD,0,306.9031982421875,1717.1788330078125,14,1.0,14,306.9031982421875,17,0.0
R_A6,2018-01-01,42,STANDARD,0,307.12286376953125,1719.4967041015625,15,1.0,15,307.12286376953125,17,0.0
R_A6,2018-01-01,42,STANDARD,0,307.4875793457031,1721.8145751953125,16,1.0,16,307.4875793457031,17,0.0
R_A6,2018-01-01,42,STANDARD,0,307.7072448730469,1724.13232421875,17,1.0,17,307.7072448730469,17,0.0
R_A6,2018-01-01,42,STANDARD,0,307.8467102050781,1725.60400390625,18,1.0,18,307.8467102050781,17,0.0
R_A6,2018-01-01,42,STANDARD,0,307.8003845214844,1726.7725830078125,24,1.0,19,307.8003845214844,17,0.0
R_A6,2018-01-01,42,STANDARD,0,308.2684020996094,1728.484375,25,1.0,20,308.2684020996094,17,0.0
R_A6,2018-01-01,42,STANDARD,0,308.4306640625,1730.1962890625,26,1.0,21,308.4306640625,17,0.0
R_A6,2018-01-01,42,STANDARD,0,308.5928955078125,1731.908203125,27,1.0,22,308.5928955078125,17,0.0
R_A6,2018-01-01,42,STANDARD,0,308.4493713378906,1733.6199951171875,28,1.0,23,308.4493713378906,17,0.0
R_A2,2018-03-01,30,STANDARD,0,297.6049499511719,1639.07373046875,1,0.052745576947927475,1,297.6049499511719,22,0.0
R_A2,2018-03-01,30,STANDARD,0,297.7192687988281,1640.781005859375,2,0.0554058663547039,2,297.7192687988281,22,0.0
R_A2,2018-03-01,30,STANDARD,0,297.8336181640625,1642.4884033203125,3,0.05822655186057091,3,297.8336181640625,22,0.0
R_A2,2018-03-01,30,STANDARD,0,297.947998046875,1644.19580078125,4,0.0621967613697052,4,297.947998046875,22,0.0
R_A2,2018-03-01,30,STANDARD,0,298.06243896484375,1645.9031982421875,5,0.06520697474479675,5,298.06243896484375,22,0.0
R_A2,2018-03-01,30,STANDARD,0,298.2532958984375,1647.610595703125,6,0.3014461398124695,6,298.2532958984375,22,0.0
R_A2,2018-03-01,30,STANDARD,0,298.37890625,1649.3179931640625,7,0.8617081642150879,7,298.37890625,22,0.0
R_A2,2018-03-01,30,STANDARD,0,298.5007019042969,1651.025390625,8,0.8617775440216064,8,298.5007019042969,22,0.0
R_A2,2018-03-01,30,STANDARD,0,298.9305419921875,1652.7327880859375,9,0.8780860900878906,9,298.9305419921875,22,0.0
R_A2,2018-03-01,30,STANDARD,0,299.3763122558594,1654.440185546875,10,0.8897758722305298,10,299.3763122558594,22,0.0
R_A2,2018-03-01,30,STANDARD,0,299.7593994140625,1656.33154296875,11,0.06673062592744827,11,299.7593994140625,22,0.0
R_A2,2018-03-01,30,STANDARD,0,299.8985595703125,1658.4068603515625,12,0.06759302318096161,12,299.8985595703125,22,0.0
R_A2,2018-03-01,30,STANDARD,0,300.0396728515625,1660.482177734375,13,0.41880181431770325,13,300.0396728515625,22,0.0
R_A2,2018-03-01,30,STANDARD,0,300.1815185546875,1662.5576171875,14,0.4616684019565582,14,300.1815185546875,22,0.0
R_A2,2018-03-01,30,STANDARD,0,300.3241882324219,1664.6329345703125,15,0.8940845727920532,15,300.3241882324219,22,0.0
R_A2,2018-03-01,30,STANDARD,0,300.4653625488281,1666.708251953125,16,0.885315477848053,16,300.4653625488281,22,0.0
R_A2,2018-03-01,29,STANDARD,0,301.0331726074219,1673.219970703125,16,0.9558367133140564,17,301.0331726074219,22,0.0
R_A2,2018-03-01,29,STANDARD,0,301.17401123046875,1675.324462890625,17,0.965523898601532,18,301.17401123046875,22,0.0
R_A2,2018-03-01,29,STANDARD,0,301.27569580078125,1676.841064453125,18,0.9969244599342346,19,301.27569580078125,22,0.0
R_A2,2018-03-01,29,STANDARD,0,303.10662841796875,1678.1884765625,24,1.0,20,303.10662841796875,22,-1.4832462760797018e-16
R_A2,2018-03-01,29,STANDARD,0,303.30206298828125,1679.9228515625,25,1.0,21,303.30206298828125,22,-5.956545458095583e-17
R_A2,2018-03-01,29,STANDARD,0,303.8014831542969,1681.6572265625,26,1.0,22,303.8014831542969,22,-3.7113148939363645e-17
R_A2,2018-03-01,29,STANDARD,0,303.9779052734375,1683.3917236328125,27,1.0,23,303.9779052734375,22,-2.3432407133987895e-17
R_A2,2018-03-01,29,STANDARD,0,304.144287109375,1685.1260986328125,28,1.0,24,304.144287109375,22,-2.7100949841938123e-17
R_A5,2018-04-28,20,STANDARD,0,281.1868591308594,1686.958251953125,1,0.9999999403953552,1,281.1868591308594,31,-2.064257209610787e-09
R_A5,2018-04-28,20,STANDARD,0,281.39752197265625,1689.1846923828125,2,0.9999999403953552,2,281.39752197265625,31,-2.0117920662698907e-09
R_A5,2018-04-28,20,STANDARD,0,281.6080627441406,1691.4111328125,3,0.9999999403953552,3,281.6080627441406,31,-2.049385994240538e-09
R_A5,2018-04-28,20,STANDARD,0,281.81854248046875,1693.6375732421875,4,0.9999999403953552,4,281.81854248046875,31,-1.8615091690321606e-09
R_A5,2018-04-28,20,STANDARD,0,282.02886962890625,1695.864013671875,5,0.9999999403953552,5,282.02886962890625,31,-1.7919011829903297e-09
R_A5,2018-04-28,20,STANDARD,0,282.2390441894531,1698.09033203125,6,1.0,6,282.2390441894531,31,-1.2380683145352123e-09
R_A5,2018-04-28,20,STANDARD,0,282.7590637207031,1700.3167724609375,7,1.0,7,282.7590637207031,31,-6.252905745268711e-12
R_A5,2018-04-28,20,STANDARD,0,283.2062683105469,1702.543212890625,8,1.0,8,283.2062683105469,31,0.0
R_A5,2018-04-28,21,STANDARD,0,281.7801513671875,1690.923095703125,8,1.0,9,281.7801513671875,31,-1.5585586987665323e-10
R_A5,2018-04-28,21,STANDARD,0,276.5325622558594,1697.976318359375,11,1.0,10,276.5325622558594,31,-2.500906773339473e-11
R_A5,2018-04-28,21,STANDARD,0,276.734619140625,1700.111083984375,12,1.0,11,276.734619140625,31,-1.741737136462529e-11
R_A5,2018-04-28,21,STANDARD,0,276.9493408203125,1702.2459716796875,13,1.0,12,276.9493408203125,31,-1.2518342482406575e-12
R_A5,2018-04-28,21,STANDARD,0,277.1524353027344,1704.380859375,14,1.0,13,277.1524353027344,31,-1.6382649360366375e-12
R_A5,2018-04-28,21,STANDARD,0,277.8046875,1706.515625,15,1.0,14,277.8046875,31,-5.047647412895206e-13
R_A5,2018-04-28,21,STANDARD,0,278.5437927246094,1708.650390625,16,1.0,15,278.5437927246094,31,-8.13508670692055e-14
R_A5,2018-04-28,21,STANDARD,0,278.7528381347656,1710.78515625,17,1.0,16,278.7528381347656,31,-8.387805424184269e-14
R_A5,2018-04-28,21,STANDARD,0,278.9142150878906,1712.45361328125,18,1.0,17,278.9142150878906,31,-1.0625961915922133e-13
R_A5,2018-04-28,21,STANDARD,0,278.9968566894531,1713.3179931640625,19,1.0,18,278.9968566894531,31,0.0
R_A5,2018-04-28,21,STANDARD,0,285.69512939453125,1714.81396484375,24,1.0,19,285.69512939453125,31,-1.267160475940804e-13
R_A5,2018-04-28,21,STANDARD,0,285.9015808105469,1717.279296875,25,1.0,20,285.9015808105469,31,-2.875508508130083e-16
R_A5,2018-04-28,21,STANDARD,0,297.8912353515625,1719.74462890625,26,1.0,21,297.8912353515625,31,-4.593323601749306e-20
R_A5,2018-04-28,21,STANDARD,0,305.0810241699219,1722.2099609375,27,1.0,22,305.0810241699219,31,-8.89488759597473e-22
R_A5,2018-04-28,21,STANDARD,0,306.875,1724.67529296875,28,1.0,23,306.875,31,-2.5129561721711562e-23
R_A3,2018-07-03,41,STANDARD,0,277.5128479003906,1600.57080078125,1,0.32184872031211853,1,277.5128479003906,29,0.0
R_A3,2018-07-03,41,STANDARD,0,277.61328125,1602.719482421875,2,0.16653461754322052,2,277.61328125,29,0.0
R_A3,2018-07-03,41,STANDARD,0,277.7562561035156,1604.8680419921875,3,0.11936476081609726,3,277.7562561035156,29,0.0
R_A3,2018-07-03,41,STANDARD,0,277.89947509765625,1607.0167236328125,4,0.15603844821453094,4,277.89947509765625,29,0.0
R_A3,2018-07-03,41,STANDARD,0,278.1361999511719,1609.165283203125,5,0.8053889870643616,5,278.1361999511719,29,0.0
R_A3,2018-07-03,41,STANDARD,0,278.2109375,1611.3138427734375,6,0.6531697511672974,6,278.2109375,29,0.0
R_A3,2018-07-03,41,STANDARD,0,278.4067687988281,1613.4625244140625,7,0.19627249240875244,7,278.4067687988281,29,0.0
R_A3,2018-07-03,41,STANDARD,0,278.5509948730469,1615.611083984375,8,0.29059579968452454,8,278.5509948730469,29,0.0
R_A3,2018-07-03,41,STANDARD,0,278.8170471191406,1617.759765625,9,0.7954906821250916,9,278.8170471191406,29,0.0
R_A3,2018-07-03,41,STANDARD,0,281.64666748046875,1619.9083251953125,10,0.7943152785301208,10,281.64666748046875,29,0.0
R_A3,2018-07-03,41,STANDARD,0,284.5430908203125,1622.10595703125,11,0.04954368621110916,11,284.5430908203125,29,0.0
R_A3,2018-07-03,41,STANDARD,0,284.69317626953125,1624.3524169921875,12,0.05509630963206291,12,284.69317626953125,29,0.0
R_A3,2018-07-03,41,STANDARD,0,284.8448486328125,1626.5989990234375,13,0.3716401755809784,13,284.8448486328125,29,0.0
R_A3,2018-07-03,41,STANDARD,0,286.4717712402344,1631.092041015625,15,0.4991592764854431,14,286.4717712402344,29,0.0
R_A3,2018-07-03,41,STANDARD,0,286.5892333984375,1632.892822265625,16,0.8046485781669617,15,286.5892333984375,29,0.0
R_A3,2018-07-03,41,STANDARD,0,290.28179931640625,1635.35205078125,24,0.6487937569618225,16,290.28179931640625,29,0.0
R_A3,2018-07-03,41,STANDARD,0,286.203369140625,1638.8360595703125,25,0.04591573774814606,17,286.203369140625,29,0.0
R_A3,2018-07-03,41,STANDARD,0,286.4361572265625,1642.3199462890625,26,0.05279050022363663,18,286.4361572265625,29,0.0
R_A3,2018-07-03,41,STANDARD,0,289.239990234375,1645.803955078125,27,0.7971989512443542,19,289.239990234375,29,0.0
R_A3,2018-07-03,41,STANDARD,0,286.7779235839844,1649.2879638671875,28,0.13465885818004608,20,286.7779235839844,29,0.0
R_A4,2018-09-12,52,STANDARD,0,278.7283020019531,1629.6739501953125,1,0.050644416362047195,1,278.7283020019531,30,0.0
R_A4,2018-09-12,52,STANDARD,0,278.55804443359375,1624.7125244140625,1,0.10691818594932556,2,278.55804443359375,31,0.0
R_A4,2018-09-12,52,STANDARD,0,278.69866943359375,1626.82275390625,2,0.07709063589572906,3,278.69866943359375,31,0.0
R_A4,2018-09-12,52,STANDARD,0,278.8392333984375,1628.932861328125,3,0.08811190724372864,4,278.8392333984375,31,0.0
R_A4,2018-09-12,52,STANDARD,0,278.9796447753906,1631.0430908203125,4,0.05208113044500351,5,278.9796447753906,31,0.0
R_A4,2018-09-12,52,STANDARD,0,279.12017822265625,1633.1533203125,5,0.05443206802010536,6,279.12017822265625,31,0.0
R_A4,2018-09-12,52,STANDARD,0,279.2608642578125,1635.263427734375,6,0.05543064698576927,7,279.2608642578125,31,0.0
R_A4,2018-09-12,52,STANDARD,0,279.32159423828125,1634.4989013671875,6,0.056454338133335114,8,279.32159423828125,32,0.0
R_A4,2018-09-12,51,STANDARD,0,279.1150207519531,1635.4554443359375,6,0.056276049464941025,9,279.1150207519531,32,0.0
R_A4,2018-09-12,51,STANDARD,0,278.99371337890625,1633.6328125,5,0.05387414991855621,10,278.99371337890625,32,0.0
R_A4,2018-09-12,51,STANDARD,0,279.3947448730469,1637.3995361328125,5,0.058544665575027466,11,279.3947448730469,33,0.0
R_A4,2018-09-12,51,STANDARD,0,279.2709655761719,1635.544189453125,4,0.13786892592906952,12,279.2709655761719,33,0.0
R_A4,2018-09-12,50,STANDARD,0,279.5872497558594,1642.8387451171875,5,0.10044266283512115,13,279.5872497558594,33,0.0
R_A4,2018-09-12,50,STANDARD,0,279.63800048828125,1641.71142578125,5,0.062191594392061234,14,279.63800048828125,34,0.0
R_A4,2018-09-12,50,STANDARD,0,279.514892578125,1639.865478515625,4,0.06238856911659241,15,279.514892578125,34,0.0
