CONIDX,DATE,WELLMODEL,WELL,CONKPOS,DRAWDOWN,SWAT,SGAS,PRESSURE,CONIPOS,CONJPOS,DEPTH,CONBPRES
6,2018-01-01,STANDARD,R_A5,6,0,1.0,0.0,304.8907775878906,31,20,1696.07177734375,304.8907775878906
7,2018-01-01,STANDARD,R_A5,7,0,1.0,0.0,305.3983459472656,31,20,1698.200927734375,305.3983459472656
8,2018-01-01,STANDARD,R_A5,8,0,1.0,0.0,305.6001281738281,31,20,1700.330078125,305.6001281738281
9,2018-01-01,STANDARD,R_A5,10,0,1.0,0.0,305.451416015625,31,21,1698.760986328125,305.451416015625
10,2018-01-01,STANDARD,R_A5,11,0,1.0,0.0,305.3496398925781,31,21,1700.912353515625,305.3496398925781
11,2018-01-01,STANDARD,R_A5,12,0,1.0,0.0,305.5372009277344,31,21,1702.8916015625,305.5372009277344
12,2018-01-01,STANDARD,R_A5,13,0,1.0,0.0,305.73675537109375,31,21,1704.870849609375,305.73675537109375
13,2018-01-01,STANDARD,R_A5,14,0,1.0,0.0,305.92431640625,31,21,1706.8502197265625,305.92431640625
14,2018-01-01,STANDARD,R_A5,15,0,1.0,0.0,306.1119079589844,31,21,1708.8294677734375,306.1119079589844
15,2018-01-01,STANDARD,R_A5,16,0,1.0,0.0,306.4444885253906,31,21,1710.8087158203125,306.4444885253906
16,2018-01-01,STANDARD,R_A5,17,0,1.0,0.0,306.62908935546875,31,21,1712.7564697265625,306.62908935546875
17,2018-01-01,STANDARD,R_A5,18,0,1.0,0.0,306.75933837890625,31,21,1714.130859375,306.75933837890625
18,2018-01-01,STANDARD,R_A5,25,0,1.0,0.0,306.7701110839844,31,21,1715.9022216796875,306.7701110839844
19,2018-01-01,STANDARD,R_A5,26,0,1.0,0.0,306.9813537597656,31,21,1718.1309814453125,306.9813537597656
20,2018-01-01,STANDARD,R_A5,27,0,1.0,0.0,307.4983825683594,31,21,1720.3597412109375,307.4983825683594
21,2018-01-01,STANDARD,R_A5,28,0,1.0,0.0,307.7096252441406,31,21,1722.588623046875,307.7096252441406
22,2018-01-01,STANDARD,R_A5,29,0,1.0,0.0,307.9208679199219,31,21,1724.8173828125,307.9208679199219
1,2018-01-01,STANDARD,R_A6,1,0,1.0,0.0,305.0501403808594,17,42,1694.526611328125,305.0501403808594
2,2018-01-01,STANDARD,R_A6,2,0,1.0,0.0,305.1958312988281,17,42,1696.0638427734375,305.1958312988281
3,2018-01-01,STANDARD,R_A6,3,0,1.0,0.0,305.34149169921875,17,42,1697.60107421875,305.34149169921875
4,2018-01-01,STANDARD,R_A6,4,0,1.0,0.0,305.4871826171875,17,42,1699.1383056640625,305.4871826171875
5,2018-01-01,STANDARD,R_A6,5,0,1.0,0.0,305.6328430175781,17,42,1700.6754150390625,305.6328430175781
6,2018-01-01,STANDARD,R_A6,6,0,1.0,0.0,305.4794921875,17,42,1702.212646484375,305.4794921875
7,2018-01-01,STANDARD,R_A6,7,0,1.0,0.0,305.6251525878906,17,42,1703.7498779296875,305.6251525878906
8,2018-01-01,STANDARD,R_A6,8,0,1.0,0.0,305.7708435058594,17,42,1705.287109375,305.7708435058594
9,2018-01-01,STANDARD,R_A6,9,0,1.0,0.0,306.215576171875,17,42,1706.82421875,306.215576171875
10,2018-01-01,STANDARD,R_A6,10,0,1.0,0.0,306.36126708984375,17,42,1708.3614501953125,306.36126708984375
11,2018-01-01,STANDARD,R_A6,11,0,1.0,0.0,306.2369384765625,17,42,1710.27490234375,306.2369384765625
12,2018-01-01,STANDARD,R_A6,12,0,1.0,0.0,306.45391845703125,17,42,1712.564697265625,306.45391845703125
13,2018-01-01,STANDARD,R_A6,13,0,1.0,0.0,306.6828918457031,17,42,1714.8543701171875,306.6828918457031
14,2018-01-01,STANDARD,R_A6,14,0,1.0,0.0,306.89990234375,17,42,1717.14404296875,306.89990234375
15,2018-01-01,STANDARD,R_A6,15,0,1.0,0.0,307.1169128417969,17,42,1719.4337158203125,307.1169128417969
16,2018-01-01,STANDARD,R_A6,16,0,1.0,0.0,307.4789123535156,17,42,1721.723388671875,307.4789123535156
17,2018-01-01,STANDARD,R_A6,17,0,1.0,0.0,307.6959228515625,17,42,1724.0130615234375,307.6959228515625
18,2018-01-01,STANDARD,R_A6,18,0,1.0,0.0,307.84259033203125,17,42,1725.5604248046875,307.84259033203125
19,2018-01-01,STANDARD,R_A6,25,0,1.0,0.0,307.8047790527344,17,42,1726.8189697265625,307.8047790527344
20,2018-01-01,STANDARD,R_A6,26,0,1.0,0.0,307.967041015625,17,42,1728.531005859375,307.967041015625
21,2018-01-01,STANDARD,R_A6,27,0,1.0,0.0,308.4350891113281,17,42,1730.2430419921875,308.4350891113281
22,2018-01-01,STANDARD,R_A6,28,0,1.0,0.0,308.59735107421875,17,42,1731.9549560546875,308.59735107421875
23,2018-01-01,STANDARD,R_A6,29,0,1.0,0.0,308.4538269042969,17,42,1733.6671142578125,308.4538269042969
1,2018-03-01,STANDARD,R_A2,1,0,0.05201108381152153,0.0,298.7218017578125,22,30,1640.3272705078125,298.7218017578125
2,2018-03-01,STANDARD,R_A2,2,0,0.05553220584988594,0.0,298.8403625488281,22,30,1642.095947265625,298.8403625488281
3,2018-03-01,STANDARD,R_A2,3,0,0.058476634323596954,0.0,298.9589538574219,22,30,1643.8646240234375,298.9589538574219
4,2018-03-01,STANDARD,R_A2,4,0,0.06333646923303604,0.0,299.0775451660156,22,30,1645.6334228515625,299.0775451660156
5,2018-03-01,STANDARD,R_A2,5,0,0.06519613415002823,0.0,299.1960754394531,22,30,1647.402099609375,299.1960754394531
6,2018-03-01,STANDARD,R_A2,6,0,0.651251494884491,0.0,299.2996826171875,22,30,1649.1707763671875,299.2996826171875
7,2018-03-01,STANDARD,R_A2,7,0,0.8667547106742859,0.0,299.5468444824219,22,30,1650.939453125,299.5468444824219
8,2018-03-01,STANDARD,R_A2,8,0,0.648747444152832,0.0,299.71661376953125,22,30,1652.7081298828125,299.71661376953125
9,2018-03-01,STANDARD,R_A2,9,0,0.25963854789733887,0.0,299.9215087890625,22,30,1654.476806640625,299.9215087890625
