WELL,CONJPOS,CONIPOS,CONKPOS,SGAS,WELLMODEL,PRESSURE,DEPTH,CONBPRES,CONIDX,DATE,DRAWDOWN,SWAT
R_A4,49,36,29,0.0,STANDARD,277.8924255371094,1642.8848876953125,277.8924255371094,19,2018-09-12,0,0.1653524786233902
R_A4,48,36,29,0.0,STANDARD,277.52130126953125,1641.39404296875,277.52130126953125,20,2018-09-12,0,0.0928778350353241
R_A4,48,37,29,0.0,STANDARD,278.4193115234375,1648.5130615234375,278.4193115234375,21,2018-09-12,0,0.17808330059051514
R_A4,48,37,28,0.0,STANDARD,278.0348205566406,1642.849609375,278.0348205566406,22,2018-09-12,0,0.05628760904073715
R_A4,48,38,28,0.0,STANDARD,278.8080749511719,1648.566650390625,278.8080749511719,23,2018-09-12,0,0.09831470251083374
R_A4,47,38,28,0.0,STANDARD,279.15960693359375,1655.63916015625,279.15960693359375,24,2018-09-12,0,0.06229056417942047
R_A6,42,17,1,8.47364391246561e-15,STANDARD,278.5968322753906,1694.8916015625,278.5968322753906,1,2018-11-07,0,1.0
R_A6,42,17,2,6.634571906617703e-15,STANDARD,278.74322509765625,1696.438232421875,278.74322509765625,2,2018-11-07,0,1.0
R_A6,42,17,3,6.0093277603383635e-15,STANDARD,278.88885498046875,1697.98486328125,278.88885498046875,3,2018-11-07,0,1.0
R_A6,42,17,4,7.617943277062056e-15,STANDARD,279.03277587890625,1699.5316162109375,279.03277587890625,4,2018-11-07,0,1.0
R_A6,42,17,5,1.4673648106593336e-14,STANDARD,279.17535400390625,1701.0782470703125,279.17535400390625,5,2018-11-07,0,1.0
