SWAT,SGAS,CONIPOS,WELLMODEL,WELL,CONKPOS,CONIDX,DRAWDOWN,CONJPOS,DATE,PRESSURE,DEPTH,CONBPRES
1.0,0.0,17,STANDARD,R_A6,7,7,0,42,2018-01-01,305.7580261230469,1705.1517333984375,305.7580261230469
1.0,0.0,17,STANDARD,R_A6,8,8,0,42,2018-01-01,306.2047424316406,1706.7100830078125,306.2047424316406
1.0,0.0,17,STANDARD,R_A6,9,9,0,42,2018-01-01,306.3524475097656,1708.2684326171875,306.3524475097656
1.0,0.0,17,STANDARD,R_A6,10,10,0,42,2018-01-01,306.1943359375,1709.826904296875,306.1943359375
1.0,0.0,17,STANDARD,R_A6,11,11,0,42,2018-01-01,306.3757629394531,1711.73974609375,306.3757629394531
1.0,0.0,17,STANDARD,R_A6,12,12,0,42,2018-01-01,306.5906677246094,1714.00732421875,306.5906677246094
1.0,0.0,17,STANDARD,R_A6,13,13,0,42,2018-01-01,306.8175048828125,1716.2747802734375,306.8175048828125
1.0,0.0,17,STANDARD,R_A6,14,14,0,42,2018-01-01,307.03240966796875,1718.542236328125,307.03240966796875
1.0,0.0,17,STANDARD,R_A6,15,15,0,42,2018-01-01,307.247314453125,1720.809814453125,307.247314453125
1.0,0.0,17,STANDARD,R_A6,16,16,0,42,2018-01-01,307.60723876953125,1723.0772705078125,307.60723876953125
1.0,0.0,17,STANDARD,R_A6,17,17,0,42,2018-01-01,307.8221435546875,1725.3447265625,307.8221435546875
1.0,0.0,17,STANDARD,R_A6,18,18,0,42,2018-01-01,307.987060546875,1727.0845947265625,307.987060546875
1.0,0.0,17,STANDARD,R_A6,28,19,0,42,2018-01-01,307.9696960449219,1728.55908203125,307.9696960449219
1.0,0.0,17,STANDARD,R_A6,29,20,0,42,2018-01-01,308.4400634765625,1730.295654296875,308.4400634765625
1.0,0.0,17,STANDARD,R_A6,30,21,0,42,2018-01-01,308.60467529296875,1732.0323486328125,308.60467529296875
1.0,0.0,17,STANDARD,R_A6,31,22,0,42,2018-01-01,308.769287109375,1733.7689208984375,308.769287109375
1.0,0.0,17,STANDARD,R_A6,32,23,0,42,2018-01-01,308.6280822753906,1735.505615234375,308.6280822753906
0.056039389222860336,0.0,22,STANDARD,R_A2,1,1,0,30,2018-03-01,298.4688720703125,1640.04931640625,298.4688720703125
0.05815419927239418,0.0,22,STANDARD,R_A2,2,2,0,30,2018-03-01,298.5906677246094,1641.8671875,298.5906677246094
0.06091761589050293,0.0,22,STANDARD,R_A2,3,3,0,30,2018-03-01,298.71246337890625,1643.6849365234375,298.71246337890625
0.0663120299577713,0.0,22,STANDARD,R_A2,4,4,0,30,2018-03-01,298.83428955078125,1645.502685546875,298.83428955078125
0.07031981647014618,0.0,22,STANDARD,R_A2,5,5,0,30,2018-03-01,298.95611572265625,1647.3204345703125,298.95611572265625
0.1166146993637085,0.0,22,STANDARD,R_A2,6,6,0,30,2018-03-01,299.07794189453125,1649.13818359375,299.07794189453125
0.888336181640625,0.0,22,STANDARD,R_A2,7,7,0,30,2018-03-01,299.18988037109375,1650.9559326171875,299.18988037109375
0.6497752666473389,0.0,22,STANDARD,R_A2,8,8,0,30,2018-03-01,299.2748718261719,1652.773681640625,299.2748718261719
0.8948094844818115,0.0,22,STANDARD,R_A2,9,9,0,30,2018-03-01,299.5320129394531,1654.591552734375,299.5320129394531
0.9028668403625488,0.0,22,STANDARD,R_A2,10,10,0,30,2018-03-01,299.8133544921875,1656.4093017578125,299.8133544921875
0.07681358605623245,0.0,22,STANDARD,R_A2,11,11,0,30,2018-03-01,300.2975158691406,1658.3035888671875,300.2975158691406
0.07301774621009827,0.0,22,STANDARD,R_A2,12,12,0,30,2018-03-01,300.431396484375,1660.274658203125,300.431396484375
0.4593151807785034,0.0,22,STANDARD,R_A2,13,13,0,30,2018-03-01,300.61883544921875,1662.2457275390625,300.61883544921875
0.5059641599655151,0.0,22,STANDARD,R_A2,14,14,0,30,2018-03-01,300.7518310546875,1664.216796875,300.7518310546875
0.9509223103523254,0.0,22,STANDARD,R_A2,15,15,0,30,2018-03-01,300.8852844238281,1666.187744140625,300.8852844238281
0.956637442111969,0.0,22,STANDARD,R_A2,15,16,0,29,2018-03-01,300.8715515136719,1667.671142578125,300.8715515136719
0.9818440079689026,0.0,22,STANDARD,R_A2,16,17,0,29,2018-03-01,301.01727294921875,1669.828857421875,301.01727294921875
0.9658596515655518,0.0,22,STANDARD,R_A2,17,18,0,29,2018-03-01,301.162841796875,1671.986572265625,301.162841796875
0.9936766028404236,0.0,22,STANDARD,R_A2,18,19,0,29,2018-03-01,301.2982177734375,1674.000732421875,301.2982177734375
0.9999997615814209,-1.153556361543906e-08,22,STANDARD,R_A2,19,20,0,29,2018-03-01,301.37750244140625,1675.182373046875,301.37750244140625
1.0,-5.15232724699813e-16,22,STANDARD,R_A2,28,21,0,29,2018-03-01,302.96234130859375,1676.3226318359375,302.96234130859375
1.0,-3.5773833016310456e-16,22,STANDARD,R_A2,29,22,0,29,2018-03-01,303.41644287109375,1678.110595703125,303.41644287109375
1.0,-2.6687565007325767e-16,22,STANDARD,R_A2,30,23,0,29,2018-03-01,303.5064392089844,1679.8985595703125,303.5064392089844
1.0,-2.802534899188451e-17,22,STANDARD,R_A2,31,24,0,29,2018-03-01,303.43975830078125,1681.6865234375,303.43975830078125
1.0,-1.5612872331585031e-15,22,STANDARD,R_A2,32,25,0,29,2018-03-01,303.0778503417969,1683.474365234375,303.0778503417969
1.0,-2.6532870850773122e-15,31,STANDARD,R_A5,1,1,0,20,2018-04-28,277.757568359375,1684.6429443359375,277.757568359375
1.0,-2.456545260110898e-15,31,STANDARD,R_A5,2,2,0,20,2018-04-28,277.97021484375,1686.8876953125,277.97021484375
1.0,-2.4865223913889383e-15,31,STANDARD,R_A5,3,3,0,20,2018-04-28,278.1829833984375,1689.1324462890625,278.1829833984375
1.0,-2.9424673096434826e-15,31,STANDARD,R_A5,4,4,0,20,2018-04-28,278.39556884765625,1691.377197265625,278.39556884765625
1.0,-2.886698025121549e-15,31,STANDARD,R_A5,5,5,0,20,2018-04-28,278.6081848144531,1693.6219482421875,278.6081848144531
1.0,-2.7762400583601415e-15,31,STANDARD,R_A5,6,6,0,20,2018-04-28,278.82073974609375,1695.86669921875,278.82073974609375
1.0,-1.706916476196857e-17,31,STANDARD,R_A5,7,7,0,20,2018-04-28,279.3710021972656,1698.111328125,279.3710021972656
1.0,-1.2398532856861336e-14,31,STANDARD,R_A5,11,8,0,20,2018-04-28,278.05194091796875,1706.952392578125,278.05194091796875
1.0,-6.98879981664291e-11,31,STANDARD,R_A5,11,9,0,21,2018-04-28,276.239013671875,1699.936279296875,276.239013671875
1.0,-8.584843252945618e-11,31,STANDARD,R_A5,12,10,0,21,2018-04-28,276.41387939453125,1701.8046875,276.41387939453125
