CONIDX,SWAT,WELLMODEL,SGAS,WELL,DATE,CONJPOS,CONIPOS,CONBPRES,DRAWDOWN,CONKPOS,DEPTH,PRESSURE
8,0.8820475339889526,STANDARD,0.0,R_A2,2018-03-01,30,22,298.777099609375,0,8,1652.8214111328125,298.777099609375
9,0.9029843211174011,STANDARD,0.0,R_A2,2018-03-01,30,22,299.03662109375,0,9,1654.52978515625,299.03662109375
10,0.9240454435348511,STANDARD,0.0,R_A2,2018-03-01,30,22,299.3335876464844,0,10,1656.23828125,299.3335876464844
11,0.08091674000024796,STANDARD,0.0,R_A2,2018-03-01,30,22,300.8429870605469,0,11,1658.119140625,300.8429870605469
12,0.07042261958122253,STANDARD,0.0,R_A2,2018-03-01,30,22,300.99560546875,0,12,1660.172119140625,300.99560546875
13,0.47341567277908325,STANDARD,0.0,R_A2,2018-03-01,30,22,301.2166748046875,0,13,1662.2252197265625,301.2166748046875
14,0.5346066355705261,STANDARD,0.0,R_A2,2018-03-01,30,22,301.3544006347656,0,14,1664.2783203125,301.3544006347656
15,0.9633229970932007,STANDARD,0.0,R_A2,2018-03-01,30,22,301.49139404296875,0,15,1666.3314208984375,301.49139404296875
16,0.9866465926170349,STANDARD,0.0,R_A2,2018-03-01,30,22,301.6288146972656,0,16,1668.384521484375,301.6288146972656
17,0.9667547345161438,STANDARD,0.0,R_A2,2018-03-01,30,22,301.76641845703125,0,17,1670.4375,301.76641845703125
18,0.9995519518852234,STANDARD,0.0,R_A2,2018-03-01,30,22,301.87457275390625,0,18,1672.048828125,301.87457275390625
19,1.0,STANDARD,-1.52101886641276e-10,R_A2,2018-03-01,30,22,302.3348388671875,0,27,1673.5078125,302.3348388671875
20,1.0,STANDARD,-9.746789595209513e-17,R_A2,2018-03-01,30,22,303.04193115234375,0,28,1675.2562255859375,303.04193115234375
21,1.0,STANDARD,-1.0603656396458089e-17,R_A2,2018-03-01,30,22,303.3218994140625,0,29,1677.004638671875,303.3218994140625
22,1.0,STANDARD,5.090771410574914e-18,R_A2,2018-03-01,29,22,303.51263427734375,0,29,1683.743408203125,303.51263427734375
23,1.0,STANDARD,1.8203571834552368e-17,R_A2,2018-03-01,29,22,303.6541442871094,0,30,1685.4432373046875,303.6541442871094
24,1.0,STANDARD,1.5498942461476123e-13,R_A2,2018-03-01,29,22,303.4523010253906,0,31,1687.14306640625,303.4523010253906
1,1.0,STANDARD,-1.5093935478867316e-15,R_A5,2018-04-28,20,31,260.5135498046875,0,1,1683.5706787109375,260.5135498046875
2,1.0,STANDARD,-1.5562250466283562e-15,R_A5,2018-04-28,20,31,260.7184143066406,0,2,1685.736328125,260.7184143066406
3,1.0,STANDARD,-1.692917106073887e-15,R_A5,2018-04-28,20,31,260.9232482910156,0,3,1687.902099609375,260.9232482910156
4,1.0,STANDARD,-1.70351602934288e-15,R_A5,2018-04-28,20,31,261.1280822753906,0,4,1690.06787109375,261.1280822753906
5,1.0,STANDARD,-1.5476347561146583e-15,R_A5,2018-04-28,20,31,261.3329162597656,0,5,1692.233642578125,261.3329162597656
6,1.0,STANDARD,-1.6360494315776014e-15,R_A5,2018-04-28,20,31,261.5377502441406,0,6,1694.3992919921875,261.5377502441406
7,1.0,STANDARD,-9.268414503357846e-17,R_A5,2018-04-28,20,31,262.026123046875,0,7,1696.56494140625,262.026123046875
8,1.0,STANDARD,-2.958964017445089e-16,R_A5,2018-04-28,21,31,265.0750427246094,0,11,1702.039306640625,265.0750427246094
9,1.0,STANDARD,-3.63997559536179e-16,R_A5,2018-04-28,21,31,265.251708984375,0,12,1703.9906005859375,265.251708984375
10,1.0,STANDARD,-1.1636790092285794e-17,R_A5,2018-04-28,21,31,265.4484558105469,0,13,1705.94189453125,265.4484558105469
11,1.0,STANDARD,-2.2751472053734243e-17,R_A5,2018-04-28,21,31,265.6332702636719,0,14,1707.8931884765625,265.6332702636719
12,1.0,STANDARD,-4.8191319148574e-18,R_A5,2018-04-28,21,31,265.8753356933594,0,15,1709.844482421875,265.8753356933594
