PRESSURE,SWAT,DRAWDOWN,WELL,CONIDX,DEPTH,CONKPOS,DATE,CONBPRES,CONJPOS,WELLMODEL,SGAS,CONIPOS
304.3087158203125,1.0,0,R_A5,3,1689.9295654296875,3,2018-01-01,304.3087158203125,20,STANDARD,0.0,31
304.52587890625,1.0,0,R_A5,4,1692.22119140625,4,2018-01-01,304.52587890625,20,STANDARD,0.0,31
304.7430419921875,1.0,0,R_A5,5,1694.5126953125,5,2018-01-01,304.7430419921875,20,STANDARD,0.0,31
304.960205078125,1.0,0,R_A5,6,1696.80419921875,6,2018-01-01,304.960205078125,20,STANDARD,0.0,31
305.483154296875,1.0,0,R_A5,7,1699.095703125,7,2018-01-01,305.483154296875,20,STANDARD,0.0,31
305.23345947265625,1.0,0,R_A5,8,1699.6865234375,11,2018-01-01,305.23345947265625,21,STANDARD,0.0,31
305.4256591796875,1.0,0,R_A5,9,1701.71435546875,12,2018-01-01,305.4256591796875,21,STANDARD,0.0,31
305.6297912597656,1.0,0,R_A5,10,1703.7421875,13,2018-01-01,305.6297912597656,21,STANDARD,0.0,31
305.82196044921875,1.0,0,R_A5,11,1705.77001953125,14,2018-01-01,305.82196044921875,21,STANDARD,0.0,31
306.0141296386719,1.0,0,R_A5,12,1707.7978515625,15,2018-01-01,306.0141296386719,21,STANDARD,0.0,31
306.3513488769531,1.0,0,R_A5,13,1709.8258056640625,16,2018-01-01,306.3513488769531,21,STANDARD,0.0,31
306.54351806640625,1.0,0,R_A5,14,1711.8536376953125,17,2018-01-01,306.54351806640625,21,STANDARD,0.0,31
306.7184753417969,1.0,0,R_A5,15,1713.6995849609375,18,2018-01-01,306.7184753417969,21,STANDARD,0.0,31
306.8204040527344,1.0,0,R_A5,16,1714.7750244140625,19,2018-01-01,306.8204040527344,21,STANDARD,0.0,31
306.8008117675781,1.0,0,R_A5,17,1716.2259521484375,27,2018-01-01,306.8008117675781,21,STANDARD,0.0,31
307.0296936035156,1.0,0,R_A5,18,1718.6409912109375,28,2018-01-01,307.0296936035156,21,STANDARD,0.0,31
307.5643615722656,1.0,0,R_A5,19,1721.0560302734375,29,2018-01-01,307.5643615722656,21,STANDARD,0.0,31
307.7932434082031,1.0,0,R_A5,20,1723.4710693359375,30,2018-01-01,307.7932434082031,21,STANDARD,0.0,31
308.02215576171875,1.0,0,R_A5,21,1725.8861083984375,31,2018-01-01,308.02215576171875,21,STANDARD,0.0,31
305.14794921875,1.0,0,R_A6,1,1695.5587158203125,1,2018-01-01,305.14794921875,42,STANDARD,0.0,17
305.2957763671875,1.0,0,R_A6,2,1697.1187744140625,2,2018-01-01,305.2957763671875,42,STANDARD,0.0,17
305.4436340332031,1.0,0,R_A6,3,1698.6788330078125,3,2018-01-01,305.4436340332031,42,STANDARD,0.0,17
305.5914611816406,1.0,0,R_A6,4,1700.23876953125,4,2018-01-01,305.5914611816406,42,STANDARD,0.0,17
305.7392883300781,1.0,0,R_A6,5,1701.7987060546875,5,2018-01-01,305.7392883300781,42,STANDARD,0.0,17
305.88714599609375,1.0,0,R_A6,6,1703.358642578125,6,2018-01-01,305.88714599609375,42,STANDARD,0.0,17
305.7359313964844,1.0,0,R_A6,7,1704.918701171875,7,2018-01-01,305.7359313964844,42,STANDARD,0.0,17
305.8837890625,1.0,0,R_A6,8,1706.478759765625,8,2018-01-01,305.8837890625,42,STANDARD,0.0,17
306.3306579589844,1.0,0,R_A6,9,1708.0386962890625,9,2018-01-01,306.3306579589844,42,STANDARD,0.0,17
306.1727294921875,1.0,0,R_A6,10,1709.5987548828125,10,2018-01-01,306.1727294921875,42,STANDARD,0.0,17
306.35638427734375,1.0,0,R_A6,11,1711.5355224609375,11,2018-01-01,306.35638427734375,42,STANDARD,0.0,17
306.57568359375,1.0,0,R_A6,12,1713.84912109375,12,2018-01-01,306.57568359375,42,STANDARD,0.0,17
