CONKPOS,CONBPRES,DATE,SWAT,PRESSURE,WELLMODEL,DEPTH,SGAS,DRAWDOWN,WELL,CONIPOS,CONJPOS,CONIDX
18,279.8739318847656,2018-04-28,1.0,279.8739318847656,STANDARD,1713.35400390625,-2.2993011574573563e-12,0,R_A5,31,21,16
19,279.9955749511719,2018-04-28,1.0,279.9955749511719,STANDARD,1714.3951416015625,0.0,0,R_A5,31,21,17
27,279.9737243652344,2018-04-28,1.0,279.9737243652344,STANDARD,1715.7628173828125,-5.950705287685251e-14,0,R_A5,31,21,18
28,280.2960510253906,2018-04-28,1.0,280.2960510253906,STANDARD,1718.098388671875,-6.410760052151521e-14,0,R_A5,31,21,19
29,292.16900634765625,2018-04-28,1.0,292.16900634765625,STANDARD,1720.43408203125,-5.1818910419143415e-20,0,R_A5,31,21,20
30,294.47515869140625,2018-04-28,1.0,294.47515869140625,STANDARD,1722.7696533203125,1.2342317975933684e-19,0,R_A5,31,21,21
31,287.94476318359375,2018-04-28,1.0,287.94476318359375,STANDARD,1725.105224609375,-1.9771262806198703e-13,0,R_A5,31,21,22
1,279.1557922363281,2018-07-03,0.6496977210044861,279.1557922363281,STANDARD,1609.243408203125,0.0,0,R_A3,28,41,1
2,279.29083251953125,2018-07-03,0.1976298987865448,279.29083251953125,STANDARD,1611.3077392578125,0.0,0,R_A3,28,41,2
3,279.4284973144531,2018-07-03,0.150900736451149,279.4284973144531,STANDARD,1613.3720703125,0.0,0,R_A3,28,41,3
4,279.580810546875,2018-07-03,0.6760168671607971,279.580810546875,STANDARD,1615.4365234375,0.0,0,R_A3,28,41,4
5,281.4619445800781,2018-07-03,0.7908375263214111,281.4619445800781,STANDARD,1617.5008544921875,0.0,0,R_A3,28,41,5
6,281.7080078125,2018-07-03,0.6493420004844666,281.7080078125,STANDARD,1619.565185546875,0.0,0,R_A3,28,41,6
6,280.907470703125,2018-07-03,0.649325430393219,280.907470703125,STANDARD,1609.3663330078125,0.0,0,R_A3,29,41,7
7,281.0927429199219,2018-07-03,0.19879505038261414,281.0927429199219,STANDARD,1611.4163818359375,0.0,0,R_A3,29,41,8
8,281.2298583984375,2018-07-03,0.20115795731544495,281.2298583984375,STANDARD,1613.46630859375,0.0,0,R_A3,29,41,9
9,281.44207763671875,2018-07-03,0.7986671924591064,281.44207763671875,STANDARD,1615.516357421875,0.0,0,R_A3,29,41,10
10,282.6460266113281,2018-07-03,0.8003817200660706,282.6460266113281,STANDARD,1617.5662841796875,0.0,0,R_A3,29,41,11
11,282.81915283203125,2018-07-03,0.049186836928129196,282.81915283203125,STANDARD,1619.750732421875,0.0,0,R_A3,29,41,12
12,282.9739685058594,2018-07-03,0.05447349697351456,282.9739685058594,STANDARD,1622.0697021484375,0.0,0,R_A3,29,41,13
13,283.12908935546875,2018-07-03,0.3684425950050354,283.12908935546875,STANDARD,1624.388671875,0.0,0,R_A3,29,41,14
15,283.62115478515625,2018-07-03,0.5007686018943787,283.62115478515625,STANDARD,1629.026611328125,0.0,0,R_A3,29,41,15
16,283.7579650878906,2018-07-03,0.8021484017372131,283.7579650878906,STANDARD,1630.9468994140625,0.0,0,R_A3,29,41,16
27,283.7384033203125,2018-07-03,0.6545867323875427,283.7384033203125,STANDARD,1633.5262451171875,0.0,0,R_A3,29,41,17
28,283.9779052734375,2018-07-03,0.04682831093668938,283.9779052734375,STANDARD,1637.1630859375,0.0,0,R_A3,29,41,18
29,284.22076416015625,2018-07-03,0.0522410087287426,284.22076416015625,STANDARD,1640.8001708984375,0.0,0,R_A3,29,41,19
30,284.4836120605469,2018-07-03,0.6739083528518677,284.4836120605469,STANDARD,1644.4371337890625,0.0,0,R_A3,29,41,20
31,284.7111511230469,2018-07-03,0.06577855348587036,284.7111511230469,STANDARD,1648.0740966796875,0.0,0,R_A3,29,41,21
1,275.2240905761719,2018-09-12,0.05174272507429123,275.2240905761719,STANDARD,1631.1873779296875,0.0,0,R_A4,30,52,1
1,275.16650390625,2018-09-12,0.04941808804869652,275.16650390625,STANDARD,1627.4293212890625,0.0,0,R_A4,31,52,2
2,275.30377197265625,2018-09-12,0.05227839946746826,275.30377197265625,STANDARD,1629.4896240234375,0.0,0,R_A4,31,52,3
3,275.4410400390625,2018-09-12,0.054248910397291183,275.4410400390625,STANDARD,1631.5498046875,0.0,0,R_A4,31,52,4
4,275.57830810546875,2018-09-12,0.05588222295045853,275.57830810546875,STANDARD,1633.610107421875,0.0,0,R_A4,31,52,5
4,275.6897277832031,2018-09-12,0.05770976468920708,275.6897277832031,STANDARD,1632.3968505859375,0.0,0,R_A4,32,52,6
4,275.8204345703125,2018-09-12,0.05823199450969696,275.8204345703125,STANDARD,1635.880615234375,0.0,0,R_A4,32,51,7
4,276.13323974609375,2018-09-12,0.06092379242181778,276.13323974609375,STANDARD,1637.321044921875,0.0,0,R_A4,33,51,8
3,276.01019287109375,2018-09-12,0.05832016468048096,276.01019287109375,STANDARD,1635.474609375,0.0,0,R_A4,33,51,9
4,276.43804931640625,2018-09-12,0.27835211157798767,276.43804931640625,STANDARD,1642.1485595703125,0.0,0,R_A4,33,50,10
4,276.5164794921875,2018-09-12,0.6517831087112427,276.5164794921875,STANDARD,1641.132080078125,0.0,0,R_A4,34,50,11
3,276.3885803222656,2018-09-12,0.09681462496519089,276.3885803222656,STANDARD,1639.20703125,0.0,0,R_A4,34,50,12
3,276.6465759277344,2018-09-12,0.16247889399528503,276.6465759277344,STANDARD,1640.9061279296875,0.0,0,R_A4,35,50,13
2,276.5223388671875,2018-09-12,0.18796393275260925,276.5223388671875,STANDARD,1639.0426025390625,0.0,0,R_A4,35,50,14
2,276.5777282714844,2018-09-12,0.23943978548049927,276.5777282714844,STANDARD,1641.93212890625,0.0,0,R_A4,35,49,15
30,277.1298828125,2018-09-12,0.09682108461856842,277.1298828125,STANDARD,1642.357421875,0.0,0,R_A4,36,49,16
30,276.7928466796875,2018-09-12,0.05905097723007202,276.7928466796875,STANDARD,1639.6068115234375,0.0,0,R_A4,36,48,17
30,277.3995666503906,2018-09-12,0.07480816543102264,277.3995666503906,STANDARD,1646.7513427734375,0.0,0,R_A4,37,48,18
