PROPERTY,ZONE,REGION,FACIES,Avg,Avg_Weighted,Max,Min,P10,P90,Stddev,SOURCE,ID
PORO,UpperReek,Westerlands,Channel,0.2514422,,0.44500792,0.069766864,0.18897109,0.3133932,0.048446253,geogrid,geogrid
SW,UpperReek,Westerlands,Channel,0.94490725,,1.0,0.027716422,1.0,1.0,0.2163924,geogrid,geogrid
PERM,UpperReek,Westerlands,Crevasse,173.84355,,1000.0,0.93232083,19.661789,418.1199,211.13243,geogrid,geogrid
PORO,UpperReek,Westerlands,Crevasse,0.1999041,,0.36722162,0.0,0.13423325,0.26532525,0.05158033,geogrid,geogrid
SW,UpperReek,Westerlands,Crevasse,0.94212437,,1.0,0.07682299,1.0,1.0,0.20368136,geogrid,geogrid
PERM,LowerReek,Dorne,Total,1802.875,,10000.0,0.10208962,5.459023,5877.078,2726.3918,geogrid,geogrid
PORO,LowerReek,Dorne,Total,0.20342949,,0.45927808,0.0,0.08975514,0.30009812,0.07923983,geogrid,geogrid
SW,LowerReek,Dorne,Total,0.9982493,,1.0,0.10676941,1.0,1.0,0.033945434,geogrid,geogrid
PERM,LowerReek,IronIslands,Total,1484.9508,,10000.0,0.14370778,3.406957,4650.1973,2409.2334,geogrid,geogrid
PORO,LowerReek,IronIslands,Total,0.19429356,,0.41771913,0.0,0.07401653,0.29311115,0.08183606,geogrid,geogrid
SW,LowerReek,IronIslands,Total,0.57266825,,1.0,0.0,0.051458232,1.0,0.42414686,geogrid,geogrid
PERM,LowerReek,North,Total,1696.7046,,10000.0,0.0956387,3.595875,5723.062,2697.3247,geogrid,geogrid
PORO,LowerReek,North,Total,0.196637,,0.4523912,0.0,0.08834142,0.29643098,0.079188816,geogrid,geogrid
SW,LowerReek,North,Total,0.9930829,,1.0,0.027648931,1.0,1.0,0.076219834,geogrid,geogrid
PERM,LowerReek,Reach,Total,1535.1337,,10000.0,0.16576312,6.2103405,4711.7124,2415.261,geogrid,geogrid
PORO,LowerReek,Reach,Total,0.20090714,,0.45711255,0.0,0.09564989,0.2898395,0.073732704,geogrid,geogrid
SW,LowerReek,Reach,Total,0.7465838,,1.0,0.0,0.091644615,1.0,0.38088802,geogrid,geogrid
PERM,LowerReek,Stormlands,Total,2361.3118,,10000.0,0.7699954,47.604935,6721.8433,2782.308,geogrid,geogrid
PORO,LowerReek,Stormlands,Total,0.23850907,,0.42326182,0.012315422,0.16372786,0.30845398,0.05855121,geogrid,geogrid
