DRAWDOWN,WELLMODEL,CONIPOS,WELL,CONKPOS,SWAT,CONIDX,CONBPRES,CONJPOS,PRESSURE,DEPTH,SGAS,DATE
0,STANDARD,17,R_A6,28,1.0,20,308.3623352050781,42,308.3623352050781,1729.4755859375,0.0,2018-01-01
0,STANDARD,17,R_A6,29,1.0,21,308.52581787109375,42,308.52581787109375,1731.2001953125,0.0,2018-01-01
0,STANDARD,17,R_A6,30,1.0,22,308.68927001953125,42,308.68927001953125,1732.9249267578125,0.0,2018-01-01
0,STANDARD,17,R_A6,31,1.0,23,308.8527526855469,42,308.8527526855469,1734.649658203125,0.0,2018-01-01
0,STANDARD,22,R_A2,1,0.10822642594575882,1,298.6831970214844,30,298.6831970214844,1641.094970703125,0.0,2018-03-01
0,STANDARD,22,R_A2,2,0.1105959564447403,2,298.803466796875,30,298.803466796875,1642.8890380859375,0.0,2018-03-01
0,STANDARD,22,R_A2,3,0.07775332033634186,3,298.92376708984375,30,298.92376708984375,1644.68310546875,0.0,2018-03-01
0,STANDARD,22,R_A2,4,0.06679895520210266,4,299.04400634765625,30,299.04400634765625,1646.4771728515625,0.0,2018-03-01
0,STANDARD,22,R_A2,5,0.07245783507823944,5,299.1642761230469,30,299.1642761230469,1648.2713623046875,0.0,2018-03-01
0,STANDARD,22,R_A2,6,0.11854424327611923,6,299.2845458984375,30,299.2845458984375,1650.0654296875,0.0,2018-03-01
0,STANDARD,22,R_A2,7,0.6482802629470825,7,299.4048156738281,30,299.4048156738281,1651.859619140625,0.0,2018-03-01
0,STANDARD,22,R_A2,8,0.6483540534973145,8,299.5408630371094,30,299.5408630371094,1653.6536865234375,0.0,2018-03-01
0,STANDARD,22,R_A2,9,0.173452228307724,9,299.68896484375,30,299.68896484375,1655.44775390625,0.0,2018-03-01
0,STANDARD,22,R_A2,10,0.3260149657726288,10,299.7399597167969,30,299.7399597167969,1657.2418212890625,0.0,2018-03-01
0,STANDARD,22,R_A2,11,0.07780759036540985,11,299.8424377441406,30,299.8424377441406,1659.1368408203125,0.0,2018-03-01
0,STANDARD,22,R_A2,12,0.07673418521881104,12,299.97503662109375,30,299.97503662109375,1661.132568359375,0.0,2018-03-01
0,STANDARD,22,R_A2,13,0.45597943663597107,13,300.13250732421875,30,300.13250732421875,1663.12841796875,0.0,2018-03-01
0,STANDARD,22,R_A2,14,0.49749433994293213,14,300.2682800292969,30,300.2682800292969,1665.1241455078125,0.0,2018-03-01
0,STANDARD,22,R_A2,15,0.6977916359901428,15,300.4062194824219,30,300.4062194824219,1667.1199951171875,0.0,2018-03-01
0,STANDARD,22,R_A2,16,0.9701833724975586,16,300.5404052734375,30,300.5404052734375,1669.11572265625,0.0,2018-03-01
0,STANDARD,22,R_A2,17,0.9522993564605713,17,300.6746826171875,30,300.6746826171875,1671.111572265625,0.0,2018-03-01
0,STANDARD,22,R_A2,18,0.9832425713539124,18,300.8006896972656,30,300.8006896972656,1672.9881591796875,0.0,2018-03-01
0,STANDARD,22,R_A2,18,0.9928645491600037,19,300.74755859375,29,300.74755859375,1674.229736328125,0.0,2018-03-01
0,STANDARD,22,R_A2,27,0.6483157277107239,20,300.75750732421875,29,300.75750732421875,1676.1676025390625,0.0,2018-03-01
0,STANDARD,22,R_A2,28,1.0,21,303.4607849121094,29,303.4607849121094,1677.9368896484375,-3.347496865680334e-15,2018-03-01
0,STANDARD,22,R_A2,29,1.0,22,303.6309814453125,29,303.6309814453125,1679.7061767578125,-9.635970686533457e-16,2018-03-01
0,STANDARD,22,R_A2,30,1.0,23,303.79876708984375,29,303.79876708984375,1681.4754638671875,-1.4990250440491713e-16,2018-03-01
0,STANDARD,22,R_A2,31,1.0,24,303.97161865234375,29,303.97161865234375,1683.2447509765625,-1.9792271462633964e-17,2018-03-01
0,STANDARD,31,R_A5,1,1.0,1,271.8158264160156,20,271.8158264160156,1685.026611328125,-1.2959964590213147e-13,2018-04-28
0,STANDARD,31,R_A5,2,1.0,2,272.03192138671875,20,272.03192138671875,1687.3070068359375,-2.2711540493321886e-13,2018-04-28
0,STANDARD,31,R_A5,3,1.0,3,272.24810791015625,20,272.24810791015625,1689.5875244140625,-2.595002392222906e-13,2018-04-28
0,STANDARD,31,R_A5,4,1.0,4,272.4643249511719,20,272.4643249511719,1691.8680419921875,-2.5687861126416633e-13,2018-04-28
0,STANDARD,31,R_A5,5,1.0,5,272.680419921875,20,272.680419921875,1694.1485595703125,-2.498416512737578e-13,2018-04-28
0,STANDARD,31,R_A5,6,1.0,6,272.8963623046875,20,272.8963623046875,1696.4290771484375,-2.0570253399937455e-13,2018-04-28
0,STANDARD,31,R_A5,7,1.0,7,273.4400939941406,20,273.4400939941406,1698.70947265625,-7.682714192472698e-14,2018-04-28
0,STANDARD,31,R_A5,11,1.0,8,273.46990966796875,20,273.46990966796875,1707.6488037109375,-2.813539115228969e-12,2018-04-28
0,STANDARD,31,R_A5,12,1.0,9,273.651123046875,20,273.651123046875,1709.5638427734375,-2.7331505114691623e-12,2018-04-28
0,STANDARD,31,R_A5,12,1.0,10,272.1844787597656,21,272.1844787597656,1701.7845458984375,-3.336301027112576e-11,2018-04-28
0,STANDARD,31,R_A5,13,1.0,11,272.38177490234375,21,272.38177490234375,1703.735107421875,-1.1117818905087562e-12,2018-04-28
0,STANDARD,31,R_A5,14,1.0,12,272.5672607421875,21,272.5672607421875,1705.6856689453125,-2.2991608616962367e-12,2018-04-28
0,STANDARD,31,R_A5,15,1.0,13,273.1717224121094,21,273.1717224121094,1707.63623046875,-3.7475855751978315e-12,2018-04-28
0,STANDARD,31,R_A5,16,1.0,14,273.88409423828125,21,273.88409423828125,1709.5867919921875,-1.8316119020783672e-12,2018-04-28
0,STANDARD,31,R_A5,17,1.0,15,274.18988037109375,21,274.18988037109375,1711.537353515625,-1.7842391247194916e-13,2018-04-28
0,STANDARD,31,R_A5,18,1.0,16,274.345458984375,21,274.345458984375,1713.35400390625,-1.843549184837867e-13,2018-04-28
