SGAS,CONJPOS,DRAWDOWN,WELL,CONIPOS,WELLMODEL,CONBPRES,DATE,CONKPOS,SWAT,CONIDX,DEPTH,PRESSURE
0.0,30,0,R_A2,22,STANDARD,298.28033447265625,2018-03-01,1,0.05872337520122528,1,1640.237548828125,298.28033447265625
0.0,30,0,R_A2,22,STANDARD,298.4007263183594,2018-03-01,2,0.05977974459528923,2,1642.033935546875,298.4007263183594
0.0,30,0,R_A2,22,STANDARD,298.5210876464844,2018-03-01,3,0.06581242382526398,3,1643.8304443359375,298.5210876464844
0.0,30,0,R_A2,22,STANDARD,298.6414794921875,2018-03-01,4,0.071506567299366,4,1645.6268310546875,298.6414794921875
0.0,30,0,R_A2,22,STANDARD,298.76190185546875,2018-03-01,5,0.07581771165132523,5,1647.42333984375,298.76190185546875
0.0,30,0,R_A2,22,STANDARD,298.88232421875,2018-03-01,6,0.17910966277122498,6,1649.2197265625,298.88232421875
0.0,30,0,R_A2,22,STANDARD,298.99853515625,2018-03-01,7,0.6757192611694336,7,1651.0162353515625,298.99853515625
0.0,30,0,R_A2,22,STANDARD,299.1278991699219,2018-03-01,8,0.8901511430740356,8,1652.8126220703125,299.1278991699219
0.0,30,0,R_A2,22,STANDARD,299.3602294921875,2018-03-01,9,0.9191071391105652,9,1654.609130859375,299.3602294921875
0.0,30,0,R_A2,22,STANDARD,299.5493469238281,2018-03-01,10,0.9227498769760132,10,1656.4056396484375,299.5493469238281
0.0,30,0,R_A2,22,STANDARD,299.46661376953125,2018-03-01,11,0.09207212179899216,11,1658.269287109375,299.46661376953125
0.0,30,0,R_A2,22,STANDARD,299.5960388183594,2018-03-01,12,0.08996423333883286,12,1660.200439453125,299.5960388183594
0.0,30,0,R_A2,22,STANDARD,299.73095703125,2018-03-01,13,0.48168259859085083,13,1662.13134765625,299.73095703125
0.0,30,0,R_A2,22,STANDARD,299.86700439453125,2018-03-01,14,0.5373674035072327,14,1664.0625,299.86700439453125
0.0,30,0,R_A2,22,STANDARD,299.9996032714844,2018-03-01,15,0.7420203685760498,15,1665.9935302734375,299.9996032714844
0.0,30,0,R_A2,22,STANDARD,300.1296081542969,2018-03-01,16,0.9865812659263611,16,1667.924560546875,300.1296081542969
0.0,30,0,R_A2,22,STANDARD,300.2597351074219,2018-03-01,17,0.992099940776825,17,1669.8555908203125,300.2597351074219
0.0,30,0,R_A2,22,STANDARD,300.3896179199219,2018-03-01,18,0.9940429925918579,18,1671.78662109375,300.3896179199219
-2.191633319270636e-09,30,0,R_A2,22,STANDARD,300.64801025390625,2018-03-01,19,1.0,19,1673.14501953125,300.64801025390625
-3.3820282813575237e-15,30,0,R_A2,22,STANDARD,302.8761901855469,2018-03-01,27,1.0,20,1674.43505859375,302.8761901855469
-4.2976950410871415e-18,30,0,R_A2,22,STANDARD,303.1917724609375,2018-03-01,28,1.0,21,1676.2294921875,303.1917724609375
6.591053185992834e-19,30,0,R_A2,22,STANDARD,303.42633056640625,2018-03-01,29,1.0,22,1678.0238037109375,303.42633056640625
6.727897996746182e-14,29,0,R_A2,22,STANDARD,302.19879150390625,2018-03-01,29,1.0,23,1681.1146240234375,302.19879150390625
9.164138394803737e-15,29,0,R_A2,22,STANDARD,303.21185302734375,2018-03-01,30,1.0,24,1682.86181640625,303.21185302734375
2.701798991307171e-15,29,0,R_A2,22,STANDARD,303.6607360839844,2018-03-01,31,1.0,25,1684.6090087890625,303.6607360839844
-2.9809741914493815e-12,20,0,R_A5,31,STANDARD,281.3579406738281,2018-04-28,1,1.0,1,1684.0679931640625,281.3579406738281
-2.059458289668803e-12,20,0,R_A5,31,STANDARD,281.5631103515625,2018-04-28,2,1.0,2,1686.237548828125,281.5631103515625
-5.564287637420395e-13,20,0,R_A5,31,STANDARD,281.7681884765625,2018-04-28,3,1.0,3,1688.406982421875,281.7681884765625
-6.731900735641727e-13,20,0,R_A5,31,STANDARD,281.9734802246094,2018-04-28,4,1.0,4,1690.5765380859375,281.9734802246094
-1.249929088183166e-12,20,0,R_A5,31,STANDARD,282.1789855957031,2018-04-28,5,1.0,5,1692.74609375,282.1789855957031
-4.9118526086744385e-12,20,0,R_A5,31,STANDARD,282.38470458984375,2018-04-28,6,1.0,6,1694.91552734375,282.38470458984375
-2.9185807687726745e-14,20,0,R_A5,31,STANDARD,282.9105529785156,2018-04-28,7,1.0,7,1697.0850830078125,282.9105529785156
-8.381828217607357e-12,21,0,R_A5,31,STANDARD,280.81427001953125,2018-04-28,11,1.0,8,1702.154541015625,280.81427001953125
-3.6226850512466324e-12,21,0,R_A5,31,STANDARD,280.98516845703125,2018-04-28,12,1.0,9,1703.9595947265625,280.98516845703125
-2.0775793737291826e-13,21,0,R_A5,31,STANDARD,281.1733703613281,2018-04-28,13,1.0,10,1705.7646484375,281.1733703613281
-5.505250660724215e-13,21,0,R_A5,31,STANDARD,281.35064697265625,2018-04-28,14,1.0,11,1707.569580078125,281.35064697265625
-1.7477897384585162e-13,21,0,R_A5,31,STANDARD,281.5306091308594,2018-04-28,15,1.0,12,1709.3746337890625,281.5306091308594
-1.0059477122820182e-13,21,0,R_A5,31,STANDARD,281.90234375,2018-04-28,16,1.0,13,1711.1796875,281.90234375
-1.0196085410707229e-14,21,0,R_A5,31,STANDARD,282.2606201171875,2018-04-28,17,1.0,14,1712.9847412109375,282.2606201171875
-3.808442242938994e-15,21,0,R_A5,31,STANDARD,282.6434020996094,2018-04-28,18,1.0,15,1714.7606201171875,282.6434020996094
0.0,21,0,R_A5,31,STANDARD,282.8403015136719,2018-04-28,19,1.0,16,1715.874755859375,282.8403015136719
0.0,21,0,R_A5,31,STANDARD,282.90252685546875,2018-04-28,20,1.0,17,1716.2451171875,282.90252685546875
2.7973994648489153e-12,21,0,R_A5,31,STANDARD,283.7577819824219,2018-04-28,27,1.0,18,1717.4552001953125,283.7577819824219
3.515228906569856e-12,21,0,R_A5,31,STANDARD,283.9978942871094,2018-04-28,28,1.0,19,1719.6162109375,283.9978942871094
-4.3124252583685266e-16,21,0,R_A5,31,STANDARD,286.8865661621094,2018-04-28,29,1.0,20,1721.7772216796875,286.8865661621094
-1.913914312407991e-14,21,0,R_A5,31,STANDARD,290.55841064453125,2018-04-28,30,1.0,21,1723.938232421875,290.55841064453125
-2.323697578810489e-18,21,0,R_A5,31,STANDARD,301.39111328125,2018-04-28,31,1.0,22,1726.099365234375,301.39111328125
0.0,41,0,R_A3,28,STANDARD,276.57177734375,2018-07-03,1,0.6495670080184937,1,1608.739990234375,276.57177734375
0.0,41,0,R_A3,28,STANDARD,276.71453857421875,2018-07-03,2,0.2043846845626831,2,1610.7252197265625,276.71453857421875
0.0,41,0,R_A3,28,STANDARD,276.8473205566406,2018-07-03,3,0.19935040175914764,3,1612.71044921875,276.8473205566406
0.0,41,0,R_A3,28,STANDARD,277.0048828125,2018-07-03,4,0.3913062512874603,4,1614.695556640625,277.0048828125
0.0,41,0,R_A3,28,STANDARD,277.65399169921875,2018-07-03,5,0.8162280321121216,5,1616.6807861328125,277.65399169921875
0.0,41,0,R_A3,28,STANDARD,277.8180236816406,2018-07-03,6,0.6505743265151978,6,1618.666015625,277.8180236816406
0.0,41,0,R_A3,28,STANDARD,278.0076599121094,2018-07-03,7,0.21067965030670166,7,1620.6512451171875,278.0076599121094
0.0,41,0,R_A3,29,STANDARD,277.6220397949219,2018-07-03,7,0.20381727814674377,8,1612.169677734375,277.6220397949219
0.0,41,0,R_A3,29,STANDARD,277.757568359375,2018-07-03,8,0.20666880905628204,9,1614.2000732421875,277.757568359375
0.0,41,0,R_A3,29,STANDARD,278.0795593261719,2018-07-03,9,0.8057208061218262,10,1616.23046875,278.0795593261719
0.0,41,0,R_A3,29,STANDARD,281.4149169921875,2018-07-03,10,0.8003190159797668,11,1618.2608642578125,281.4149169921875
0.0,41,0,R_A3,29,STANDARD,283.3808898925781,2018-07-03,11,0.04890443757176399,12,1620.4112548828125,283.3808898925781
0.0,41,0,R_A3,29,STANDARD,283.532470703125,2018-07-03,12,0.055879827588796616,13,1622.681396484375,283.532470703125
0.0,41,0,R_A3,29,STANDARD,283.6845703125,2018-07-03,13,0.3746963441371918,14,1624.95166015625,283.6845703125
0.0,41,0,R_A3,29,STANDARD,282.7422790527344,2018-07-03,15,0.6311210989952087,15,1629.4305419921875,282.7422790527344
0.0,41,0,R_A3,29,STANDARD,282.8497314453125,2018-07-03,16,0.8101339340209961,16,1631.218017578125,282.8497314453125
0.0,41,0,R_A3,29,STANDARD,282.4380798339844,2018-07-03,27,0.130991131067276,17,1633.673828125,282.4380798339844
0.0,41,0,R_A3,29,STANDARD,282.6600341796875,2018-07-03,28,0.0454409196972847,18,1637.15771484375,282.6600341796875
0.0,41,0,R_A3,29,STANDARD,282.89263916015625,2018-07-03,29,0.053712792694568634,19,1640.6416015625,282.89263916015625
0.0,41,0,R_A3,29,STANDARD,283.10491943359375,2018-07-03,30,0.6503919363021851,20,1644.12548828125,283.10491943359375
0.0,41,0,R_A3,29,STANDARD,283.2926330566406,2018-07-03,31,0.06694970279932022,21,1647.609375,283.2926330566406
0.0,52,0,R_A4,30,STANDARD,275.261474609375,2018-09-12,1,0.0544159822165966,1,1629.95703125,275.261474609375
0.0,52,0,R_A4,31,STANDARD,275.25201416015625,2018-09-12,1,0.05339625105261803,2,1627.1258544921875,275.25201416015625
0.0,52,0,R_A4,31,STANDARD,275.3798828125,2018-09-12,2,0.05383487418293953,3,1629.0447998046875,275.3798828125
0.0,52,0,R_A4,31,STANDARD,275.5077209472656,2018-09-12,3,0.05627138540148735,4,1630.9638671875,275.5077209472656
0.0,52,0,R_A4,31,STANDARD,275.6355285644531,2018-09-12,4,0.05859141796827316,5,1632.8828125,275.6355285644531
0.0,52,0,R_A4,32,STANDARD,275.7364807128906,2018-09-12,4,0.05797888711094856,6,1631.7869873046875,275.7364807128906
0.0,51,0,R_A4,32,STANDARD,275.8200378417969,2018-09-12,4,0.06046595051884651,7,1635.1220703125,275.8200378417969
0.0,51,0,R_A4,33,STANDARD,276.1369934082031,2018-09-12,4,0.06375990808010101,8,1636.4273681640625,276.1369934082031
0.0,50,0,R_A4,33,STANDARD,276.3656921386719,2018-09-12,4,0.06661137193441391,9,1641.439697265625,276.3656921386719
0.0,50,0,R_A4,34,STANDARD,276.5422668457031,2018-09-12,4,0.08741454035043716,10,1640.49755859375,276.5422668457031
0.0,50,0,R_A4,34,STANDARD,276.418212890625,2018-09-12,3,0.22048909962177277,11,1638.6568603515625,276.418212890625
0.0,50,0,R_A4,35,STANDARD,276.5990905761719,2018-09-12,3,0.2798810303211212,12,1638.502685546875,276.5990905761719
0.0,49,0,R_A4,35,STANDARD,276.79827880859375,2018-09-12,3,0.2435935139656067,13,1642.797119140625,276.79827880859375
0.0,49,0,R_A4,36,STANDARD,277.0384216308594,2018-09-12,31,0.7060767412185669,14,1645.2802734375,277.0384216308594
0.0,49,0,R_A4,36,STANDARD,276.4830017089844,2018-09-12,30,0.1838560700416565,15,1639.045654296875,276.4830017089844
