CONJPOS,CONKPOS,PRESSURE,WELLMODEL,SGAS,DEPTH,DATE,CONIDX,WELL,CONBPRES,DRAWDOWN,CONIPOS,SWAT
52,3,281.5217590332031,STANDARD,0.0,1633.1365966796875,2018-09-12,5,R_A4,281.5217590332031,0,32,0.056455887854099274
51,3,281.51483154296875,STANDARD,0.0,1634.049072265625,2018-09-12,6,R_A4,281.51483154296875,0,32,0.055911365896463394
51,3,281.73895263671875,STANDARD,0.0,1636.47265625,2018-09-12,7,R_A4,281.73895263671875,0,33,0.058835387229919434
51,4,281.8713684082031,STANDARD,0.0,1638.3084716796875,2018-09-12,8,R_A4,281.8713684082031,0,33,0.2619311511516571
50,4,281.9436340332031,STANDARD,0.0,1640.5130615234375,2018-09-12,9,R_A4,281.9436340332031,0,33,0.06312821060419083
50,4,282.0372619628906,STANDARD,0.0,1640.9482421875,2018-09-12,10,R_A4,282.0372619628906,0,34,0.062031254172325134
50,3,281.908203125,STANDARD,0.0,1639.013671875,2018-09-12,11,R_A4,281.908203125,0,34,0.0626593604683876
50,3,282.13726806640625,STANDARD,0.0,1641.6337890625,2018-09-12,12,R_A4,282.13726806640625,0,35,0.07949753850698471
49,3,282.09710693359375,STANDARD,0.0,1641.730712890625,2018-09-12,13,R_A4,282.09710693359375,0,35,0.08489955216646194
49,32,280.477783203125,STANDARD,0.0,1641.865478515625,2018-09-12,14,R_A4,280.477783203125,0,36,0.6814247369766235
48,32,280.0296630859375,STANDARD,0.0,1638.6568603515625,2018-09-12,15,R_A4,280.0296630859375,0,36,0.278911292552948
48,32,280.9444885253906,STANDARD,0.0,1647.91552734375,2018-09-12,16,R_A4,280.9444885253906,0,37,0.6809958815574646
48,32,281.8294982910156,STANDARD,0.0,1656.3431396484375,2018-09-12,17,R_A4,281.8294982910156,0,38,0.19597461819648743
48,31,281.4380798339844,STANDARD,0.0,1650.472412109375,2018-09-12,18,R_A4,281.4380798339844,0,38,0.07019026577472687
47,31,281.4171447753906,STANDARD,0.0,1654.389892578125,2018-09-12,19,R_A4,281.4171447753906,0,38,0.07725047320127487
42,1,270.0201721191406,STANDARD,-4.70621161670088e-15,1695.17724609375,2018-11-07,1,R_A6,270.0201721191406,0,17,1.0
42,2,270.0404968261719,STANDARD,-5.1855668050818587e-17,1696.72998046875,2018-11-07,2,R_A6,270.0404968261719,0,17,1.0
42,3,269.88262939453125,STANDARD,-7.298274101559467e-17,1698.28271484375,2018-11-07,3,R_A6,269.88262939453125,0,17,1.0
42,4,269.6492919921875,STANDARD,-4.69975337428987e-17,1699.83544921875,2018-11-07,4,R_A6,269.6492919921875,0,17,1.0
42,5,269.4473876953125,STANDARD,-1.1317837189019227e-16,1701.3883056640625,2018-11-07,5,R_A6,269.4473876953125,0,17,1.0
42,6,269.3976745605469,STANDARD,-5.7053204357887435e-15,1702.9410400390625,2018-11-07,6,R_A6,269.3976745605469,0,17,1.0
42,7,269.1708068847656,STANDARD,-1.0500065206686063e-14,1704.49365234375,2018-11-07,7,R_A6,269.1708068847656,0,17,1.0
42,8,269.2602844238281,STANDARD,-8.821751583897551e-15,1706.04638671875,2018-11-07,8,R_A6,269.2602844238281,0,17,1.0
42,9,269.490478515625,STANDARD,-8.198005733022786e-16,1707.5992431640625,2018-11-07,9,R_A6,269.490478515625,0,17,1.0
42,10,268.8375549316406,STANDARD,-7.31933163708974e-14,1709.15185546875,2018-11-07,10,R_A6,268.8375549316406,0,17,1.0
42,11,280.74468994140625,STANDARD,1.1894879443127403e-15,1711.0816650390625,2018-11-07,11,R_A6,280.74468994140625,0,17,1.0
42,12,280.97064208984375,STANDARD,6.458890920610057e-16,1713.3883056640625,2018-11-07,12,R_A6,280.97064208984375,0,17,1.0
42,13,281.18450927734375,STANDARD,5.739118717980305e-17,1715.695068359375,2018-11-07,13,R_A6,281.18450927734375,0,17,1.0
42,14,281.40252685546875,STANDARD,2.745211613610771e-17,1718.001708984375,2018-11-07,14,R_A6,281.40252685546875,0,17,1.0
42,15,281.75958251953125,STANDARD,1.0553181835480103e-17,1720.3084716796875,2018-11-07,15,R_A6,281.75958251953125,0,17,1.0
42,16,281.9680480957031,STANDARD,4.823465927676872e-18,1722.615234375,2018-11-07,16,R_A6,281.9680480957031,0,17,1.0
42,17,282.1811218261719,STANDARD,9.191353861184038e-18,1724.921875,2018-11-07,17,R_A6,282.1811218261719,0,17,1.0
42,18,282.3281555175781,STANDARD,3.490535094490041e-18,1726.5059814453125,2018-11-07,18,R_A6,282.3281555175781,0,17,1.0
42,29,282.26983642578125,STANDARD,3.4174162988072937e-17,1727.80078125,2018-11-07,19,R_A6,282.26983642578125,0,17,1.0
