CONJPOS,CONIDX,PRESSURE,CONIPOS,SWAT,SGAS,WELLMODEL,DATE,WELL,DRAWDOWN,CONBPRES,CONKPOS,DEPTH
42,1,305.11419677734375,17,1.0,0.0,STANDARD,2018-01-01,R_A6,0,305.11419677734375,1,1695.20263671875
42,2,305.2609558105469,17,1.0,0.0,STANDARD,2018-01-01,R_A6,0,305.2609558105469,2,1696.7510986328125
42,3,305.4076843261719,17,1.0,0.0,STANDARD,2018-01-01,R_A6,0,305.4076843261719,3,1698.299560546875
42,4,305.554443359375,17,1.0,0.0,STANDARD,2018-01-01,R_A6,0,305.554443359375,4,1699.84814453125
42,5,305.7012023925781,17,1.0,0.0,STANDARD,2018-01-01,R_A6,0,305.7012023925781,5,1701.3966064453125
42,6,305.84796142578125,17,1.0,0.0,STANDARD,2018-01-01,R_A6,0,305.84796142578125,6,1702.9451904296875
42,7,305.6956481933594,17,1.0,0.0,STANDARD,2018-01-01,R_A6,0,305.6956481933594,7,1704.49365234375
42,8,306.1414489746094,17,1.0,0.0,STANDARD,2018-01-01,R_A6,0,306.1414489746094,8,1706.042236328125
42,9,306.2882080078125,17,1.0,0.0,STANDARD,2018-01-01,R_A6,0,306.2882080078125,9,1707.5906982421875
42,10,306.1291809082031,17,1.0,0.0,STANDARD,2018-01-01,R_A6,0,306.1291809082031,10,1709.1392822265625
42,11,306.3109130859375,17,1.0,0.0,STANDARD,2018-01-01,R_A6,0,306.3109130859375,11,1711.055419921875
42,12,306.52734375,17,1.0,0.0,STANDARD,2018-01-01,R_A6,0,306.52734375,12,1713.3392333984375
42,13,306.7557678222656,17,1.0,0.0,STANDARD,2018-01-01,R_A6,0,306.7557678222656,13,1715.623046875
42,14,306.9721984863281,17,1.0,0.0,STANDARD,2018-01-01,R_A6,0,306.9721984863281,14,1717.9068603515625
42,15,307.18865966796875,17,1.0,0.0,STANDARD,2018-01-01,R_A6,0,307.18865966796875,15,1720.190673828125
42,16,307.55010986328125,17,1.0,0.0,STANDARD,2018-01-01,R_A6,0,307.55010986328125,16,1722.474365234375
42,17,307.7665710449219,17,1.0,0.0,STANDARD,2018-01-01,R_A6,0,307.7665710449219,17,1724.7581787109375
42,18,307.921630859375,17,1.0,0.0,STANDARD,2018-01-01,R_A6,0,307.921630859375,18,1726.394287109375
42,19,307.8930969238281,17,1.0,0.0,STANDARD,2018-01-01,R_A6,0,307.8930969238281,27,1727.7508544921875
42,20,308.3623352050781,17,1.0,0.0,STANDARD,2018-01-01,R_A6,0,308.3623352050781,28,1729.4755859375
42,21,308.22003173828125,17,1.0,0.0,STANDARD,2018-01-01,R_A6,0,308.22003173828125,29,1731.2001953125
42,22,308.68927001953125,17,1.0,0.0,STANDARD,2018-01-01,R_A6,0,308.68927001953125,30,1732.9249267578125
42,23,308.5469665527344,17,1.0,0.0,STANDARD,2018-01-01,R_A6,0,308.5469665527344,31,1734.649658203125
30,1,298.4173278808594,22,0.056836023926734924,0.0,STANDARD,2018-03-01,R_A2,0,298.4173278808594,1,1641.094970703125
30,2,298.53753662109375,22,0.05988069996237755,0.0,STANDARD,2018-03-01,R_A2,0,298.53753662109375,2,1642.8890380859375
30,3,298.65777587890625,22,0.0626625046133995,0.0,STANDARD,2018-03-01,R_A2,0,298.65777587890625,3,1644.68310546875
30,4,298.7779846191406,22,0.06651434302330017,0.0,STANDARD,2018-03-01,R_A2,0,298.7779846191406,4,1646.4771728515625
30,5,298.898193359375,22,0.07090870290994644,0.0,STANDARD,2018-03-01,R_A2,0,298.898193359375,5,1648.2713623046875
30,6,299.0184326171875,22,0.239469513297081,0.0,STANDARD,2018-03-01,R_A2,0,299.0184326171875,6,1650.0654296875
30,7,299.147705078125,22,0.8950656652450562,0.0,STANDARD,2018-03-01,R_A2,0,299.147705078125,7,1651.859619140625
30,8,299.27520751953125,22,0.8684247136116028,0.0,STANDARD,2018-03-01,R_A2,0,299.27520751953125,8,1653.6536865234375
30,9,299.4019775390625,22,0.8944940567016602,0.0,STANDARD,2018-03-01,R_A2,0,299.4019775390625,9,1655.44775390625
30,10,299.7075500488281,22,0.9061707854270935,0.0,STANDARD,2018-03-01,R_A2,0,299.7075500488281,10,1657.2418212890625
30,11,299.8753662109375,22,0.07780901342630386,0.0,STANDARD,2018-03-01,R_A2,0,299.8753662109375,11,1659.1368408203125
30,12,300.0091552734375,22,0.08119473606348038,0.0,STANDARD,2018-03-01,R_A2,0,300.0091552734375,12,1661.132568359375
30,13,300.144287109375,22,0.4636911153793335,0.0,STANDARD,2018-03-01,R_A2,0,300.144287109375,13,1663.12841796875
30,14,300.2804870605469,22,0.5082372426986694,0.0,STANDARD,2018-03-01,R_A2,0,300.2804870605469,14,1665.1241455078125
30,15,300.4180603027344,22,0.6799113750457764,0.0,STANDARD,2018-03-01,R_A2,0,300.4180603027344,15,1667.1199951171875
30,16,300.55230712890625,22,0.9764846563339233,0.0,STANDARD,2018-03-01,R_A2,0,300.55230712890625,16,1669.11572265625
30,17,300.68670654296875,22,0.9520863890647888,0.0,STANDARD,2018-03-01,R_A2,0,300.68670654296875,17,1671.111572265625
30,18,300.812744140625,22,0.9803769588470459,0.0,STANDARD,2018-03-01,R_A2,0,300.812744140625,18,1672.9881591796875
29,19,300.7835998535156,22,0.9920998215675354,0.0,STANDARD,2018-03-01,R_A2,0,300.7835998535156,18,1674.229736328125
29,20,301.135498046875,22,0.4444871246814728,0.0,STANDARD,2018-03-01,R_A2,0,301.135498046875,27,1676.1676025390625
29,21,302.32354736328125,22,1.0,-6.089567326957035e-13,STANDARD,2018-03-01,R_A2,0,302.32354736328125,28,1677.9368896484375
29,22,303.170654296875,22,1.0,-1.9373627254868318e-14,STANDARD,2018-03-01,R_A2,0,303.170654296875,29,1679.7061767578125
29,23,303.6155090332031,22,1.0,-1.135288211842069e-15,STANDARD,2018-03-01,R_A2,0,303.6155090332031,30,1681.4754638671875
29,24,303.8779296875,22,1.0,-2.0621815164760933e-16,STANDARD,2018-03-01,R_A2,0,303.8779296875,31,1683.2447509765625
20,1,274.72314453125,31,1.0,-8.003233492592798e-14,STANDARD,2018-04-28,R_A5,0,274.72314453125,1,1685.026611328125
20,2,274.9390869140625,31,1.0,-6.630790073914802e-14,STANDARD,2018-04-28,R_A5,0,274.9390869140625,2,1687.3070068359375
20,3,275.1546325683594,31,1.0,-6.474294299459171e-14,STANDARD,2018-04-28,R_A5,0,275.1546325683594,3,1689.5875244140625
20,4,275.36993408203125,31,1.0,-6.951867738153733e-14,STANDARD,2018-04-28,R_A5,0,275.36993408203125,4,1691.8680419921875
20,5,275.5855407714844,31,1.0,-6.667806768962531e-14,STANDARD,2018-04-28,R_A5,0,275.5855407714844,5,1694.1485595703125
20,6,275.8013000488281,31,1.0,-6.680139568674553e-14,STANDARD,2018-04-28,R_A5,0,275.8013000488281,6,1696.4290771484375
20,7,276.34100341796875,31,1.0,-1.8247612147974553e-14,STANDARD,2018-04-28,R_A5,0,276.34100341796875,7,1698.70947265625
20,8,277.24444580078125,31,1.0,-3.8640293222036437e-13,STANDARD,2018-04-28,R_A5,0,277.24444580078125,11,1707.6488037109375
20,9,277.79425048828125,31,1.0,-7.124952754525293e-13,STANDARD,2018-04-28,R_A5,0,277.79425048828125,12,1709.5638427734375
21,10,276.1358947753906,31,1.0,-4.477792702600736e-12,STANDARD,2018-04-28,R_A5,0,276.1358947753906,12,1701.7845458984375
21,11,276.3350830078125,31,1.0,-2.7060311998984565e-13,STANDARD,2018-04-28,R_A5,0,276.3350830078125,13,1703.735107421875
21,12,276.52386474609375,31,1.0,-3.7305136193696575e-13,STANDARD,2018-04-28,R_A5,0,276.52386474609375,14,1705.6856689453125
21,13,276.72662353515625,31,1.0,-7.004452898771996e-14,STANDARD,2018-04-28,R_A5,0,276.72662353515625,15,1707.63623046875
21,14,277.13201904296875,31,1.0,-7.407914342713595e-14,STANDARD,2018-04-28,R_A5,0,277.13201904296875,16,1709.5867919921875
