SGAS,CONBPRES,PRESSURE,DRAWDOWN,CONKPOS,CONJPOS,DEPTH,SWAT,WELL,CONIDX,DATE,WELLMODEL,CONIPOS
0.0,300.4964294433594,300.4964294433594,0,16,30,1669.030517578125,0.919032871723175,R_A2,16,2018-03-01,STANDARD,22
0.0,300.63385009765625,300.63385009765625,0,17,30,1671.0609130859375,0.8734365701675415,R_A2,17,2018-03-01,STANDARD,22
0.0,300.7664489746094,300.7664489746094,0,17,29,1672.8592529296875,0.8839613199234009,R_A2,18,2018-03-01,STANDARD,22
0.0,300.8941345214844,300.8941345214844,0,18,29,1674.765869140625,0.955803632736206,R_A2,19,2018-03-01,STANDARD,22
0.0,303.0120849609375,303.0120849609375,0,26,29,1676.64013671875,0.7800365686416626,R_A2,20,2018-03-01,STANDARD,22
-2.4590234293242474e-09,303.11016845703125,303.11016845703125,0,27,29,1678.4208984375,1.0,R_A2,21,2018-03-01,STANDARD,22
-3.9253549819233055e-14,303.0517883300781,303.0517883300781,0,28,29,1680.20166015625,1.0,R_A2,22,2018-03-01,STANDARD,22
-1.3445302813816506e-12,302.94256591796875,302.94256591796875,0,29,29,1681.982421875,1.0,R_A2,23,2018-03-01,STANDARD,22
0.0,302.473876953125,302.473876953125,0,30,29,1683.76318359375,0.9999991059303284,R_A2,24,2018-03-01,STANDARD,22
4.2058986848836355e-10,284.0227966308594,284.0227966308594,0,1,20,1686.0247802734375,1.0,R_A5,1,2018-04-28,STANDARD,31
3.923180114107083e-10,284.22857666015625,284.22857666015625,0,2,20,1688.19873046875,1.0,R_A5,2,2018-04-28,STANDARD,31
3.6675862347124166e-10,284.4342956542969,284.4342956542969,0,3,20,1690.3726806640625,1.0,R_A5,3,2018-04-28,STANDARD,31
3.8582903538753044e-10,284.6399841308594,284.6399841308594,0,4,20,1692.546630859375,1.0,R_A5,4,2018-04-28,STANDARD,31
3.5941732923205905e-10,284.84564208984375,284.84564208984375,0,5,20,1694.720703125,1.0,R_A5,5,2018-04-28,STANDARD,31
2.780959629244961e-10,285.0512390136719,285.0512390136719,0,6,20,1696.8946533203125,1.0,R_A5,6,2018-04-28,STANDARD,31
