DEPTH,PRESSURE,WELLMODEL,CONIDX,DATE,DRAWDOWN,CONIPOS,CONKPOS,CONJPOS,CONBPRES,SWAT,WELL,SGAS
1709.5638427734375,278.7372741699219,STANDARD,9,2018-04-28,0,31,12,20,278.7372741699219,1.0,R_A5,5.257966371324807e-12
1701.7845458984375,276.6456298828125,STANDARD,10,2018-04-28,0,31,12,21,276.6456298828125,1.0,R_A5,1.754037019796595e-11
1703.735107421875,276.84381103515625,STANDARD,11,2018-04-28,0,31,13,21,276.84381103515625,1.0,R_A5,1.3492246599480784e-12
1705.6856689453125,277.03021240234375,STANDARD,12,2018-04-28,0,31,14,21,277.03021240234375,1.0,R_A5,1.8677472762851366e-12
1707.63623046875,278.22430419921875,STANDARD,13,2018-04-28,0,31,15,21,278.22430419921875,1.0,R_A5,1.9063225390608673e-12
1709.5867919921875,279.5480651855469,STANDARD,14,2018-04-28,0,31,16,21,279.5480651855469,1.0,R_A5,1.4662714944123356e-13
1711.537353515625,279.7522888183594,STANDARD,15,2018-04-28,0,31,17,21,279.7522888183594,1.0,R_A5,2.4420571427129396e-14
1713.35400390625,279.9610900878906,STANDARD,16,2018-04-28,0,31,18,21,279.9610900878906,1.0,R_A5,-4.3295218349033784e-14
1714.3951416015625,280.0832214355469,STANDARD,17,2018-04-28,0,31,19,21,280.0832214355469,1.0,R_A5,0.0
1715.7628173828125,280.0614929199219,STANDARD,18,2018-04-28,0,31,27,21,280.0614929199219,1.0,R_A5,1.2592169331988173e-13
1718.098388671875,280.3848571777344,STANDARD,19,2018-04-28,0,31,28,21,280.3848571777344,1.0,R_A5,1.9288420144945861e-13
1720.43408203125,292.2060546875,STANDARD,20,2018-04-28,0,31,29,21,292.2060546875,1.0,R_A5,1.5072051478980182e-19
1722.7696533203125,294.50811767578125,STANDARD,21,2018-04-28,0,31,30,21,294.50811767578125,1.0,R_A5,-7.048932293229086e-19
1725.105224609375,288.0392150878906,STANDARD,22,2018-04-28,0,31,31,21,288.0392150878906,1.0,R_A5,-5.186570574064464e-13
1609.243408203125,279.0747375488281,STANDARD,1,2018-07-03,0,28,1,41,279.0747375488281,0.6497020721435547,R_A3,0.0
1611.3077392578125,279.20965576171875,STANDARD,2,2018-07-03,0,28,2,41,279.20965576171875,0.19763106107711792,R_A3,0.0
1613.3720703125,279.34722900390625,STANDARD,3,2018-07-03,0,28,3,41,279.34722900390625,0.1508893370628357,R_A3,0.0
1615.4365234375,279.5010681152344,STANDARD,4,2018-07-03,0,28,4,41,279.5010681152344,0.6762195825576782,R_A3,0.0
1617.5008544921875,281.4210510253906,STANDARD,5,2018-07-03,0,28,5,41,281.4210510253906,0.7905368804931641,R_A3,0.0
1619.565185546875,281.6739196777344,STANDARD,6,2018-07-03,0,28,6,41,281.6739196777344,0.6493402123451233,R_A3,0.0
1609.3663330078125,280.8684387207031,STANDARD,7,2018-07-03,0,29,6,41,280.8684387207031,0.6493255496025085,R_A3,0.0
1611.4163818359375,281.05694580078125,STANDARD,8,2018-07-03,0,29,7,41,281.05694580078125,0.19844120740890503,R_A3,0.0
1613.46630859375,281.1954345703125,STANDARD,9,2018-07-03,0,29,8,41,281.1954345703125,0.20151689648628235,R_A3,0.0
1615.516357421875,281.4168395996094,STANDARD,10,2018-07-03,0,29,9,41,281.4168395996094,0.7986662983894348,R_A3,0.0
1617.5662841796875,282.64886474609375,STANDARD,11,2018-07-03,0,29,10,41,282.64886474609375,0.8003838062286377,R_A3,0.0
1619.750732421875,282.82958984375,STANDARD,12,2018-07-03,0,29,11,41,282.82958984375,0.04918069392442703,R_A3,0.0
1622.0697021484375,282.98443603515625,STANDARD,13,2018-07-03,0,29,12,41,282.98443603515625,0.05447487533092499,R_A3,0.0
1624.388671875,283.1398010253906,STANDARD,14,2018-07-03,0,29,13,41,283.1398010253906,0.3684459924697876,R_A3,0.0
1629.026611328125,283.6409606933594,STANDARD,15,2018-07-03,0,29,15,41,283.6409606933594,0.5007704496383667,R_A3,0.0
1630.9468994140625,283.77777099609375,STANDARD,16,2018-07-03,0,29,16,41,283.77777099609375,0.8021584749221802,R_A3,0.0
1633.5262451171875,283.7581787109375,STANDARD,17,2018-07-03,0,29,27,41,283.7581787109375,0.6546033024787903,R_A3,0.0
1637.1630859375,283.9975891113281,STANDARD,18,2018-07-03,0,29,28,41,283.9975891113281,0.04681796208024025,R_A3,0.0
1640.8001708984375,284.240478515625,STANDARD,19,2018-07-03,0,29,29,41,284.240478515625,0.05225921422243118,R_A3,0.0
1644.4371337890625,284.5041198730469,STANDARD,20,2018-07-03,0,29,30,41,284.5041198730469,0.6739137768745422,R_A3,0.0
1648.0740966796875,284.7318115234375,STANDARD,21,2018-07-03,0,29,31,41,284.7318115234375,0.06577862799167633,R_A3,0.0
1631.1873779296875,275.34112548828125,STANDARD,1,2018-09-12,0,30,1,52,275.34112548828125,0.05173218622803688,R_A4,0.0
1627.4293212890625,275.270751953125,STANDARD,2,2018-09-12,0,31,1,52,275.270751953125,0.04941682517528534,R_A4,0.0
1629.4896240234375,275.4079895019531,STANDARD,3,2018-09-12,0,31,2,52,275.4079895019531,0.052277546375989914,R_A4,0.0
1631.5498046875,275.5452575683594,STANDARD,4,2018-09-12,0,31,3,52,275.5452575683594,0.054248370230197906,R_A4,0.0
