CONIPOS,PRESSURE,DATE,DEPTH,CONBPRES,DRAWDOWN,CONJPOS,CONKPOS,SGAS,CONIDX,SWAT,WELL,WELLMODEL
31,279.9952697753906,2018-04-28,1700.89404296875,279.9952697753906,0,21,11,-6.421359537850391e-12,12,1.0,R_A5,STANDARD
31,280.1940002441406,2018-04-28,1702.9324951171875,280.1940002441406,0,21,12,-1.0236174755040572e-11,13,1.0,R_A5,STANDARD
31,280.39923095703125,2018-04-28,1704.970947265625,280.39923095703125,0,21,13,-4.2370173667337363e-13,14,1.0,R_A5,STANDARD
31,280.5924987792969,2018-04-28,1707.00927734375,280.5924987792969,0,21,14,-4.0017471216076406e-13,15,1.0,R_A5,STANDARD
31,280.7861633300781,2018-04-28,1709.0477294921875,280.7861633300781,0,21,15,-1.7291140849869102e-13,16,1.0,R_A5,STANDARD
31,281.12957763671875,2018-04-28,1711.086181640625,281.12957763671875,0,21,16,-2.7176857295076358e-14,17,1.0,R_A5,STANDARD
31,281.3250732421875,2018-04-28,1713.0904541015625,281.3250732421875,0,21,17,-3.843489586384356e-14,18,1.0,R_A5,STANDARD
31,281.4446716308594,2018-04-28,1714.342529296875,281.4446716308594,0,21,18,-5.456530342037684e-15,19,1.0,R_A5,STANDARD
31,281.48944091796875,2018-04-28,1714.8125,281.48944091796875,0,21,19,0.0,20,1.0,R_A5,STANDARD
31,283.4919128417969,2018-04-28,1716.126953125,283.4919128417969,0,21,26,-5.4705185829418204e-14,21,1.0,R_A5,STANDARD
31,284.0346984863281,2018-04-28,1718.349853515625,284.0346984863281,0,21,27,-4.420370523067728e-14,22,1.0,R_A5,STANDARD
31,289.5074157714844,2018-04-28,1720.5726318359375,289.5074157714844,0,21,28,-3.020554050548803e-20,23,1.0,R_A5,STANDARD
31,301.1394958496094,2018-04-28,1722.79541015625,301.1394958496094,0,21,29,-2.275889712418055e-22,24,1.0,R_A5,STANDARD
31,305.9793701171875,2018-04-28,1725.0181884765625,305.9793701171875,0,21,30,-1.649542049184157e-25,25,1.0,R_A5,STANDARD
28,275.85821533203125,2018-07-03,1608.474853515625,275.85821533203125,0,41,1,0.0,1,0.6499424576759338,R_A3,STANDARD
28,275.99041748046875,2018-07-03,1610.50244140625,275.99041748046875,0,41,2,0.0,2,0.1472034454345703,R_A3,STANDARD
29,275.3276672363281,2018-07-03,1601.1317138671875,275.3276672363281,0,41,2,0.0,3,0.1611376404762268,R_A3,STANDARD
29,275.4730529785156,2018-07-03,1603.314697265625,275.4730529785156,0,41,3,0.0,4,0.11914541572332382,R_A3,STANDARD
29,275.6184997558594,2018-07-03,1605.4976806640625,275.6184997558594,0,41,4,0.0,5,0.186783567070961,R_A3,STANDARD
29,275.8695068359375,2018-07-03,1607.6806640625,275.8695068359375,0,41,5,0.0,6,0.8021239042282104,R_A3,STANDARD
29,275.9859924316406,2018-07-03,1609.8636474609375,275.9859924316406,0,41,6,0.0,7,0.649615466594696,R_A3,STANDARD
29,276.140869140625,2018-07-03,1612.046630859375,276.140869140625,0,41,7,0.0,8,0.19561295211315155,R_A3,STANDARD
29,276.2864074707031,2018-07-03,1614.2294921875,276.2864074707031,0,41,8,0.0,9,0.1956617683172226,R_A3,STANDARD
29,276.5374450683594,2018-07-03,1616.4124755859375,276.5374450683594,0,41,9,0.0,10,0.7917336225509644,R_A3,STANDARD
29,279.2462463378906,2018-07-03,1618.595458984375,279.2462463378906,0,41,10,0.0,11,0.7917137145996094,R_A3,STANDARD
29,291.30877685546875,2018-07-03,1620.8304443359375,291.30877685546875,0,41,11,0.0,12,0.04779329523444176,R_A3,STANDARD
29,291.4617614746094,2018-07-03,1623.1173095703125,291.4617614746094,0,41,12,0.0,13,0.05160718783736229,R_A3,STANDARD
29,291.6151428222656,2018-07-03,1625.4041748046875,291.6151428222656,0,41,13,0.0,14,0.36267098784446716,R_A3,STANDARD
29,292.4635314941406,2018-07-03,1627.6910400390625,292.4635314941406,0,41,14,0.0,15,0.048737023025751114,R_A3,STANDARD
29,292.6028747558594,2018-07-03,1629.9779052734375,292.6028747558594,0,41,15,0.0,16,0.5032621622085571,R_A3,STANDARD
29,292.74566650390625,2018-07-03,1632.0318603515625,292.74566650390625,0,41,16,0.0,17,0.8038355708122253,R_A3,STANDARD
29,284.49005126953125,2018-07-03,1634.8304443359375,284.49005126953125,0,41,26,0.0,18,0.38902032375335693,R_A3,STANDARD
29,284.6739196777344,2018-07-03,1638.4178466796875,284.6739196777344,0,41,27,0.0,19,0.04398157447576523,R_A3,STANDARD
29,284.9134826660156,2018-07-03,1642.0052490234375,284.9134826660156,0,41,28,0.0,20,0.04912375658750534,R_A3,STANDARD
29,285.1526794433594,2018-07-03,1645.5926513671875,285.1526794433594,0,41,29,0.0,21,0.2760295271873474,R_A3,STANDARD
29,285.3901672363281,2018-07-03,1649.179931640625,285.3901672363281,0,41,30,0.0,22,0.059407949447631836,R_A3,STANDARD
30,278.0166015625,2018-09-12,1633.2388916015625,278.0166015625,0,52,1,0.0,1,0.051146000623703,R_A4,STANDARD
31,277.7090148925781,2018-09-12,1627.5904541015625,277.7090148925781,0,52,1,0.0,2,0.048855047672986984,R_A4,STANDARD
31,277.84539794921875,2018-09-12,1629.636962890625,277.84539794921875,0,52,2,0.0,3,0.04920890927314758,R_A4,STANDARD
31,277.98175048828125,2018-09-12,1631.6834716796875,277.98175048828125,0,52,3,0.0,4,0.050856687128543854,R_A4,STANDARD
