PRESSURE,CONKPOS,WELL,DRAWDOWN,DATE,CONIDX,CONIPOS,SGAS,CONBPRES,DEPTH,SWAT,CONJPOS,WELLMODEL
308.5494384765625,26,R_A6,0,2018-01-01,20,17,0.0,308.5494384765625,1731.4495849609375,1.0,42,STANDARD
308.7159423828125,27,R_A6,0,2018-01-01,21,17,0.0,308.7159423828125,1733.2060546875,1.0,42,STANDARD
308.8824157714844,28,R_A6,0,2018-01-01,22,17,0.0,308.8824157714844,1734.962646484375,1.0,42,STANDARD
308.74310302734375,29,R_A6,0,2018-01-01,23,17,0.0,308.74310302734375,1736.7191162109375,1.0,42,STANDARD
299.1667175292969,1,R_A2,0,2018-03-01,1,22,0.0,299.1667175292969,1643.0067138671875,0.07458839565515518,30,STANDARD
299.28607177734375,2,R_A2,0,2018-03-01,2,22,0.0,299.28607177734375,1644.7864990234375,0.1445935070514679,30,STANDARD
299.40545654296875,3,R_A2,0,2018-03-01,3,22,0.0,299.40545654296875,1646.56640625,0.10434620082378387,30,STANDARD
299.5248718261719,4,R_A2,0,2018-03-01,4,22,0.0,299.5248718261719,1648.34619140625,0.07165727019309998,30,STANDARD
299.644287109375,5,R_A2,0,2018-03-01,5,22,0.0,299.644287109375,1650.1260986328125,0.07644558697938919,30,STANDARD
299.8241271972656,6,R_A2,0,2018-03-01,6,22,0.0,299.8241271972656,1651.9058837890625,0.3197929859161377,30,STANDARD
299.9407043457031,7,R_A2,0,2018-03-01,7,22,0.0,299.9407043457031,1653.6856689453125,0.9054976105690002,30,STANDARD
300.06695556640625,8,R_A2,0,2018-03-01,8,22,0.0,300.06695556640625,1655.465576171875,0.8870943188667297,30,STANDARD
300.1926574707031,9,R_A2,0,2018-03-01,9,22,0.0,300.1926574707031,1657.245361328125,0.9226194620132446,30,STANDARD
300.4618835449219,10,R_A2,0,2018-03-01,10,22,0.0,300.4618835449219,1659.0252685546875,0.9317309260368347,30,STANDARD
300.969970703125,11,R_A2,0,2018-03-01,11,22,0.0,300.969970703125,1660.9046630859375,0.08324082940816879,30,STANDARD
301.13751220703125,12,R_A2,0,2018-03-01,12,22,0.0,301.13751220703125,1662.883544921875,0.08796922117471695,30,STANDARD
301.2837829589844,13,R_A2,0,2018-03-01,13,22,0.0,301.2837829589844,1664.8623046875,0.48791906237602234,30,STANDARD
301.41778564453125,14,R_A2,0,2018-03-01,14,22,0.0,301.41778564453125,1666.8411865234375,0.5466374158859253,30,STANDARD
301.5509033203125,15,R_A2,0,2018-03-01,15,22,0.0,301.5509033203125,1668.820068359375,0.7352997064590454,30,STANDARD
301.6838684082031,16,R_A2,0,2018-03-01,16,22,0.0,301.6838684082031,1670.7989501953125,0.997856616973877,30,STANDARD
301.6631164550781,16,R_A2,0,2018-03-01,17,22,-1.6599358332314296e-08,301.6631164550781,1671.11376953125,0.9999998211860657,29,STANDARD
301.801513671875,17,R_A2,0,2018-03-01,18,22,-3.871549303369193e-09,301.801513671875,1673.17919921875,0.9999999403953552,29,STANDARD
301.9376525878906,18,R_A2,0,2018-03-01,19,22,-3.498011880154195e-10,301.9376525878906,1675.207275390625,1.0,29,STANDARD
302.5499267578125,25,R_A2,0,2018-03-01,20,22,-7.28440582593165e-13,302.5499267578125,1677.302490234375,1.0,29,STANDARD
303.0940246582031,26,R_A2,0,2018-03-01,21,22,-4.379383262479816e-18,303.0940246582031,1679.0711669921875,1.0,29,STANDARD
303.5651550292969,27,R_A2,0,2018-03-01,22,22,-4.903010200319385e-19,303.5651550292969,1680.83984375,1.0,29,STANDARD
303.84320068359375,28,R_A2,0,2018-03-01,23,22,-5.762524269041345e-19,303.84320068359375,1682.6085205078125,1.0,29,STANDARD
304.0501708984375,29,R_A2,0,2018-03-01,24,22,-4.53917461401748e-20,304.0501708984375,1684.377197265625,1.0,29,STANDARD
263.9662780761719,1,R_A5,0,2018-04-28,1,31,0.0,263.9662780761719,1686.6656494140625,1.0,20,STANDARD
263.8734436035156,2,R_A5,0,2018-04-28,2,31,0.0,263.8734436035156,1688.9171142578125,1.0,20,STANDARD
264.0861511230469,3,R_A5,0,2018-04-28,3,31,0.0,264.0861511230469,1691.168701171875,1.0,20,STANDARD
264.2987060546875,4,R_A5,0,2018-04-28,4,31,0.0,264.2987060546875,1693.420166015625,1.0,20,STANDARD
264.51141357421875,5,R_A5,0,2018-04-28,5,31,0.0,264.51141357421875,1695.671630859375,1.0,20,STANDARD
264.72418212890625,6,R_A5,0,2018-04-28,6,31,0.0,264.72418212890625,1697.923095703125,1.0,20,STANDARD
265.6938171386719,7,R_A5,0,2018-04-28,7,31,0.0,265.6938171386719,1700.174560546875,1.0,20,STANDARD
266.26312255859375,11,R_A5,0,2018-04-28,8,31,-4.9271855719805815e-15,266.26312255859375,1697.01611328125,1.0,21,STANDARD
266.4545593261719,12,R_A5,0,2018-04-28,9,31,-3.3280055787728285e-15,266.4545593261719,1699.03955078125,1.0,21,STANDARD
266.67193603515625,13,R_A5,0,2018-04-28,10,31,-5.9504534647900325e-15,266.67193603515625,1701.0631103515625,1.0,21,STANDARD
266.8949890136719,14,R_A5,0,2018-04-28,11,31,-5.17224617966488e-15,266.8949890136719,1703.086669921875,1.0,21,STANDARD
267.0866394042969,15,R_A5,0,2018-04-28,12,31,-1.845399130205659e-15,267.0866394042969,1705.110107421875,1.0,21,STANDARD
268.9327697753906,16,R_A5,0,2018-04-28,13,31,-9.53937081406384e-16,268.9327697753906,1707.1336669921875,1.0,21,STANDARD
271.1887512207031,17,R_A5,0,2018-04-28,14,31,-3.890351123031873e-16,271.1887512207031,1709.1572265625,1.0,21,STANDARD
271.3848876953125,18,R_A5,0,2018-04-28,15,31,-5.950207401718855e-16,271.3848876953125,1711.091064453125,1.0,21,STANDARD
271.5113525390625,19,R_A5,0,2018-04-28,16,31,0.0,271.5113525390625,1712.3148193359375,1.0,21,STANDARD
271.5675964355469,20,R_A5,0,2018-04-28,17,31,0.0,271.5675964355469,1712.868896484375,1.0,21,STANDARD
271.6157531738281,21,R_A5,0,2018-04-28,18,31,0.0,271.6157531738281,1713.33642578125,1.0,21,STANDARD
279.7026672363281,25,R_A5,0,2018-04-28,19,31,-7.52544172056817e-17,279.7026672363281,1714.7781982421875,1.0,21,STANDARD
279.9351501464844,26,R_A5,0,2018-04-28,20,31,-6.892268048883329e-17,279.9351501464844,1717.23095703125,1.0,21,STANDARD
280.5857849121094,27,R_A5,0,2018-04-28,21,31,-5.481725505798608e-18,280.5857849121094,1719.68359375,1.0,21,STANDARD
280.4728088378906,28,R_A5,0,2018-04-28,22,31,-5.568077888472739e-19,280.4728088378906,1722.1363525390625,1.0,21,STANDARD
280.705078125,29,R_A5,0,2018-04-28,23,31,-5.057734850885312e-19,280.705078125,1724.589111328125,1.0,21,STANDARD
291.17999267578125,1,R_A3,0,2018-07-03,1,28,0.0,291.17999267578125,1612.480712890625,0.6500494480133057,41,STANDARD
291.3466796875,2,R_A3,0,2018-07-03,2,28,0.0,291.3466796875,1614.6453857421875,0.2952273488044739,41,STANDARD
291.4914855957031,3,R_A3,0,2018-07-03,3,28,0.0,291.4914855957031,1616.8101806640625,0.20473098754882812,41,STANDARD
291.70916748046875,4,R_A3,0,2018-07-03,4,28,0.0,291.70916748046875,1618.974853515625,0.38143324851989746,41,STANDARD
291.9373474121094,5,R_A3,0,2018-07-03,5,28,0.0,291.9373474121094,1621.1395263671875,0.8322793841362,41,STANDARD
290.676025390625,5,R_A3,0,2018-07-03,6,29,0.0,290.676025390625,1602.96826171875,0.8155192136764526,41,STANDARD
290.8211669921875,6,R_A3,0,2018-07-03,7,29,0.0,290.8211669921875,1605.25,0.6487261652946472,41,STANDARD
