WELLMODEL,CONJPOS,CONKPOS,CONBPRES,DRAWDOWN,CONIDX,SGAS,DEPTH,WELL,CONIPOS,SWAT,DATE,PRESSURE
STANDARD,21,28,307.9178161621094,0,25,0.0,1724.78515625,R_A5,31,1.0,2018-01-01,307.9178161621094
STANDARD,42,1,305.0076904296875,0,1,0.0,1694.07861328125,R_A6,17,1.0,2018-01-01,305.0076904296875
STANDARD,42,2,305.15313720703125,0,2,0.0,1695.613525390625,R_A6,17,1.0,2018-01-01,305.15313720703125
STANDARD,42,3,305.298583984375,0,3,0.0,1697.1483154296875,R_A6,17,1.0,2018-01-01,305.298583984375
STANDARD,42,4,305.44403076171875,0,4,0.0,1698.68310546875,R_A6,17,1.0,2018-01-01,305.44403076171875
STANDARD,42,5,305.5895080566406,0,5,0.0,1700.218017578125,R_A6,17,1.0,2018-01-01,305.5895080566406
STANDARD,42,6,305.7349548339844,0,6,0.0,1701.7529296875,R_A6,17,1.0,2018-01-01,305.7349548339844
STANDARD,42,7,305.58135986328125,0,7,0.0,1703.2877197265625,R_A6,17,1.0,2018-01-01,305.58135986328125
STANDARD,42,8,305.726806640625,0,8,0.0,1704.822509765625,R_A6,17,1.0,2018-01-01,305.726806640625
STANDARD,42,9,306.17132568359375,0,9,0.0,1706.357421875,R_A6,17,1.0,2018-01-01,306.17132568359375
STANDARD,42,10,306.3167724609375,0,10,0.0,1707.8922119140625,R_A6,17,1.0,2018-01-01,306.3167724609375
STANDARD,42,11,306.1914367675781,0,11,0.0,1709.794921875,R_A6,17,1.0,2018-01-01,306.1914367675781
STANDARD,42,12,306.4066467285156,0,12,0.0,1712.0655517578125,R_A6,17,1.0,2018-01-01,306.4066467285156
STANDARD,42,13,306.6337890625,0,13,0.0,1714.336181640625,R_A6,17,1.0,2018-01-01,306.6337890625
STANDARD,42,14,306.8489990234375,0,14,0.0,1716.60693359375,R_A6,17,1.0,2018-01-01,306.8489990234375
STANDARD,42,15,307.064208984375,0,15,0.0,1718.8775634765625,R_A6,17,1.0,2018-01-01,307.064208984375
STANDARD,42,16,307.4244079589844,0,16,0.0,1721.148193359375,R_A6,17,1.0,2018-01-01,307.4244079589844
STANDARD,42,17,307.6396179199219,0,17,0.0,1723.4188232421875,R_A6,17,1.0,2018-01-01,307.6396179199219
STANDARD,42,18,307.79083251953125,0,18,0.0,1725.014404296875,R_A6,17,1.0,2018-01-01,307.79083251953125
