CONJPOS,DRAWDOWN,SGAS,WELLMODEL,SWAT,CONBPRES,PRESSURE,WELL,CONKPOS,CONIDX,DATE,DEPTH,CONIPOS
21,0,-8.208979607182698e-10,STANDARD,1.0,285.4090881347656,285.4090881347656,R_A5,24,17,2018-04-28,1716.664794921875,31
21,0,-3.888778743466048e-10,STANDARD,1.0,285.6564025878906,285.6564025878906,R_A5,25,18,2018-04-28,1718.9610595703125,31
21,0,-3.682227300849661e-10,STANDARD,1.0,286.1791076660156,286.1791076660156,R_A5,26,19,2018-04-28,1721.2572021484375,31
21,0,-2.4789942868085422e-17,STANDARD,1.0,296.6119689941406,296.6119689941406,R_A5,27,20,2018-04-28,1723.553466796875,31
21,0,-7.548334316251851e-19,STANDARD,1.0,304.71722412109375,304.71722412109375,R_A5,28,21,2018-04-28,1725.849609375,31
41,0,0.0,STANDARD,0.7606766819953918,281.8441162109375,281.8441162109375,R_A3,1,1,2018-07-03,1610.04931640625,28
41,0,0.0,STANDARD,0.6492338180541992,280.9591064453125,280.9591064453125,R_A3,1,2,2018-07-03,1597.3355712890625,29
41,0,0.0,STANDARD,0.18618004024028778,281.1042175292969,281.1042175292969,R_A3,2,3,2018-07-03,1599.5399169921875,29
41,0,0.0,STANDARD,0.1184939593076706,281.2512512207031,281.2512512207031,R_A3,3,4,2018-07-03,1601.744140625,29
41,0,0.0,STANDARD,0.15688037872314453,281.3983459472656,281.3983459472656,R_A3,4,5,2018-07-03,1603.948486328125,29
41,0,0.0,STANDARD,0.26771318912506104,281.5457458496094,281.5457458496094,R_A3,5,6,2018-07-03,1606.15283203125,29
41,0,0.0,STANDARD,0.20540329813957214,281.6932067871094,281.6932067871094,R_A3,6,7,2018-07-03,1608.357177734375,29
41,0,0.0,STANDARD,0.19451726973056793,281.84063720703125,281.84063720703125,R_A3,7,8,2018-07-03,1610.5614013671875,29
41,0,0.0,STANDARD,0.19627226889133453,281.9878845214844,281.9878845214844,R_A3,8,9,2018-07-03,1612.7657470703125,29
41,0,0.0,STANDARD,0.7957817316055298,282.2255859375,282.2255859375,R_A3,9,10,2018-07-03,1614.969970703125,29
41,0,0.0,STANDARD,0.7941687107086182,284.146484375,284.146484375,R_A3,10,11,2018-07-03,1617.17431640625,29
41,0,0.0,STANDARD,0.04764352738857269,287.8652648925781,287.8652648925781,R_A3,11,12,2018-07-03,1619.4381103515625,29
41,0,0.0,STANDARD,0.049781981855630875,288.0205993652344,288.0205993652344,R_A3,12,13,2018-07-03,1621.7611083984375,29
41,0,0.0,STANDARD,0.36291205883026123,288.1763000488281,288.1763000488281,R_A3,13,14,2018-07-03,1624.084228515625,29
41,0,0.0,STANDARD,0.6029141545295715,291.9675598144531,291.9675598144531,R_A3,15,15,2018-07-03,1628.7303466796875,29
41,0,0.0,STANDARD,0.7969560623168945,292.1546325683594,292.1546325683594,R_A3,16,16,2018-07-03,1630.9281005859375,29
41,0,0.0,STANDARD,0.7618893980979919,292.2315673828125,292.2315673828125,R_A3,17,17,2018-07-03,1632.1209716796875,29
41,0,0.0,STANDARD,0.6495747566223145,283.7760009765625,283.7760009765625,R_A3,24,18,2018-07-03,1634.1942138671875,29
41,0,0.0,STANDARD,0.0447893925011158,284.0357666015625,284.0357666015625,R_A3,25,19,2018-07-03,1638.0269775390625,29
41,0,0.0,STANDARD,0.05130935087800026,284.2918395996094,284.2918395996094,R_A3,26,20,2018-07-03,1641.8597412109375,29
41,0,0.0,STANDARD,0.2594715356826782,284.548095703125,284.548095703125,R_A3,27,21,2018-07-03,1645.6925048828125,29
41,0,0.0,STANDARD,0.062295183539390564,284.8028259277344,284.8028259277344,R_A3,28,22,2018-07-03,1649.525146484375,29
52,0,0.0,STANDARD,0.05041991546750069,278.14849853515625,278.14849853515625,R_A4,1,1,2018-09-12,1631.0809326171875,30
52,0,0.0,STANDARD,0.04882093518972397,277.8963928222656,277.8963928222656,R_A4,1,2,2018-09-12,1625.67138671875,31
