CONJPOS,CONBPRES,CONIPOS,DRAWDOWN,SWAT,PRESSURE,DEPTH,WELL,CONKPOS,SGAS,CONIDX,DATE,WELLMODEL
29,300.984375,22,0,0.9650411605834961,300.984375,1674.888916015625,R_A2,18,0.0,19,2018-03-01,STANDARD
29,301.65679931640625,22,0,0.6488476395606995,301.65679931640625,1676.564453125,R_A2,26,0.0,20,2018-03-01,STANDARD
29,303.2629089355469,22,0,1.0,303.2629089355469,1678.3299560546875,R_A2,27,-1.6769376685876747e-13,21,2018-03-01,STANDARD
29,303.3824768066406,22,0,1.0,303.3824768066406,1680.0955810546875,R_A2,28,-1.3686576557422198e-13,22,2018-03-01,STANDARD
29,303.8177185058594,22,0,1.0,303.8177185058594,1681.861083984375,R_A2,29,-8.806070171777457e-17,23,2018-03-01,STANDARD
29,303.98956298828125,22,0,1.0,303.98956298828125,1683.626708984375,R_A2,30,-8.781554523654855e-18,24,2018-03-01,STANDARD
20,281.31591796875,31,0,1.0,281.31591796875,1685.7333984375,R_A5,1,-6.544805496166983e-12,1,2018-04-28,STANDARD
20,281.5177001953125,31,0,1.0,281.5177001953125,1687.865966796875,R_A5,2,-9.522469618383766e-12,2,2018-04-28,STANDARD
20,281.71966552734375,31,0,1.0,281.71966552734375,1689.9986572265625,R_A5,3,-1.2036335469978177e-11,3,2018-04-28,STANDARD
20,281.9215087890625,31,0,1.0,281.9215087890625,1692.13134765625,R_A5,4,-1.0612723373715216e-11,4,2018-04-28,STANDARD
20,282.12335205078125,31,0,1.0,282.12335205078125,1694.2640380859375,R_A5,5,-1.0033690892030656e-11,5,2018-04-28,STANDARD
20,282.32501220703125,31,0,1.0,282.32501220703125,1696.396728515625,R_A5,6,-6.785947238158174e-12,6,2018-04-28,STANDARD
20,282.83648681640625,31,0,1.0,282.83648681640625,1698.5294189453125,R_A5,7,-1.1873496435187147e-13,7,2018-04-28,STANDARD
20,283.0737609863281,31,0,1.0,283.0737609863281,1700.662109375,R_A5,8,0.0,8,2018-04-28,STANDARD
21,276.23187255859375,31,0,1.0,276.23187255859375,1700.84814453125,R_A5,11,-1.1280155629012079e-11,9,2018-04-28,STANDARD
21,276.424072265625,31,0,1.0,276.424072265625,1702.88525390625,R_A5,12,-8.555091531026182e-12,10,2018-04-28,STANDARD
21,276.6306457519531,31,0,1.0,276.6306457519531,1704.92236328125,R_A5,13,-7.382670321430529e-13,11,2018-04-28,STANDARD
21,276.8392028808594,31,0,1.0,276.8392028808594,1706.95947265625,R_A5,14,-8.519894859060351e-13,12,2018-04-28,STANDARD
