CONKPOS,CONJPOS,DEPTH,DATE,PRESSURE,CONIPOS,WELL,WELLMODEL,CONIDX,SWAT,SGAS,CONBPRES,DRAWDOWN
14,30,1664.3729248046875,2018-03-01,300.3962097167969,22,R_A2,STANDARD,14,0.47005128860473633,0.0,300.3962097167969,0
15,30,1666.4130859375,2018-03-01,300.5357360839844,22,R_A2,STANDARD,15,0.8975276350975037,0.0,300.5357360839844,0
16,29,1669.5926513671875,2018-03-01,300.8063659667969,22,R_A2,STANDARD,16,0.9323467016220093,0.0,300.8063659667969,0
17,29,1671.6953125,2018-03-01,300.9471435546875,22,R_A2,STANDARD,17,0.894444465637207,0.0,300.9471435546875,0
18,29,1673.65087890625,2018-03-01,301.07794189453125,22,R_A2,STANDARD,18,0.9451552629470825,0.0,301.07794189453125,0
19,29,1674.67431640625,2018-03-01,301.1465759277344,22,R_A2,STANDARD,19,0.9951114058494568,0.0,301.1465759277344,0
27,29,1675.7037353515625,2018-03-01,302.68280029296875,22,R_A2,STANDARD,20,1.0,-2.390705688970485e-10,302.68280029296875,0
28,29,1677.5238037109375,2018-03-01,302.5111999511719,22,R_A2,STANDARD,21,0.8178990483283997,0.0,302.5111999511719,0
29,29,1679.343994140625,2018-03-01,302.6774597167969,22,R_A2,STANDARD,22,0.8346721529960632,0.0,302.6774597167969,0
30,29,1681.1641845703125,2018-03-01,303.51202392578125,22,R_A2,STANDARD,23,1.0,-1.0675261266331407e-13,303.51202392578125,0
31,29,1682.984375,2018-03-01,303.8241271972656,22,R_A2,STANDARD,24,1.0,-1.7664747431738598e-13,303.8241271972656,0
1,20,1685.8167724609375,2018-04-28,283.70654296875,31,R_A5,STANDARD,1,1.0,-9.518181798284786e-10,283.70654296875,0
2,20,1687.992919921875,2018-04-28,283.9125671386719,31,R_A5,STANDARD,2,1.0,-9.561478275799118e-10,283.9125671386719,0
3,20,1690.169189453125,2018-04-28,284.1186218261719,31,R_A5,STANDARD,3,1.0,-9.775781295573438e-10,284.1186218261719,0
4,20,1692.3453369140625,2018-04-28,284.32464599609375,31,R_A5,STANDARD,4,1.0,-9.70244218301275e-10,284.32464599609375,0
5,20,1694.521484375,2018-04-28,284.53070068359375,31,R_A5,STANDARD,5,1.0,-9.335122674869467e-10,284.53070068359375,0
6,20,1696.69775390625,2018-04-28,284.73675537109375,31,R_A5,STANDARD,6,1.0,-8.611819035664325e-10,284.73675537109375,0
7,20,1698.8739013671875,2018-04-28,285.2824401855469,31,R_A5,STANDARD,7,1.0,-1.3558064393404123e-10,285.2824401855469,0
8,20,1701.050048828125,2018-04-28,285.5213928222656,31,R_A5,STANDARD,8,1.0,-1.9934288594813943e-11,285.5213928222656,0
11,21,1699.62158203125,2018-04-28,280.6234436035156,31,R_A5,STANDARD,9,1.0,-5.654885448791447e-10,280.6234436035156,0
12,21,1701.60986328125,2018-04-28,280.8125,31,R_A5,STANDARD,10,1.0,-5.833868388371855e-10,280.8125,0
13,21,1703.59814453125,2018-04-28,281.0122375488281,31,R_A5,STANDARD,11,1.0,-1.8815650426606823e-11,281.0122375488281,0
14,21,1705.58642578125,2018-04-28,281.20037841796875,31,R_A5,STANDARD,12,1.0,-4.150155913373865e-11,281.20037841796875,0
15,21,1707.57470703125,2018-04-28,281.4165344238281,31,R_A5,STANDARD,13,1.0,-4.7232787125928155e-11,281.4165344238281,0
16,21,1709.56298828125,2018-04-28,281.7801208496094,31,R_A5,STANDARD,14,1.0,-9.047161457498287e-12,281.7801208496094,0
17,21,1711.55126953125,2018-04-28,281.9864196777344,31,R_A5,STANDARD,15,1.0,-8.157800823749284e-12,281.9864196777344,0
18,21,1713.1304931640625,2018-04-28,282.15020751953125,31,R_A5,STANDARD,16,1.0,-1.1952903944401072e-11,282.15020751953125,0
19,21,1713.88818359375,2018-04-28,282.2264709472656,31,R_A5,STANDARD,17,1.0,0.0,282.2264709472656,0
27,21,1715.214599609375,2018-04-28,285.422607421875,31,R_A5,STANDARD,18,1.0,1.8810416413514094e-14,285.422607421875,0
28,21,1717.5220947265625,2018-04-28,285.6943664550781,31,R_A5,STANDARD,19,1.0,4.040229420823344e-15,285.6943664550781,0
29,21,1719.82958984375,2018-04-28,296.5894470214844,31,R_A5,STANDARD,20,1.0,-1.0598424466158994e-20,296.5894470214844,0
30,21,1722.13720703125,2018-04-28,303.98516845703125,31,R_A5,STANDARD,21,1.0,-1.1220495992696373e-21,303.98516845703125,0
31,21,1724.4447021484375,2018-04-28,306.892822265625,31,R_A5,STANDARD,22,1.0,-6.333790713745919e-23,306.892822265625,0
1,41,1608.183349609375,2018-07-03,275.5491027832031,28,R_A3,STANDARD,1,0.6510970592498779,0.0,275.5491027832031,0
2,41,1610.1558837890625,2018-07-03,275.66851806640625,28,R_A3,STANDARD,2,0.1937418431043625,0.0,275.66851806640625,0
2,41,1602.2109375,2018-07-03,275.1453552246094,29,R_A3,STANDARD,3,0.18051064014434814,0.0,275.1453552246094,0
3,41,1604.343505859375,2018-07-03,275.2871398925781,29,R_A3,STANDARD,4,0.14427421987056732,0.0,275.2871398925781,0
4,41,1606.4759521484375,2018-07-03,275.411376953125,29,R_A3,STANDARD,5,0.6535773277282715,0.0,275.411376953125,0
5,41,1608.6083984375,2018-07-03,275.738037109375,29,R_A3,STANDARD,6,0.8069078326225281,0.0,275.738037109375,0
6,41,1610.7408447265625,2018-07-03,275.7940368652344,29,R_A3,STANDARD,7,0.18170392513275146,0.0,275.7940368652344,0
7,41,1612.873291015625,2018-07-03,275.9364929199219,29,R_A3,STANDARD,8,0.19681860506534576,0.0,275.9364929199219,0
