SWAT,DRAWDOWN,DEPTH,CONKPOS,CONIPOS,CONJPOS,CONBPRES,WELL,CONIDX,SGAS,PRESSURE,WELLMODEL,DATE
1.0,0,1706.72119140625,14,31,21,305.912109375,R_A5,13,0.0,305.912109375,STANDARD,2018-01-01
1.0,0,1708.7598876953125,15,31,21,306.1053161621094,R_A5,14,0.0,306.1053161621094,STANDARD,2018-01-01
1.0,0,1710.798583984375,16,31,21,306.44354248046875,R_A5,15,0.0,306.44354248046875,STANDARD,2018-01-01
1.0,0,1712.8365478515625,17,31,21,306.6366882324219,R_A5,16,0.0,306.6366882324219,STANDARD,2018-01-01
1.0,0,1714.1904296875,18,31,21,306.7649841308594,R_A5,17,0.0,306.7649841308594,STANDARD,2018-01-01
1.0,0,1714.7374267578125,19,31,21,306.81683349609375,R_A5,18,0.0,306.81683349609375,STANDARD,2018-01-01
1.0,0,1716.064208984375,27,31,21,306.78546142578125,R_A5,19,0.0,306.78546142578125,STANDARD,2018-01-01
1.0,0,1718.2943115234375,28,31,21,307.3026123046875,R_A5,20,0.0,307.3026123046875,STANDARD,2018-01-01
1.0,0,1720.5245361328125,29,31,21,307.51397705078125,R_A5,21,0.0,307.51397705078125,STANDARD,2018-01-01
1.0,0,1722.754638671875,30,31,21,307.725341796875,R_A5,22,0.0,307.725341796875,STANDARD,2018-01-01
1.0,0,1724.9847412109375,31,31,21,307.93670654296875,R_A5,23,0.0,307.93670654296875,STANDARD,2018-01-01
1.0,0,1694.3260498046875,1,17,42,305.0311279296875,R_A6,1,0.0,305.0311279296875,STANDARD,2018-01-01
1.0,0,1695.8621826171875,2,17,42,305.17669677734375,R_A6,2,0.0,305.17669677734375,STANDARD,2018-01-01
1.0,0,1697.3983154296875,3,17,42,305.3222961425781,R_A6,3,0.0,305.3222961425781,STANDARD,2018-01-01
1.0,0,1698.9344482421875,4,17,42,305.4678649902344,R_A6,4,0.0,305.4678649902344,STANDARD,2018-01-01
1.0,0,1700.4705810546875,5,17,42,305.6134338378906,R_A6,5,0.0,305.6134338378906,STANDARD,2018-01-01
1.0,0,1702.0067138671875,6,17,42,305.7590026855469,R_A6,6,0.0,305.7590026855469,STANDARD,2018-01-01
1.0,0,1703.5428466796875,7,17,42,305.60552978515625,R_A6,7,0.0,305.60552978515625,STANDARD,2018-01-01
1.0,0,1705.0789794921875,8,17,42,305.7511291503906,R_A6,8,0.0,305.7511291503906,STANDARD,2018-01-01
1.0,0,1706.6151123046875,9,17,42,306.19573974609375,R_A6,9,0.0,306.19573974609375,STANDARD,2018-01-01
1.0,0,1708.151123046875,10,17,42,306.0355224609375,R_A6,10,0.0,306.0355224609375,STANDARD,2018-01-01
1.0,0,1710.06103515625,11,17,42,306.2166748046875,R_A6,11,0.0,306.2166748046875,STANDARD,2018-01-01
1.0,0,1712.344970703125,12,17,42,306.43310546875,R_A6,12,0.0,306.43310546875,STANDARD,2018-01-01
1.0,0,1714.628662109375,13,17,42,306.6615295410156,R_A6,13,0.0,306.6615295410156,STANDARD,2018-01-01
1.0,0,1716.9124755859375,14,17,42,306.8779602050781,R_A6,14,0.0,306.8779602050781,STANDARD,2018-01-01
1.0,0,1719.1962890625,15,17,42,307.09442138671875,R_A6,15,0.0,307.09442138671875,STANDARD,2018-01-01
1.0,0,1721.480224609375,16,17,42,307.45587158203125,R_A6,16,0.0,307.45587158203125,STANDARD,2018-01-01
1.0,0,1723.763916015625,17,17,42,307.6723327636719,R_A6,17,0.0,307.6723327636719,STANDARD,2018-01-01
1.0,0,1725.3289794921875,18,17,42,307.8206481933594,R_A6,18,0.0,307.8206481933594,STANDARD,2018-01-01
1.0,0,1726.6080322265625,27,17,42,307.7847900390625,R_A6,19,0.0,307.7847900390625,STANDARD,2018-01-01
1.0,0,1728.31982421875,28,17,42,308.2528076171875,R_A6,20,0.0,308.2528076171875,STANDARD,2018-01-01
1.0,0,1730.0313720703125,29,17,42,308.4150390625,R_A6,21,0.0,308.4150390625,STANDARD,2018-01-01
1.0,0,1731.7430419921875,30,17,42,308.5772705078125,R_A6,22,0.0,308.5772705078125,STANDARD,2018-01-01
1.0,0,1733.4547119140625,31,17,42,308.4337158203125,R_A6,23,0.0,308.4337158203125,STANDARD,2018-01-01
0.05284712463617325,0,1642.2652587890625,1,22,30,298.4486389160156,R_A2,1,0.0,298.4486389160156,STANDARD,2018-03-01
0.054598528891801834,0,1644.0089111328125,2,22,30,298.5655212402344,R_A2,2,0.0,298.5655212402344,STANDARD,2018-03-01
0.058909639716148376,0,1645.75244140625,3,22,30,298.68243408203125,R_A2,3,0.0,298.68243408203125,STANDARD,2018-03-01
0.06408022344112396,0,1647.49609375,4,22,30,298.7994079589844,R_A2,4,0.0,298.7994079589844,STANDARD,2018-03-01
0.06546902656555176,0,1649.23974609375,5,22,30,298.9163513183594,R_A2,5,0.0,298.9163513183594,STANDARD,2018-03-01
0.30038556456565857,0,1650.9835205078125,6,22,30,299.07672119140625,R_A2,6,0.0,299.07672119140625,STANDARD,2018-03-01
0.8728671073913574,0,1652.72705078125,7,22,30,299.28509521484375,R_A2,7,0.0,299.28509521484375,STANDARD,2018-03-01
0.6486982703208923,0,1654.470703125,8,22,30,299.4463806152344,R_A2,8,0.0,299.4463806152344,STANDARD,2018-03-01
0.2357160598039627,0,1656.21435546875,9,22,30,299.60888671875,R_A2,9,0.0,299.60888671875,STANDARD,2018-03-01
0.16753175854682922,0,1657.9580078125,10,22,30,299.73388671875,R_A2,10,0.0,299.73388671875,STANDARD,2018-03-01
0.07105337083339691,0,1659.8485107421875,11,22,30,299.94879150390625,R_A2,11,0.0,299.94879150390625,STANDARD,2018-03-01
0.16599510610103607,0,1661.885986328125,12,22,30,300.0871887207031,R_A2,12,0.0,300.0871887207031,STANDARD,2018-03-01
0.43555504083633423,0,1663.9234619140625,13,22,30,300.2257080078125,R_A2,13,0.0,300.2257080078125,STANDARD,2018-03-01
0.482582688331604,0,1665.9609375,14,22,30,300.3636779785156,R_A2,14,0.0,300.3636779785156,STANDARD,2018-03-01
0.9100145101547241,0,1667.9984130859375,15,22,30,300.50537109375,R_A2,15,0.0,300.50537109375,STANDARD,2018-03-01
0.9480103850364685,0,1670.035888671875,16,22,30,300.6470031738281,R_A2,16,0.0,300.6470031738281,STANDARD,2018-03-01
0.8841888308525085,0,1672.0733642578125,17,22,30,300.7870178222656,R_A2,17,0.0,300.7870178222656,STANDARD,2018-03-01
0.9489431381225586,0,1673.82177734375,18,22,30,300.90447998046875,R_A2,18,0.0,300.90447998046875,STANDARD,2018-03-01
0.9661198258399963,0,1675.352294921875,18,22,29,300.9857482910156,R_A2,19,0.0,300.9857482910156,STANDARD,2018-03-01
1.0,0,1677.2275390625,27,22,29,303.1614685058594,R_A2,20,-1.2322551290987194e-13,303.1614685058594,STANDARD,2018-03-01
