CONIDX,CONJPOS,PRESSURE,DATE,WELL,CONKPOS,SWAT,DRAWDOWN,CONIPOS,SGAS,DEPTH,WELLMODEL,CONBPRES
8,30,300.2054138183594,2018-03-01,R_A2,8,0.8632016777992249,0,22,0.0,1653.543701171875,STANDARD,300.2054138183594
9,30,300.3322448730469,2018-03-01,R_A2,9,0.8728355169296265,0,22,0.0,1655.3812255859375,STANDARD,300.3322448730469
10,30,300.55682373046875,2018-03-01,R_A2,10,0.8931485414505005,0,22,0.0,1657.21875,STANDARD,300.55682373046875
11,30,300.636962890625,2018-03-01,R_A2,11,0.0719548836350441,0,22,0.0,1659.181396484375,STANDARD,300.636962890625
12,30,301.244140625,2018-03-01,R_A2,13,0.428719162940979,0,22,0.0,1663.3568115234375,STANDARD,301.244140625
13,30,301.3725891113281,2018-03-01,R_A2,14,0.47544872760772705,0,22,0.0,1665.444580078125,STANDARD,301.3725891113281
14,30,301.5120544433594,2018-03-01,R_A2,15,0.6343286037445068,0,22,0.0,1667.5323486328125,STANDARD,301.5120544433594
15,30,301.65093994140625,2018-03-01,R_A2,16,0.9380775690078735,0,22,0.0,1669.6199951171875,STANDARD,301.65093994140625
16,30,301.7906188964844,2018-03-01,R_A2,17,0.9001994729042053,0,22,0.0,1671.707763671875,STANDARD,301.7906188964844
17,30,301.9216613769531,2018-03-01,R_A2,18,0.948523759841919,0,22,0.0,1673.665283203125,STANDARD,301.9216613769531
18,30,302.0043640136719,2018-03-01,R_A2,19,0.9733712673187256,0,22,0.0,1674.898193359375,STANDARD,302.0043640136719
19,30,301.94403076171875,2018-03-01,R_A2,26,0.24925008416175842,0,22,0.0,1676.1781005859375,STANDARD,301.94403076171875
20,29,301.757080078125,2018-03-01,R_A2,26,0.6521921753883362,0,22,0.0,1674.97412109375,STANDARD,301.757080078125
21,29,302.98858642578125,2018-03-01,R_A2,27,1.0,0,22,-2.373179506642148e-13,1676.849609375,STANDARD,302.98858642578125
22,29,302.9096984863281,2018-03-01,R_A2,28,1.0,0,22,-1.0573084698343657e-13,1678.7252197265625,STANDARD,302.9096984863281
23,29,302.4414367675781,2018-03-01,R_A2,29,0.8321692943572998,0,22,0.0,1680.600830078125,STANDARD,302.4414367675781
24,29,302.2417297363281,2018-03-01,R_A2,30,0.9999996423721313,0,22,-3.431267359133017e-08,1682.4764404296875,STANDARD,302.2417297363281
1,20,270.28363037109375,2018-04-28,R_A5,1,1.0,0,31,-4.138346752817967e-15,1685.3031005859375,STANDARD,270.28363037109375
2,20,270.5004577636719,2018-04-28,R_A5,2,1.0,0,31,-4.751850175415415e-15,1687.594970703125,STANDARD,270.5004577636719
3,20,270.71728515625,2018-04-28,R_A5,3,1.0,0,31,-5.074221597777982e-15,1689.8868408203125,STANDARD,270.71728515625
4,20,270.9341125488281,2018-04-28,R_A5,4,1.0,0,31,-4.57588797446928e-15,1692.1787109375,STANDARD,270.9341125488281
5,20,271.1509094238281,2018-04-28,R_A5,5,1.0,0,31,-3.742769237439526e-15,1694.4705810546875,STANDARD,271.1509094238281
6,20,271.36773681640625,2018-04-28,R_A5,6,1.0,0,31,-1.1934215653197893e-15,1696.762451171875,STANDARD,271.36773681640625
7,20,271.90625,2018-04-28,R_A5,7,1.0,0,31,-1.6060656563848813e-16,1699.0543212890625,STANDARD,271.90625
8,21,271.7766418457031,2018-04-28,R_A5,8,1.0,0,31,0.0,1691.8555908203125,STANDARD,271.7766418457031
9,21,265.9769287109375,2018-04-28,R_A5,11,1.0,0,31,2.0678884274279987e-15,1699.1337890625,STANDARD,265.9769287109375
10,21,266.206298828125,2018-04-28,R_A5,12,1.0,0,31,2.883843312331065e-15,1701.1866455078125,STANDARD,266.206298828125
11,21,266.4199523925781,2018-04-28,R_A5,13,1.0,0,31,1.3178959156550057e-16,1703.2396240234375,STANDARD,266.4199523925781
12,21,266.6146240234375,2018-04-28,R_A5,14,1.0,0,31,9.618968617699695e-16,1705.29248046875,STANDARD,266.6146240234375
13,21,266.8106384277344,2018-04-28,R_A5,15,1.0,0,31,9.860330656019808e-16,1707.345458984375,STANDARD,266.8106384277344
14,21,267.152587890625,2018-04-28,R_A5,16,1.0,0,31,1.163486573930875e-15,1709.3983154296875,STANDARD,267.152587890625
15,21,267.3347473144531,2018-04-28,R_A5,17,1.0,0,31,1.7751348884947177e-16,1711.451171875,STANDARD,267.3347473144531
16,21,267.4949951171875,2018-04-28,R_A5,18,1.0,0,31,8.599555598302978e-17,1713.338134765625,STANDARD,267.4949951171875
17,21,267.59283447265625,2018-04-28,R_A5,19,1.0,0,31,0.0,1714.518310546875,STANDARD,267.59283447265625
18,21,267.6348876953125,2018-04-28,R_A5,20,1.0,0,31,0.0,1715.0439453125,STANDARD,267.6348876953125
19,21,267.5998229980469,2018-04-28,R_A5,26,1.0,0,31,1.0040572914448418e-15,1716.515625,STANDARD,267.5998229980469
20,21,267.8992919921875,2018-04-28,R_A5,27,1.0,0,31,8.397539696220705e-16,1719.0472412109375,STANDARD,267.8992919921875
21,21,268.6095275878906,2018-04-28,R_A5,28,1.0,0,31,7.019317697015554e-17,1721.5789794921875,STANDARD,268.6095275878906
22,21,286.4388732910156,2018-04-28,R_A5,29,1.0,0,31,1.4402419717793645e-23,1724.110595703125,STANDARD,286.4388732910156
23,21,302.11328125,2018-04-28,R_A5,30,1.0,0,31,5.56682624039265e-26,1726.6422119140625,STANDARD,302.11328125
1,41,289.5843200683594,2018-07-03,R_A3,1,0.6490862965583801,0,28,0.0,1608.5284423828125,STANDARD,289.5843200683594
2,41,289.73468017578125,2018-07-03,R_A3,2,0.19415128231048584,0,28,0.0,1610.72021484375,STANDARD,289.73468017578125
3,41,289.8811340332031,2018-07-03,R_A3,3,0.1943875551223755,0,28,0.0,1612.911865234375,STANDARD,289.8811340332031
4,41,290.02752685546875,2018-07-03,R_A3,4,0.13610784709453583,0,28,0.0,1615.1036376953125,STANDARD,290.02752685546875
5,41,290.1903381347656,2018-07-03,R_A3,5,0.8108183145523071,0,28,0.0,1617.29541015625,STANDARD,290.1903381347656
6,41,289.6424255371094,2018-07-03,R_A3,5,0.8108951449394226,0,29,0.0,1609.572265625,STANDARD,289.6424255371094
7,41,289.7585754394531,2018-07-03,R_A3,6,0.6489963531494141,0,29,0.0,1611.536865234375,STANDARD,289.7585754394531
8,41,289.89373779296875,2018-07-03,R_A3,7,0.14536118507385254,0,29,0.0,1613.5015869140625,STANDARD,289.89373779296875
9,41,290.0251159667969,2018-07-03,R_A3,8,0.12494544684886932,0,29,0.0,1615.46630859375,STANDARD,290.0251159667969
10,41,290.1565246582031,2018-07-03,R_A3,9,0.6491485238075256,0,29,0.0,1617.430908203125,STANDARD,290.1565246582031
11,41,290.8717346191406,2018-07-03,R_A3,10,0.7985635995864868,0,29,0.0,1619.3955078125,STANDARD,290.8717346191406
12,41,289.8701477050781,2018-07-03,R_A3,11,0.04942768067121506,0,29,0.0,1621.490234375,STANDARD,289.8701477050781
13,41,290.0189208984375,2018-07-03,R_A3,12,0.053281549364328384,0,29,0.0,1623.7147216796875,STANDARD,290.0189208984375
14,41,290.1691589355469,2018-07-03,R_A3,13,0.37068694829940796,0,29,0.0,1625.9393310546875,STANDARD,290.1691589355469
15,41,291.0718688964844,2018-07-03,R_A3,15,0.4349166750907898,0,29,0.0,1630.388427734375,STANDARD,291.0718688964844
16,41,291.20928955078125,2018-07-03,R_A3,16,0.8039430379867554,0,29,0.0,1632.39013671875,STANDARD,291.20928955078125
