CONIDX,SGAS,WELLMODEL,DRAWDOWN,DATE,SWAT,DEPTH,CONJPOS,PRESSURE,CONIPOS,CONBPRES,CONKPOS,WELL
11,0.0,STANDARD,0,2018-07-03,0.04923347011208534,1622.03076171875,41,286.3752136230469,29,286.3752136230469,11,R_A3
12,0.0,STANDARD,0,2018-07-03,0.05552773177623749,1624.275390625,41,286.52520751953125,29,286.52520751953125,12,R_A3
13,0.0,STANDARD,0,2018-07-03,0.3713335692882538,1626.52001953125,41,286.67578125,29,286.67578125,13,R_A3
14,0.0,STANDARD,0,2018-07-03,0.6357846856117249,1630.959716796875,41,287.3934631347656,29,287.3934631347656,15,R_A3
15,0.0,STANDARD,0,2018-07-03,0.8016665577888489,1632.5762939453125,41,287.5446472167969,29,287.5446472167969,16,R_A3
16,-8.900258324394048e-14,STANDARD,0,2018-07-03,1.0,1634.7967529296875,41,287.984619140625,29,287.984619140625,26,R_A3
17,0.0,STANDARD,0,2018-07-03,0.05138716846704483,1638.1497802734375,41,285.6872253417969,29,285.6872253417969,27,R_A3
18,0.0,STANDARD,0,2018-07-03,0.05627603828907013,1641.5029296875,41,285.9112243652344,29,285.9112243652344,28,R_A3
19,-3.6558152338717065e-12,STANDARD,0,2018-07-03,1.0,1644.85595703125,41,288.08831787109375,29,288.08831787109375,29,R_A3
20,0.0,STANDARD,0,2018-07-03,0.06538847088813782,1648.2091064453125,41,286.3355407714844,29,286.3355407714844,30,R_A3
1,0.0,STANDARD,0,2018-09-12,0.047379978001117706,1625.56591796875,52,279.81561279296875,30,279.81561279296875,1,R_A4
2,0.0,STANDARD,0,2018-09-12,0.047740641981363297,1625.7022705078125,52,279.8675537109375,31,279.8675537109375,1,R_A4
3,0.0,STANDARD,0,2018-09-12,0.05012234300374985,1627.7857666015625,52,280.00653076171875,31,280.00653076171875,2,R_A4
4,0.0,STANDARD,0,2018-09-12,0.05130905658006668,1629.869384765625,52,280.1455383300781,31,280.1455383300781,3,R_A4
5,0.0,STANDARD,0,2018-09-12,0.0534101203083992,1631.952880859375,52,280.2845458984375,31,280.2845458984375,4,R_A4
6,0.0,STANDARD,0,2018-09-12,0.054256461560726166,1633.0811767578125,52,280.39727783203125,32,280.39727783203125,4,R_A4
7,0.0,STANDARD,0,2018-09-12,0.05604255199432373,1634.986572265625,52,280.52435302734375,32,280.52435302734375,5,R_A4
8,0.0,STANDARD,0,2018-09-12,0.05723189562559128,1634.6219482421875,51,280.44281005859375,32,280.44281005859375,5,R_A4
9,0.0,STANDARD,0,2018-09-12,0.056459493935108185,1632.8267822265625,51,280.3231201171875,32,280.3231201171875,4,R_A4
10,0.0,STANDARD,0,2018-09-12,0.059210170060396194,1636.261474609375,51,280.58917236328125,33,280.58917236328125,4,R_A4
