CONIDX,DEPTH,CONJPOS,WELLMODEL,SGAS,CONIPOS,DRAWDOWN,CONBPRES,SWAT,CONKPOS,WELL,DATE,PRESSURE
17,1671.2615966796875,30,STANDARD,0.0,22,0,301.260986328125,0.9545986652374268,17,R_A2,2018-03-01,301.260986328125
18,1673.025634765625,29,STANDARD,0.0,22,0,301.3338317871094,0.9722025394439697,17,R_A2,2018-03-01,301.3338317871094
19,1674.8734130859375,29,STANDARD,0.0,22,0,301.4576416015625,0.9972622394561768,18,R_A2,2018-03-01,301.4576416015625
20,1676.643310546875,29,STANDARD,-2.144631094756896e-15,22,0,302.8238525390625,1.0,27,R_A2,2018-03-01,302.8238525390625
21,1678.3785400390625,29,STANDARD,-1.9324902836012927e-17,22,0,303.1658935546875,1.0,28,R_A2,2018-03-01,303.1658935546875
22,1680.11376953125,29,STANDARD,-1.440741236344195e-16,22,0,302.9374694824219,1.0,29,R_A2,2018-03-01,302.9374694824219
23,1681.848876953125,29,STANDARD,-6.494521446239604e-14,22,0,302.189697265625,1.0,30,R_A2,2018-03-01,302.189697265625
24,1683.5841064453125,29,STANDARD,1.8929400269485086e-09,22,0,301.9906005859375,1.0,31,R_A2,2018-03-01,301.9906005859375
1,1684.117431640625,20,STANDARD,-1.5996507232978602e-13,31,0,273.6423034667969,1.0,1,R_A5,2018-04-28,273.6423034667969
2,1686.35107421875,20,STANDARD,-1.328612788261904e-15,31,0,273.853759765625,1.0,2,R_A5,2018-04-28,273.853759765625
3,1688.584716796875,20,STANDARD,-5.681021191666913e-12,31,0,274.0653991699219,1.0,3,R_A5,2018-04-28,274.0653991699219
4,1690.818359375,20,STANDARD,-7.211564678755167e-12,31,0,274.2770080566406,1.0,4,R_A5,2018-04-28,274.2770080566406
5,1693.052001953125,20,STANDARD,-7.05218609203806e-12,31,0,274.4885559082031,1.0,5,R_A5,2018-04-28,274.4885559082031
6,1695.2857666015625,20,STANDARD,-5.2603997546807335e-12,31,0,274.6999816894531,1.0,6,R_A5,2018-04-28,274.6999816894531
7,1697.5194091796875,20,STANDARD,-7.093797256422021e-14,31,0,275.2606201171875,1.0,7,R_A5,2018-04-28,275.2606201171875
8,1699.241455078125,21,STANDARD,0.0,31,0,274.96966552734375,1.0,10,R_A5,2018-04-28,274.96966552734375
9,1701.4384765625,21,STANDARD,-3.0518682025970634e-10,31,0,274.8343200683594,1.0,11,R_A5,2018-04-28,274.8343200683594
10,1703.3726806640625,21,STANDARD,-8.663274958520262e-11,31,0,275.0619201660156,1.0,12,R_A5,2018-04-28,275.0619201660156
11,1705.306884765625,21,STANDARD,-6.815333020160352e-11,31,0,275.2641906738281,1.0,13,R_A5,2018-04-28,275.2641906738281
12,1707.2410888671875,21,STANDARD,-9.494463548698207e-11,31,0,275.45458984375,1.0,14,R_A5,2018-04-28,275.45458984375
13,1709.17529296875,21,STANDARD,-7.330447360232029e-11,31,0,275.6587829589844,1.0,15,R_A5,2018-04-28,275.6587829589844
14,1711.1094970703125,21,STANDARD,-1.1649883314979181e-11,31,0,276.0267333984375,1.0,16,R_A5,2018-04-28,276.0267333984375
15,1713.0435791015625,21,STANDARD,-1.832824907468944e-12,31,0,276.2663269042969,1.0,17,R_A5,2018-04-28,276.2663269042969
16,1714.8154296875,21,STANDARD,-1.1422120844636896e-12,31,0,276.4870910644531,1.0,18,R_A5,2018-04-28,276.4870910644531
17,1715.893310546875,21,STANDARD,0.0,31,0,276.61212158203125,1.0,19,R_A5,2018-04-28,276.61212158203125
18,1717.3006591796875,21,STANDARD,-1.3037018686823387e-10,31,0,276.60369873046875,1.0,27,R_A5,2018-04-28,276.60369873046875
19,1719.56884765625,21,STANDARD,-1.373323260667192e-10,31,0,276.84490966796875,1.0,28,R_A5,2018-04-28,276.84490966796875
20,1721.837158203125,21,STANDARD,-1.7657045001160212e-16,31,0,287.849609375,1.0,29,R_A5,2018-04-28,287.849609375
21,1724.1053466796875,21,STANDARD,-7.339725479954193e-14,31,0,291.3370361328125,1.0,30,R_A5,2018-04-28,291.3370361328125
22,1726.37353515625,21,STANDARD,-5.962517670354481e-14,31,0,282.2156066894531,1.0,31,R_A5,2018-04-28,282.2156066894531
1,1609.2603759765625,41,STANDARD,0.0,28,0,281.3467712402344,0.6493523120880127,1,R_A3,2018-07-03,281.3467712402344
2,1611.3494873046875,41,STANDARD,0.0,28,0,281.5018310546875,0.19972866773605347,2,R_A3,2018-07-03,281.5018310546875
3,1613.4385986328125,41,STANDARD,0.0,28,0,281.6413879394531,0.19442567229270935,3,R_A3,2018-07-03,281.6413879394531
4,1615.527587890625,41,STANDARD,0.0,28,0,281.819091796875,0.37631258368492126,4,R_A3,2018-07-03,281.819091796875
5,1617.61669921875,41,STANDARD,0.0,28,0,281.9864501953125,0.6494153141975403,5,R_A3,2018-07-03,281.9864501953125
6,1619.705810546875,41,STANDARD,0.0,28,0,282.162841796875,0.15315136313438416,6,R_A3,2018-07-03,282.162841796875
7,1621.794921875,41,STANDARD,0.0,28,0,282.3023681640625,0.1367424875497818,7,R_A3,2018-07-03,282.3023681640625
8,1623.8839111328125,41,STANDARD,0.0,28,0,282.44305419921875,0.21395635604858398,8,R_A3,2018-07-03,282.44305419921875
9,1615.5555419921875,41,STANDARD,0.0,29,0,281.7804870605469,0.20101991295814514,8,R_A3,2018-07-03,281.7804870605469
10,1617.4500732421875,41,STANDARD,0.0,29,0,281.9211730957031,0.6908283829689026,9,R_A3,2018-07-03,281.9211730957031
11,1619.344482421875,41,STANDARD,0.0,29,0,282.6026306152344,0.8068179488182068,10,R_A3,2018-07-03,282.6026306152344
12,1621.394287109375,41,STANDARD,0.0,29,0,282.7754211425781,0.05170352756977081,11,R_A3,2018-07-03,282.7754211425781
13,1623.5992431640625,41,STANDARD,0.0,29,0,282.9226379394531,0.055159274488687515,12,R_A3,2018-07-03,282.9226379394531
14,1625.8043212890625,41,STANDARD,0.0,29,0,283.0701599121094,0.3769500255584717,13,R_A3,2018-07-03,283.0701599121094
15,1630.175537109375,41,STANDARD,0.0,29,0,284.154541015625,0.5037046074867249,15,R_A3,2018-07-03,284.154541015625
16,1631.6993408203125,41,STANDARD,0.0,29,0,284.26910400390625,0.8082313537597656,16,R_A3,2018-07-03,284.26910400390625
17,1632.280517578125,41,STANDARD,0.0,29,0,284.30841064453125,0.7756803035736084,17,R_A3,2018-07-03,284.30841064453125
18,1634.1356201171875,41,STANDARD,-3.19188870889775e-08,29,0,286.7897033691406,0.999999463558197,27,R_A3,2018-07-03,286.7897033691406
19,1637.603515625,41,STANDARD,0.0,29,0,284.0032043457031,0.08263728022575378,28,R_A3,2018-07-03,284.0032043457031
20,1641.071533203125,41,STANDARD,0.0,29,0,284.23468017578125,0.08376629650592804,29,R_A3,2018-07-03,284.23468017578125
21,1644.53955078125,41,STANDARD,0.0,29,0,284.46307373046875,0.6494889259338379,30,R_A3,2018-07-03,284.46307373046875
22,1648.0074462890625,41,STANDARD,0.0,29,0,284.6950378417969,0.06493068486452103,31,R_A3,2018-07-03,284.6950378417969
1,1625.2891845703125,52,STANDARD,0.0,30,0,274.15277099609375,0.04747321456670761,1,R_A4,2018-09-12,274.15277099609375
2,1622.84326171875,52,STANDARD,0.0,31,0,274.2668762207031,0.04683846980333328,1,R_A4,2018-09-12,274.2668762207031
3,1624.9423828125,52,STANDARD,0.0,31,0,274.4067077636719,0.049309175461530685,2,R_A4,2018-09-12,274.4067077636719
