WELL,DEPTH,CONIPOS,PRESSURE,CONKPOS,CONIDX,SWAT,CONBPRES,DATE,DRAWDOWN,WELLMODEL,CONJPOS,SGAS
R_A5,1718.098388671875,31,306.978271484375,28,19,1.0,306.978271484375,2018-01-01,0,STANDARD,21,0.0
R_A5,1720.43408203125,31,307.5054016113281,29,20,1.0,307.5054016113281,2018-01-01,0,STANDARD,21,0.0
R_A5,1722.7696533203125,31,307.7267761230469,30,21,1.0,307.7267761230469,2018-01-01,0,STANDARD,21,0.0
R_A5,1725.105224609375,31,307.9481506347656,31,22,1.0,307.9481506347656,2018-01-01,0,STANDARD,21,0.0
R_A6,1695.20263671875,17,305.11419677734375,1,1,1.0,305.11419677734375,2018-01-01,0,STANDARD,42,0.0
R_A6,1696.7510986328125,17,305.2609558105469,2,2,1.0,305.2609558105469,2018-01-01,0,STANDARD,42,0.0
R_A6,1698.299560546875,17,305.4076843261719,3,3,1.0,305.4076843261719,2018-01-01,0,STANDARD,42,0.0
R_A6,1699.84814453125,17,305.554443359375,4,4,1.0,305.554443359375,2018-01-01,0,STANDARD,42,0.0
R_A6,1701.3966064453125,17,305.7012023925781,5,5,1.0,305.7012023925781,2018-01-01,0,STANDARD,42,0.0
R_A6,1702.9451904296875,17,305.84796142578125,6,6,1.0,305.84796142578125,2018-01-01,0,STANDARD,42,0.0
R_A6,1704.49365234375,17,305.6956481933594,7,7,1.0,305.6956481933594,2018-01-01,0,STANDARD,42,0.0
R_A6,1706.042236328125,17,306.1414489746094,8,8,1.0,306.1414489746094,2018-01-01,0,STANDARD,42,0.0
R_A6,1707.5906982421875,17,306.2882080078125,9,9,1.0,306.2882080078125,2018-01-01,0,STANDARD,42,0.0
R_A6,1709.1392822265625,17,306.1291809082031,10,10,1.0,306.1291809082031,2018-01-01,0,STANDARD,42,0.0
R_A6,1711.055419921875,17,306.3109130859375,11,11,1.0,306.3109130859375,2018-01-01,0,STANDARD,42,0.0
R_A6,1713.3392333984375,17,306.52734375,12,12,1.0,306.52734375,2018-01-01,0,STANDARD,42,0.0
R_A6,1715.623046875,17,306.7557678222656,13,13,1.0,306.7557678222656,2018-01-01,0,STANDARD,42,0.0
R_A6,1717.9068603515625,17,306.9721984863281,14,14,1.0,306.9721984863281,2018-01-01,0,STANDARD,42,0.0
R_A6,1720.190673828125,17,307.18865966796875,15,15,1.0,307.18865966796875,2018-01-01,0,STANDARD,42,0.0
R_A6,1722.474365234375,17,307.55010986328125,16,16,1.0,307.55010986328125,2018-01-01,0,STANDARD,42,0.0
R_A6,1724.7581787109375,17,307.7665710449219,17,17,1.0,307.7665710449219,2018-01-01,0,STANDARD,42,0.0
R_A6,1726.394287109375,17,307.921630859375,18,18,1.0,307.921630859375,2018-01-01,0,STANDARD,42,0.0
R_A6,1727.7508544921875,17,307.8930969238281,27,19,1.0,307.8930969238281,2018-01-01,0,STANDARD,42,0.0
R_A6,1729.4755859375,17,308.3623352050781,28,20,1.0,308.3623352050781,2018-01-01,0,STANDARD,42,0.0
R_A6,1731.2001953125,17,308.22003173828125,29,21,1.0,308.22003173828125,2018-01-01,0,STANDARD,42,0.0
R_A6,1732.9249267578125,17,308.68927001953125,30,22,1.0,308.68927001953125,2018-01-01,0,STANDARD,42,0.0
R_A6,1734.649658203125,17,308.5469665527344,31,23,1.0,308.5469665527344,2018-01-01,0,STANDARD,42,0.0
R_A2,1641.094970703125,22,298.42535400390625,1,1,0.056835729628801346,298.42535400390625,2018-03-01,0,STANDARD,30,0.0
R_A2,1642.8890380859375,22,298.54559326171875,2,2,0.05988040193915367,298.54559326171875,2018-03-01,0,STANDARD,30,0.0
R_A2,1644.68310546875,22,298.6658020019531,3,3,0.06266142427921295,298.6658020019531,2018-03-01,0,STANDARD,30,0.0
R_A2,1646.4771728515625,22,298.7860412597656,4,4,0.06651333719491959,298.7860412597656,2018-03-01,0,STANDARD,30,0.0
R_A2,1648.2713623046875,22,298.90625,5,5,0.07090826332569122,298.90625,2018-03-01,0,STANDARD,30,0.0
R_A2,1650.0654296875,22,299.0264587402344,6,6,0.2394682765007019,299.0264587402344,2018-03-01,0,STANDARD,30,0.0
R_A2,1651.859619140625,22,299.15576171875,7,7,0.89506596326828,299.15576171875,2018-03-01,0,STANDARD,30,0.0
R_A2,1653.6536865234375,22,299.2832946777344,8,8,0.8684250712394714,299.2832946777344,2018-03-01,0,STANDARD,30,0.0
R_A2,1655.44775390625,22,299.41009521484375,9,9,0.8944942951202393,299.41009521484375,2018-03-01,0,STANDARD,30,0.0
R_A2,1657.2418212890625,22,299.7151794433594,10,10,0.9061729311943054,299.7151794433594,2018-03-01,0,STANDARD,30,0.0
R_A2,1659.1368408203125,22,299.881591796875,11,11,0.07781728357076645,299.881591796875,2018-03-01,0,STANDARD,30,0.0
R_A2,1661.132568359375,22,300.0153503417969,12,12,0.08122388273477554,300.0153503417969,2018-03-01,0,STANDARD,30,0.0
R_A2,1663.12841796875,22,300.1506652832031,13,13,0.463757187128067,300.1506652832031,2018-03-01,0,STANDARD,30,0.0
R_A2,1665.1241455078125,22,300.28729248046875,14,14,0.5083343386650085,300.28729248046875,2018-03-01,0,STANDARD,30,0.0
R_A2,1667.1199951171875,22,300.42572021484375,15,15,0.6799160242080688,300.42572021484375,2018-03-01,0,STANDARD,30,0.0
R_A2,1669.11572265625,22,300.5603332519531,16,16,0.9764847159385681,300.5603332519531,2018-03-01,0,STANDARD,30,0.0
R_A2,1671.111572265625,22,300.6951904296875,17,17,0.9520865082740784,300.6951904296875,2018-03-01,0,STANDARD,30,0.0
R_A2,1672.9881591796875,22,300.82147216796875,18,18,0.9803770184516907,300.82147216796875,2018-03-01,0,STANDARD,30,0.0
R_A2,1674.229736328125,22,300.7896728515625,18,19,0.9920998215675354,300.7896728515625,2018-03-01,0,STANDARD,29,0.0
R_A2,1675.235107421875,22,300.86285400390625,19,20,0.9869248270988464,300.86285400390625,2018-03-01,0,STANDARD,29,0.0
R_A2,1676.1676025390625,22,301.1002502441406,27,21,0.44461026787757874,301.1002502441406,2018-03-01,0,STANDARD,29,0.0
R_A2,1677.9368896484375,22,302.311279296875,28,22,1.0,302.311279296875,2018-03-01,0,STANDARD,29,-2.3269854467801443e-13
R_A2,1679.7061767578125,22,303.17559814453125,29,23,1.0,303.17559814453125,2018-03-01,0,STANDARD,29,-5.291518159517179e-15
R_A2,1681.4754638671875,22,303.6237487792969,30,24,1.0,303.6237487792969,2018-03-01,0,STANDARD,29,-2.2094591054821387e-16
R_A2,1683.2447509765625,22,303.88580322265625,31,25,1.0,303.88580322265625,2018-03-01,0,STANDARD,29,-2.6761104341631936e-17
R_A5,1685.026611328125,31,274.79278564453125,1,1,1.0,274.79278564453125,2018-04-28,0,STANDARD,20,5.972135221250785e-14
R_A5,1687.3070068359375,31,275.00872802734375,2,2,1.0,275.00872802734375,2018-04-28,0,STANDARD,20,4.942862457768364e-14
R_A5,1689.5875244140625,31,275.2242736816406,3,3,1.0,275.2242736816406,2018-04-28,0,STANDARD,20,4.816555953992413e-14
