CONIDX,CONJPOS,CONBPRES,DATE,CONIPOS,DRAWDOWN,SGAS,CONKPOS,PRESSURE,WELLMODEL,SWAT,DEPTH,WELL
6,20,282.4373779296875,2018-04-28,31,0,1.88506179524435e-13,6,282.4373779296875,STANDARD,1.0,1698.092529296875,R_A5
7,20,282.97271728515625,2018-04-28,31,0,6.362481101157981e-16,7,282.97271728515625,STANDARD,1.0,1700.3380126953125,R_A5
8,21,282.8776550292969,2018-04-28,31,0,7.60547562970483e-14,11,282.8776550292969,STANDARD,1.0,1699.0872802734375,R_A5
9,21,283.0595397949219,2018-04-28,31,0,6.047103735720011e-14,12,283.0595397949219,STANDARD,1.0,1701.0013427734375,R_A5
10,21,283.2530212402344,2018-04-28,31,0,2.759970037751044e-15,13,283.2530212402344,STANDARD,1.0,1702.9154052734375,R_A5
11,21,283.434326171875,2018-04-28,31,0,4.342604512883605e-15,14,283.434326171875,STANDARD,1.0,1704.8294677734375,R_A5
12,21,283.8305358886719,2018-04-28,31,0,4.617740931184299e-16,15,283.8305358886719,STANDARD,1.0,1706.743408203125,R_A5
13,21,284.2930603027344,2018-04-28,31,0,9.131179284034888e-16,16,284.2930603027344,STANDARD,1.0,1708.657470703125,R_A5
14,21,284.4763488769531,2018-04-28,31,0,1.860980221861063e-16,17,284.4763488769531,STANDARD,1.0,1710.571533203125,R_A5
15,21,284.6368713378906,2018-04-28,31,0,3.296765786068228e-16,18,284.6368713378906,STANDARD,1.0,1712.2626953125,R_A5
16,21,284.7370300292969,2018-04-28,31,0,3.3375467167093785e-16,19,284.7370300292969,STANDARD,1.0,1713.321533203125,R_A5
17,21,284.67706298828125,2018-04-28,31,0,7.765847868972417e-18,26,284.67706298828125,STANDARD,1.0,1714.90380859375,R_A5
18,21,284.895751953125,2018-04-28,31,0,3.0535217216030163e-18,27,284.895751953125,STANDARD,1.0,1717.2447509765625,R_A5
19,21,285.1879577636719,2018-04-28,31,0,-2.5249976211297666e-24,28,285.1879577636719,STANDARD,1.0,1719.585693359375,R_A5
20,21,288.1194152832031,2018-04-28,31,0,-2.307037601270781e-23,29,288.1194152832031,STANDARD,1.0,1721.926513671875,R_A5
21,21,289.4732971191406,2018-04-28,31,0,-2.78487645717551e-25,30,289.4732971191406,STANDARD,1.0,1724.2674560546875,R_A5
1,41,274.4913635253906,2018-07-03,28,0,0.0,1,274.4913635253906,STANDARD,0.650844156742096,1608.82861328125,R_A3
2,41,274.6280212402344,2018-07-03,28,0,0.0,2,274.6280212402344,STANDARD,0.20310388505458832,1610.84912109375,R_A3
3,41,273.9847412109375,2018-07-03,29,0,0.0,2,273.9847412109375,STANDARD,0.1909041851758957,1600.84814453125,R_A3
4,41,274.1313781738281,2018-07-03,29,0,0.0,3,274.1313781738281,STANDARD,0.19434259831905365,1603.0472412109375,R_A3
5,41,274.2686767578125,2018-07-03,29,0,0.0,4,274.2686767578125,STANDARD,0.3585538864135742,1605.246337890625,R_A3
6,41,274.3898620605469,2018-07-03,29,0,0.0,5,274.3898620605469,STANDARD,0.8124340772628784,1607.4454345703125,R_A3
7,41,274.3191223144531,2018-07-03,29,0,0.0,6,274.3191223144531,STANDARD,0.6538180708885193,1609.6446533203125,R_A3
8,41,274.4658508300781,2018-07-03,29,0,0.0,7,274.4658508300781,STANDARD,0.20457400381565094,1611.8438720703125,R_A3
9,41,274.6123046875,2018-07-03,29,0,0.0,8,274.6123046875,STANDARD,0.2937712073326111,1614.04296875,R_A3
10,41,274.8183898925781,2018-07-03,29,0,0.0,9,274.8183898925781,STANDARD,0.8099372982978821,1616.2420654296875,R_A3
11,41,275.1622314453125,2018-07-03,29,0,0.0,10,275.1622314453125,STANDARD,0.8073938488960266,1618.4412841796875,R_A3
12,41,289.2678527832031,2018-07-03,29,0,0.0,11,289.2678527832031,STANDARD,0.05314017832279205,1620.6380615234375,R_A3
13,41,289.41461181640625,2018-07-03,29,0,0.0,12,289.41461181640625,STANDARD,0.05728676915168762,1622.8326416015625,R_A3
14,41,289.5621032714844,2018-07-03,29,0,0.0,13,289.5621032714844,STANDARD,0.3785800635814667,1625.027099609375,R_A3
15,41,289.8584899902344,2018-07-03,29,0,0.0,14,289.8584899902344,STANDARD,0.2794700860977173,1627.2216796875,R_A3
16,41,290.28143310546875,2018-07-03,29,0,0.0,15,290.28143310546875,STANDARD,0.3561236560344696,1629.4161376953125,R_A3
17,41,290.4381408691406,2018-07-03,29,0,0.0,16,290.4381408691406,STANDARD,0.823128879070282,1631.584716796875,R_A3
18,41,290.51580810546875,2018-07-03,29,0,0.0,17,290.51580810546875,STANDARD,0.7974922060966492,1632.773193359375,R_A3
19,41,282.7871398925781,2018-07-03,29,0,0.0,26,282.7871398925781,STANDARD,0.19888372719287872,1634.7275390625,R_A3
20,41,282.9037170410156,2018-07-03,29,0,0.0,27,282.9037170410156,STANDARD,0.06183507293462753,1638.40185546875,R_A3
21,41,283.14788818359375,2018-07-03,29,0,0.0,28,283.14788818359375,STANDARD,0.08213209360837936,1642.0760498046875,R_A3
22,41,283.3960876464844,2018-07-03,29,0,0.0,29,283.3960876464844,STANDARD,0.2615414261817932,1645.750244140625,R_A3
