CONIDX,CONKPOS,WELLMODEL,CONIPOS,WELL,SWAT,PRESSURE,SGAS,DATE,CONJPOS,DEPTH,CONBPRES,DRAWDOWN
9,12,STANDARD,31,R_A5,1.0,306.1695251464844,0.0,2018-01-01,20,1709.5638427734375,306.1695251464844,0
10,12,STANDARD,31,R_A5,1.0,305.4322814941406,0.0,2018-01-01,21,1701.7845458984375,305.4322814941406,0
11,13,STANDARD,31,R_A5,1.0,305.6291198730469,0.0,2018-01-01,21,1703.735107421875,305.6291198730469,0
12,14,STANDARD,31,R_A5,1.0,305.81396484375,0.0,2018-01-01,21,1705.6856689453125,305.81396484375,0
13,15,STANDARD,31,R_A5,1.0,305.9988098144531,0.0,2018-01-01,21,1707.63623046875,305.9988098144531,0
14,16,STANDARD,31,R_A5,1.0,306.3287048339844,0.0,2018-01-01,21,1709.5867919921875,306.3287048339844,0
15,17,STANDARD,31,R_A5,1.0,306.5135498046875,0.0,2018-01-01,21,1711.537353515625,306.5135498046875,0
16,18,STANDARD,31,R_A5,1.0,306.6856994628906,0.0,2018-01-01,21,1713.35400390625,306.6856994628906,0
17,19,STANDARD,31,R_A5,1.0,306.7843933105469,0.0,2018-01-01,21,1714.3951416015625,306.7843933105469,0
18,27,STANDARD,31,R_A5,1.0,306.75689697265625,0.0,2018-01-01,21,1715.7628173828125,306.75689697265625,0
19,28,STANDARD,31,R_A5,1.0,306.978271484375,0.0,2018-01-01,21,1718.098388671875,306.978271484375,0
20,29,STANDARD,31,R_A5,1.0,307.5054016113281,0.0,2018-01-01,21,1720.43408203125,307.5054016113281,0
21,30,STANDARD,31,R_A5,1.0,307.7267761230469,0.0,2018-01-01,21,1722.7696533203125,307.7267761230469,0
22,31,STANDARD,31,R_A5,1.0,307.9481506347656,0.0,2018-01-01,21,1725.105224609375,307.9481506347656,0
1,1,STANDARD,17,R_A6,1.0,305.11419677734375,0.0,2018-01-01,42,1695.20263671875,305.11419677734375,0
2,2,STANDARD,17,R_A6,1.0,304.9618835449219,0.0,2018-01-01,42,1696.7510986328125,304.9618835449219,0
3,3,STANDARD,17,R_A6,1.0,305.4076843261719,0.0,2018-01-01,42,1698.299560546875,305.4076843261719,0
4,4,STANDARD,17,R_A6,1.0,305.554443359375,0.0,2018-01-01,42,1699.84814453125,305.554443359375,0
5,5,STANDARD,17,R_A6,1.0,305.7012023925781,0.0,2018-01-01,42,1701.3966064453125,305.7012023925781,0
6,6,STANDARD,17,R_A6,1.0,305.84796142578125,0.0,2018-01-01,42,1702.9451904296875,305.84796142578125,0
7,7,STANDARD,17,R_A6,1.0,305.6956481933594,0.0,2018-01-01,42,1704.49365234375,305.6956481933594,0
8,8,STANDARD,17,R_A6,1.0,305.8424072265625,0.0,2018-01-01,42,1706.042236328125,305.8424072265625,0
9,9,STANDARD,17,R_A6,1.0,306.2882080078125,0.0,2018-01-01,42,1707.5906982421875,306.2882080078125,0
10,10,STANDARD,17,R_A6,1.0,306.1291809082031,0.0,2018-01-01,42,1709.1392822265625,306.1291809082031,0
11,11,STANDARD,17,R_A6,1.0,306.3109130859375,0.0,2018-01-01,42,1711.055419921875,306.3109130859375,0
12,12,STANDARD,17,R_A6,1.0,306.52734375,0.0,2018-01-01,42,1713.3392333984375,306.52734375,0
13,13,STANDARD,17,R_A6,1.0,306.7557678222656,0.0,2018-01-01,42,1715.623046875,306.7557678222656,0
14,14,STANDARD,17,R_A6,1.0,306.9721984863281,0.0,2018-01-01,42,1717.9068603515625,306.9721984863281,0
15,15,STANDARD,17,R_A6,1.0,307.18865966796875,0.0,2018-01-01,42,1720.190673828125,307.18865966796875,0
16,16,STANDARD,17,R_A6,1.0,307.55010986328125,0.0,2018-01-01,42,1722.474365234375,307.55010986328125,0
17,17,STANDARD,17,R_A6,1.0,307.7665710449219,0.0,2018-01-01,42,1724.7581787109375,307.7665710449219,0
18,18,STANDARD,17,R_A6,1.0,307.921630859375,0.0,2018-01-01,42,1726.394287109375,307.921630859375,0
19,27,STANDARD,17,R_A6,1.0,307.8930969238281,0.0,2018-01-01,42,1727.7508544921875,307.8930969238281,0
20,28,STANDARD,17,R_A6,1.0,308.3623352050781,0.0,2018-01-01,42,1729.4755859375,308.3623352050781,0
21,29,STANDARD,17,R_A6,1.0,308.52581787109375,0.0,2018-01-01,42,1731.2001953125,308.52581787109375,0
22,30,STANDARD,17,R_A6,1.0,308.68927001953125,0.0,2018-01-01,42,1732.9249267578125,308.68927001953125,0
23,31,STANDARD,17,R_A6,1.0,308.5469665527344,0.0,2018-01-01,42,1734.649658203125,308.5469665527344,0
1,1,STANDARD,22,R_A2,0.057651784271001816,298.9376220703125,0.0,2018-03-01,30,1641.094970703125,298.9376220703125,0
2,2,STANDARD,22,R_A2,0.05855844169855118,299.05792236328125,0.0,2018-03-01,30,1642.8890380859375,299.05792236328125,0
3,3,STANDARD,22,R_A2,0.061209484934806824,299.17816162109375,0.0,2018-03-01,30,1644.68310546875,299.17816162109375,0
4,4,STANDARD,22,R_A2,0.06639280915260315,299.2984313964844,0.0,2018-03-01,30,1646.4771728515625,299.2984313964844,0
5,5,STANDARD,22,R_A2,0.06882799416780472,299.418701171875,0.0,2018-03-01,30,1648.2713623046875,299.418701171875,0
6,6,STANDARD,22,R_A2,0.31204357743263245,299.5552978515625,0.0,2018-03-01,30,1650.0654296875,299.5552978515625,0
7,7,STANDARD,22,R_A2,0.8978009819984436,299.6788635253906,0.0,2018-03-01,30,1651.859619140625,299.6788635253906,0
8,8,STANDARD,22,R_A2,0.8618034720420837,299.8020324707031,0.0,2018-03-01,30,1653.6536865234375,299.8020324707031,0
9,9,STANDARD,22,R_A2,0.9104803204536438,299.9595031738281,0.0,2018-03-01,30,1655.44775390625,299.9595031738281,0
10,10,STANDARD,22,R_A2,0.9083477854728699,300.0652770996094,0.0,2018-03-01,30,1657.2418212890625,300.0652770996094,0
