CONJPOS,CONIPOS,CONBPRES,SGAS,CONIDX,CONKPOS,PRESSURE,DRAWDOWN,DEPTH,SWAT,DATE,WELLMODEL,WELL
41,28,282.9222106933594,0.0,2,2,282.9222106933594,0,1612.859619140625,0.19338738918304443,2018-07-03,STANDARD,R_A3
41,28,283.0601501464844,0.0,3,3,283.0601501464844,0,1614.9288330078125,0.11859381943941116,2018-07-03,STANDARD,R_A3
41,29,282.13922119140625,0.0,4,3,282.13922119140625,0,1600.968505859375,0.18177089095115662,2018-07-03,STANDARD,R_A3
41,29,282.2875061035156,0.0,5,4,282.2875061035156,0,1603.1846923828125,0.22082629799842834,2018-07-03,STANDARD,R_A3
41,29,282.4358215332031,0.0,6,5,282.4358215332031,0,1605.40087890625,0.6492159366607666,2018-07-03,STANDARD,R_A3
41,29,282.5904541015625,0.0,7,6,282.5904541015625,0,1607.616943359375,0.6492123007774353,2018-07-03,STANDARD,R_A3
41,29,282.75701904296875,0.0,8,7,282.75701904296875,0,1609.8331298828125,0.19254398345947266,2018-07-03,STANDARD,R_A3
41,29,282.9049072265625,0.0,9,8,282.9049072265625,0,1612.0491943359375,0.17418690025806427,2018-07-03,STANDARD,R_A3
41,29,283.1642150878906,0.0,10,9,283.1642150878906,0,1614.265380859375,0.7895762324333191,2018-07-03,STANDARD,R_A3
41,29,285.1166687011719,0.0,11,10,285.1166687011719,0,1616.4815673828125,0.7940271496772766,2018-07-03,STANDARD,R_A3
41,29,297.7096862792969,0.0,12,11,297.7096862792969,0,1618.7354736328125,0.04694611206650734,2018-07-03,STANDARD,R_A3
41,29,297.8632507324219,0.0,13,12,297.8632507324219,0,1621.027099609375,0.05100451782345772,2018-07-03,STANDARD,R_A3
41,29,298.0169372558594,0.0,14,13,298.0169372558594,0,1623.31884765625,0.360824853181839,2018-07-03,STANDARD,R_A3
41,29,298.2514953613281,0.0,15,14,298.2514953613281,0,1625.6103515625,0.36997750401496887,2018-07-03,STANDARD,R_A3
41,29,298.3545837402344,0.0,16,15,298.3545837402344,0,1627.902099609375,0.350902795791626,2018-07-03,STANDARD,R_A3
41,29,298.4949645996094,0.0,17,16,298.4949645996094,0,1630.068115234375,0.7952364087104797,2018-07-03,STANDARD,R_A3
41,29,298.55047607421875,0.0,18,17,298.55047607421875,0,1631.275634765625,0.7750627398490906,2018-07-03,STANDARD,R_A3
41,29,285.0561218261719,0.0,19,25,285.0561218261719,0,1633.384033203125,0.38704031705856323,2018-07-03,STANDARD,R_A3
41,29,285.3057556152344,0.0,20,26,285.3057556152344,0,1637.2264404296875,0.04632800817489624,2018-07-03,STANDARD,R_A3
41,29,285.5623779296875,0.0,21,27,285.5623779296875,0,1641.0689697265625,0.049344755709171295,2018-07-03,STANDARD,R_A3
41,29,285.8186950683594,0.0,22,28,285.8186950683594,0,1644.9114990234375,0.13297699391841888,2018-07-03,STANDARD,R_A3
41,29,286.0744934082031,0.0,23,29,286.0744934082031,0,1648.75390625,0.06101935729384422,2018-07-03,STANDARD,R_A3
52,30,278.6252136230469,0.0,1,1,278.6252136230469,0,1632.2177734375,0.050890002399683,2018-09-12,STANDARD,R_A4
52,31,278.38482666015625,0.0,2,1,278.38482666015625,0,1627.269775390625,0.0489104725420475,2018-09-12,STANDARD,R_A4
52,31,278.51605224609375,0.0,3,2,278.51605224609375,0,1629.237548828125,0.04971865937113762,2018-09-12,STANDARD,R_A4
52,31,278.6471862792969,0.0,4,3,278.6471862792969,0,1631.205322265625,0.05116524174809456,2018-09-12,STANDARD,R_A4
52,31,278.7783508300781,0.0,5,4,278.7783508300781,0,1633.173095703125,0.05212928727269173,2018-09-12,STANDARD,R_A4
52,32,278.69842529296875,0.0,6,4,278.69842529296875,0,1630.630615234375,0.05174698308110237,2018-09-12,STANDARD,R_A4
52,32,278.8118896484375,0.0,7,5,278.8118896484375,0,1632.452880859375,0.05409024655818939,2018-09-12,STANDARD,R_A4
51,32,278.9666442871094,0.0,8,5,278.9666442871094,0,1636.4349365234375,0.12339992821216583,2018-09-12,STANDARD,R_A4
51,33,279.0816650390625,0.0,9,5,279.0816650390625,0,1636.4205322265625,0.20306409895420074,2018-09-12,STANDARD,R_A4
50,33,279.3026428222656,0.0,10,5,279.3026428222656,0,1642.8046875,0.23433789610862732,2018-09-12,STANDARD,R_A4
50,34,279.3567810058594,0.0,11,5,279.3567810058594,0,1641.41162109375,0.06184902787208557,2018-09-12,STANDARD,R_A4
50,34,279.23406982421875,0.0,12,4,279.23406982421875,0,1639.570068359375,0.05943220853805542,2018-09-12,STANDARD,R_A4
50,35,279.48199462890625,0.0,13,4,279.48199462890625,0,1640.7745361328125,0.06151563674211502,2018-09-12,STANDARD,R_A4
50,35,279.3617858886719,0.0,14,3,279.3617858886719,0,1638.96875,0.1579267382621765,2018-09-12,STANDARD,R_A4
49,35,279.4017333984375,0.0,15,3,279.4017333984375,0,1641.84033203125,0.20808987319469452,2018-09-12,STANDARD,R_A4
49,36,279.29779052734375,0.0,16,28,279.29779052734375,0,1643.3621826171875,0.3104288876056671,2018-09-12,STANDARD,R_A4
48,36,278.9779052734375,0.0,17,28,278.9779052734375,0,1642.31787109375,0.11265254020690918,2018-09-12,STANDARD,R_A4
48,37,279.8219909667969,0.0,18,28,279.8219909667969,0,1650.0008544921875,0.7017921805381775,2018-09-12,STANDARD,R_A4
48,37,279.4053649902344,0.0,19,27,279.4053649902344,0,1644.266357421875,0.22705267369747162,2018-09-12,STANDARD,R_A4
48,38,279.8543395996094,0.0,20,27,279.8543395996094,0,1647.9263916015625,0.05944189801812172,2018-09-12,STANDARD,R_A4
47,38,280.2046203613281,0.0,21,27,280.2046203613281,0,1655.471435546875,0.06563642621040344,2018-09-12,STANDARD,R_A4
42,17,273.817626953125,-1.0511581297230344e-13,1,1,273.817626953125,0,1694.7335205078125,1.0,2018-11-07,STANDARD,R_A6
42,17,274.23614501953125,-9.929980692964871e-14,2,2,274.23614501953125,0,1696.2730712890625,1.0,2018-11-07,STANDARD,R_A6
42,17,274.294921875,-5.873762847635744e-14,3,3,274.294921875,0,1697.8125,1.0,2018-11-07,STANDARD,R_A6
42,17,274.32305908203125,-6.60567317533646e-14,4,4,274.32305908203125,0,1699.35205078125,1.0,2018-11-07,STANDARD,R_A6
42,17,274.3558044433594,-1.1369876394551337e-13,5,5,274.3558044433594,0,1700.8914794921875,1.0,2018-11-07,STANDARD,R_A6
