SGAS,DEPTH,CONIDX,CONJPOS,CONBPRES,CONKPOS,PRESSURE,WELL,CONIPOS,WELLMODEL,DATE,SWAT,DRAWDOWN
-1.7276300832633207e-14,1699.6025390625,8,20,283.0963134765625,8,283.0963134765625,R_A5,31,STANDARD,2018-04-28,1.0,0
-1.0056853522969356e-14,1701.768798828125,9,20,283.8589172363281,9,283.8589172363281,R_A5,31,STANDARD,2018-04-28,1.0,0
-2.058597297618578e-13,1701.1396484375,10,21,276.2425231933594,11,276.2425231933594,R_A5,31,STANDARD,2018-04-28,1.0,0
-9.065143790785643e-14,1703.1234130859375,11,21,276.4701232910156,12,276.4701232910156,R_A5,31,STANDARD,2018-04-28,1.0,0
-3.448974800893188e-15,1705.107177734375,12,21,276.67242431640625,13,276.67242431640625,R_A5,31,STANDARD,2018-04-28,1.0,0
-5.409221434351163e-15,1707.0909423828125,13,21,276.8650817871094,14,276.8650817871094,R_A5,31,STANDARD,2018-04-28,1.0,0
-1.9440979503185718e-15,1709.07470703125,14,21,277.0556335449219,15,277.0556335449219,R_A5,31,STANDARD,2018-04-28,1.0,0
-6.822325626752786e-17,1711.0584716796875,15,21,277.40118408203125,16,277.40118408203125,R_A5,31,STANDARD,2018-04-28,1.0,0
9.966370313639879e-17,1713.042236328125,16,21,277.6069641113281,17,277.6069641113281,R_A5,31,STANDARD,2018-04-28,1.0,0
1.2717638543695764e-16,1714.620849609375,17,21,277.7698669433594,18,277.7698669433594,R_A5,31,STANDARD,2018-04-28,1.0,0
0.0,1715.3211669921875,18,21,277.8398132324219,19,277.8398132324219,R_A5,31,STANDARD,2018-04-28,1.0,0
-1.1670205817340684e-13,1716.5574951171875,19,21,285.6909484863281,26,285.6909484863281,R_A5,31,STANDARD,2018-04-28,1.0,0
-1.195251037901246e-13,1718.8031005859375,20,21,285.95220947265625,27,285.95220947265625,R_A5,31,STANDARD,2018-04-28,1.0,0
-2.385973719458225e-20,1721.048583984375,21,21,296.41973876953125,28,296.41973876953125,R_A5,31,STANDARD,2018-04-28,1.0,0
-2.5774883263666987e-21,1723.294189453125,22,21,303.7797546386719,29,303.7797546386719,R_A5,31,STANDARD,2018-04-28,1.0,0
-3.15777965890546e-22,1725.539794921875,23,21,306.5171203613281,30,306.5171203613281,R_A5,31,STANDARD,2018-04-28,1.0,0
0.0,1600.1014404296875,1,41,282.8294677734375,1,282.8294677734375,R_A3,29,STANDARD,2018-07-03,0.6497935056686401,0
0.0,1602.208251953125,2,41,282.9759521484375,2,282.9759521484375,R_A3,29,STANDARD,2018-07-03,0.11854173243045807,0
0.0,1604.315185546875,3,41,283.1166687011719,3,283.1166687011719,R_A3,29,STANDARD,2018-07-03,0.11862289160490036,0
0.0,1606.4219970703125,4,41,283.2575988769531,4,283.2575988769531,R_A3,29,STANDARD,2018-07-03,0.15754349529743195,0
0.0,1608.52880859375,5,41,283.39892578125,5,283.39892578125,R_A3,29,STANDARD,2018-07-03,0.22364592552185059,0
0.0,1610.6356201171875,6,41,283.5408935546875,6,283.5408935546875,R_A3,29,STANDARD,2018-07-03,0.2309620976448059,0
0.0,1612.742431640625,7,41,283.68316650390625,7,283.68316650390625,R_A3,29,STANDARD,2018-07-03,0.22956617176532745,0
0.0,1614.8492431640625,8,41,283.8244934082031,8,283.8244934082031,R_A3,29,STANDARD,2018-07-03,0.19565275311470032,0
0.0,1616.9561767578125,9,41,284.03350830078125,9,284.03350830078125,R_A3,29,STANDARD,2018-07-03,0.7940481305122375,0
0.0,1619.06298828125,10,41,285.73822021484375,10,285.73822021484375,R_A3,29,STANDARD,2018-07-03,0.7958105802536011,0
0.0,1621.281982421875,11,41,297.21533203125,11,297.21533203125,R_A3,29,STANDARD,2018-07-03,0.045362573117017746,0
0.0,1623.613037109375,12,41,297.3714904785156,12,297.3714904785156,R_A3,29,STANDARD,2018-07-03,0.05475708842277527,0
