WELL,PRESSURE,CONIPOS,DEPTH,CONKPOS,SWAT,DATE,DRAWDOWN,CONIDX,WELLMODEL,SGAS,CONJPOS,CONBPRES
R_A6,305.8368835449219,17,1705.98388671875,8,1.0,2018-01-01,0,8,STANDARD,0.0,42,305.8368835449219
R_A6,306.28240966796875,17,1707.529541015625,9,1.0,2018-01-01,0,9,STANDARD,0.0,42,306.28240966796875
R_A6,306.12310791015625,17,1709.0751953125,10,1.0,2018-01-01,0,10,STANDARD,0.0,42,306.12310791015625
R_A6,306.3042297363281,17,1710.985107421875,11,1.0,2018-01-01,0,11,STANDARD,0.0,42,306.3042297363281
R_A6,306.519775390625,17,1713.259521484375,12,1.0,2018-01-01,0,12,STANDARD,0.0,42,306.519775390625
R_A6,306.7472839355469,17,1715.5338134765625,13,1.0,2018-01-01,0,13,STANDARD,0.0,42,306.7472839355469
R_A6,306.96282958984375,17,1717.80810546875,14,1.0,2018-01-01,0,14,STANDARD,0.0,42,306.96282958984375
R_A6,307.1783752441406,17,1720.0823974609375,15,1.0,2018-01-01,0,15,STANDARD,0.0,42,307.1783752441406
R_A6,307.5389404296875,17,1722.356689453125,16,1.0,2018-01-01,0,16,STANDARD,0.0,42,307.5389404296875
R_A6,307.7545166015625,17,1724.631103515625,17,1.0,2018-01-01,0,17,STANDARD,0.0,42,307.7545166015625
R_A6,307.9109802246094,17,1726.281982421875,18,1.0,2018-01-01,0,18,STANDARD,0.0,42,307.9109802246094
R_A6,307.8841552734375,17,1727.6563720703125,25,1.0,2018-01-01,0,19,STANDARD,0.0,42,307.8841552734375
R_A6,308.3530578613281,17,1729.37744140625,26,1.0,2018-01-01,0,20,STANDARD,0.0,42,308.3530578613281
R_A6,308.51617431640625,17,1731.098388671875,27,1.0,2018-01-01,0,21,STANDARD,0.0,42,308.51617431640625
R_A6,308.6792907714844,17,1732.8194580078125,28,1.0,2018-01-01,0,22,STANDARD,0.0,42,308.6792907714844
R_A6,308.53662109375,17,1734.54052734375,29,1.0,2018-01-01,0,23,STANDARD,0.0,42,308.53662109375
R_A2,298.09796142578125,22,1640.7646484375,1,0.053267963230609894,2018-03-01,0,1,STANDARD,0.0,30,298.09796142578125
R_A2,298.2138671875,22,1642.493408203125,2,0.05650238320231438,2018-03-01,0,2,STANDARD,0.0,30,298.2138671875
R_A2,298.3298645019531,22,1644.2222900390625,3,0.08879000693559647,2018-03-01,0,3,STANDARD,0.0,30,298.3298645019531
R_A2,298.4459228515625,22,1645.951171875,4,0.1421871930360794,2018-03-01,0,4,STANDARD,0.0,30,298.4459228515625
R_A2,298.5619812011719,22,1647.68017578125,5,0.06647486984729767,2018-03-01,0,5,STANDARD,0.0,30,298.5619812011719
R_A2,298.7422790527344,22,1649.408935546875,6,0.3086913526058197,2018-03-01,0,6,STANDARD,0.0,30,298.7422790527344
R_A2,298.8694763183594,22,1651.1378173828125,7,0.6483637094497681,2018-03-01,0,7,STANDARD,0.0,30,298.8694763183594
R_A2,298.98602294921875,22,1652.8668212890625,8,0.6580238342285156,2018-03-01,0,8,STANDARD,0.0,30,298.98602294921875
R_A2,299.2176513671875,22,1654.5955810546875,9,0.8819971680641174,2018-03-01,0,9,STANDARD,0.0,30,299.2176513671875
R_A2,299.43743896484375,22,1656.324462890625,10,0.8904876708984375,2018-03-01,0,10,STANDARD,0.0,30,299.43743896484375
R_A2,299.42486572265625,22,1658.19091796875,11,0.06879016757011414,2018-03-01,0,11,STANDARD,0.0,30,299.42486572265625
R_A2,300.0880126953125,22,1660.19482421875,12,0.4080674350261688,2018-03-01,0,12,STANDARD,0.0,30,300.0880126953125
R_A2,299.94708251953125,22,1662.1988525390625,13,0.43913185596466064,2018-03-01,0,13,STANDARD,0.0,30,299.94708251953125
R_A2,300.0813903808594,22,1664.2027587890625,14,0.4790854752063751,2018-03-01,0,14,STANDARD,0.0,30,300.0813903808594
R_A2,300.2129211425781,22,1666.2066650390625,15,0.924040675163269,2018-03-01,0,15,STANDARD,0.0,30,300.2129211425781
R_A2,300.34478759765625,22,1668.210693359375,16,0.9229847192764282,2018-03-01,0,16,STANDARD,0.0,30,300.34478759765625
R_A2,300.4786682128906,22,1670.214599609375,17,0.8951368927955627,2018-03-01,0,17,STANDARD,0.0,30,300.4786682128906
