SGAS,DEPTH,WELL,CONIDX,DATE,CONIPOS,CONKPOS,DRAWDOWN,PRESSURE,WELLMODEL,CONBPRES,CONJPOS,SWAT
-5.834960628311027e-16,1682.2183837890625,R_A2,22,2018-03-01,22,28,0,303.4219665527344,STANDARD,303.4219665527344,29,1.0
-4.123130652953491e-15,1684.0,R_A2,23,2018-03-01,22,29,0,303.0502014160156,STANDARD,303.0502014160156,29,1.0
-2.3030484463948397e-10,1685.920166015625,R_A5,1,2018-04-28,31,1,0,281.55108642578125,STANDARD,281.55108642578125,20,1.0
-2.9803615131385186e-10,1688.059814453125,R_A5,2,2018-04-28,31,2,0,281.7536315917969,STANDARD,281.7536315917969,20,1.0
-3.058686914858555e-10,1690.1993408203125,R_A5,3,2018-04-28,31,3,0,281.9561462402344,STANDARD,281.9561462402344,20,1.0
-3.0855787369610255e-10,1692.3388671875,R_A5,4,2018-04-28,31,4,0,282.15850830078125,STANDARD,282.15850830078125,20,1.0
-1.4730898445503016e-10,1694.4783935546875,R_A5,5,2018-04-28,31,5,0,282.3608093261719,STANDARD,282.3608093261719,20,1.0
-2.5576571416330296e-10,1696.6180419921875,R_A5,6,2018-04-28,31,6,0,282.5632019042969,STANDARD,282.5632019042969,20,1.0
-1.7867351478559335e-12,1698.757568359375,R_A5,7,2018-04-28,31,7,0,283.0767517089844,STANDARD,283.0767517089844,20,1.0
-3.1850550842593695e-12,1700.8970947265625,R_A5,8,2018-04-28,31,8,0,283.2942199707031,STANDARD,283.2942199707031,20,1.0
-4.074771423057122e-11,1699.54150390625,R_A5,9,2018-04-28,31,11,0,276.2177734375,STANDARD,276.2177734375,21,1.0
-2.869655554849082e-11,1701.57275390625,R_A5,10,2018-04-28,31,12,0,276.4504089355469,STANDARD,276.4504089355469,21,1.0
-1.2396368653799783e-12,1703.6041259765625,R_A5,11,2018-04-28,31,13,0,276.6556701660156,STANDARD,276.6556701660156,21,1.0
-1.8368364555071404e-12,1705.6353759765625,R_A5,12,2018-04-28,31,14,0,276.8518981933594,STANDARD,276.8518981933594,21,1.0
-2.6817287539920853e-12,1707.6666259765625,R_A5,13,2018-04-28,31,15,0,277.1260986328125,STANDARD,277.1260986328125,21,1.0
-5.001118334561905e-13,1709.697998046875,R_A5,14,2018-04-28,31,16,0,277.51812744140625,STANDARD,277.51812744140625,21,1.0
-5.022870682748481e-13,1711.729248046875,R_A5,15,2018-04-28,31,17,0,277.74554443359375,STANDARD,277.74554443359375,21,1.0
-6.708506363264921e-13,1713.283935546875,R_A5,16,2018-04-28,31,18,0,277.9050598144531,STANDARD,277.9050598144531,21,1.0
0.0,1714.074951171875,R_A5,17,2018-04-28,31,19,0,277.98089599609375,STANDARD,277.98089599609375,21,1.0
1.569519186383865e-14,1715.4801025390625,R_A5,18,2018-04-28,31,25,0,283.8262634277344,STANDARD,283.8262634277344,21,1.0
1.3194429578056947e-14,1717.7861328125,R_A5,19,2018-04-28,31,26,0,284.0749816894531,STANDARD,284.0749816894531,21,1.0
4.405754581739225e-22,1720.092041015625,R_A5,20,2018-04-28,31,27,0,295.7224426269531,STANDARD,295.7224426269531,21,1.0
3.5049594889948896e-23,1722.3980712890625,R_A5,21,2018-04-28,31,28,0,304.0965881347656,STANDARD,304.0965881347656,21,1.0
9.814358544665285e-25,1724.7041015625,R_A5,22,2018-04-28,31,29,0,307.0428771972656,STANDARD,307.0428771972656,21,1.0
0.0,1608.295166015625,R_A3,1,2018-07-03,28,1,0,276.12738037109375,STANDARD,276.12738037109375,41,0.6498323678970337
0.0,1610.328369140625,R_A3,2,2018-07-03,28,2,0,276.25726318359375,STANDARD,276.25726318359375,41,0.1729145646095276
0.0,1612.361572265625,R_A3,3,2018-07-03,28,3,0,276.3927307128906,STANDARD,276.3927307128906,41,0.11114391684532166
0.0,1614.394775390625,R_A3,4,2018-07-03,28,4,0,276.5282287597656,STANDARD,276.5282287597656,41,0.14248721301555634
0.0,1616.4278564453125,R_A3,5,2018-07-03,28,5,0,276.6637268066406,STANDARD,276.6637268066406,41,0.6496654152870178
0.0,1609.00634765625,R_A3,6,2018-07-03,29,5,0,276.2115478515625,STANDARD,276.2115478515625,41,0.8027004599571228
0.0,1611.0361328125,R_A3,7,2018-07-03,29,6,0,276.29168701171875,STANDARD,276.29168701171875,41,0.19349320232868195
0.0,1613.06591796875,R_A3,8,2018-07-03,29,7,0,276.427001953125,STANDARD,276.427001953125,41,0.16699166595935822
0.0,1615.0955810546875,R_A3,9,2018-07-03,29,8,0,276.5624694824219,STANDARD,276.5624694824219,41,0.19753050804138184
0.0,1617.125244140625,R_A3,10,2018-07-03,29,9,0,276.812744140625,STANDARD,276.812744140625,41,0.796267569065094
0.0,1619.155029296875,R_A3,11,2018-07-03,29,10,0,279.1314697265625,STANDARD,279.1314697265625,41,0.7958295345306396
0.0,1621.3218994140625,R_A3,12,2018-07-03,29,11,0,296.13232421875,STANDARD,296.13232421875,41,0.047301579266786575
0.0,1623.6259765625,R_A3,13,2018-07-03,29,12,0,296.2866516113281,STANDARD,296.2866516113281,41,0.05432616546750069
0.0,1625.9300537109375,R_A3,14,2018-07-03,29,13,0,296.4412536621094,STANDARD,296.4412536621094,41,0.37034785747528076
0.0,1628.234130859375,R_A3,15,2018-07-03,29,14,0,297.01177978515625,STANDARD,297.01177978515625,41,0.36274003982543945
0.0,1630.538330078125,R_A3,16,2018-07-03,29,15,0,297.0232849121094,STANDARD,297.0232849121094,41,0.4730958044528961
0.0,1632.2967529296875,R_A3,17,2018-07-03,29,16,0,297.1449890136719,STANDARD,297.1449890136719,41,0.7981969118118286
