CONJPOS,SWAT,DATE,CONKPOS,WELLMODEL,SGAS,CONIPOS,DRAWDOWN,CONIDX,CONBPRES,PRESSURE,WELL,DEPTH
30,0.9451480507850647,2018-03-01,16,STANDARD,0.0,22,0,16,300.88836669921875,300.88836669921875,R_A2,1668.884521484375
29,0.9357637166976929,2018-03-01,16,STANDARD,0.0,22,0,17,300.9436950683594,300.9436950683594,R_A2,1669.5516357421875
29,0.8977542519569397,2018-03-01,17,STANDARD,0.0,22,0,18,301.0863342285156,301.0863342285156,R_A2,1671.679443359375
29,0.9591519832611084,2018-03-01,18,STANDARD,0.0,22,0,19,301.2153015136719,301.2153015136719,R_A2,1673.602783203125
29,1.0,2018-03-01,25,STANDARD,-5.362519317486658e-10,22,0,20,302.8207702636719,302.8207702636719,R_A2,1675.365478515625
29,1.0,2018-03-01,26,STANDARD,-6.950975981866864e-14,22,0,21,302.7877197265625,302.7877197265625,R_A2,1677.1470947265625
29,1.0,2018-03-01,27,STANDARD,-6.517211358254837e-13,22,0,22,302.4434509277344,302.4434509277344,R_A2,1678.9287109375
29,0.9999867677688599,2018-03-01,28,STANDARD,0.0,22,0,23,302.3632507324219,302.3632507324219,R_A2,1680.710205078125
29,0.9999889731407166,2018-03-01,29,STANDARD,0.0,22,0,24,302.5268859863281,302.5268859863281,R_A2,1682.4918212890625
20,1.0,2018-04-28,1,STANDARD,-6.19571338678071e-11,31,0,1,275.9511413574219,275.9511413574219,R_A5,1685.6453857421875
20,1.0,2018-04-28,2,STANDARD,-5.475575201585592e-11,31,0,2,276.1548767089844,276.1548767089844,R_A5,1687.7972412109375
20,1.0,2018-04-28,3,STANDARD,-5.960150428752087e-11,31,0,3,276.3587341308594,276.3587341308594,R_A5,1689.9490966796875
20,1.0,2018-04-28,4,STANDARD,-6.775034699924021e-11,31,0,4,276.5625915527344,276.5625915527344,R_A5,1692.1009521484375
20,1.0,2018-04-28,5,STANDARD,-6.278534636638966e-11,31,0,5,276.76629638671875,276.76629638671875,R_A5,1694.252685546875
20,1.0,2018-04-28,6,STANDARD,-3.541234319670572e-11,31,0,6,276.9697265625,276.9697265625,R_A5,1696.404541015625
20,1.0,2018-04-28,7,STANDARD,-6.760504699457326e-13,31,0,7,277.5290832519531,277.5290832519531,R_A5,1698.556396484375
20,1.0,2018-04-28,8,STANDARD,-4.448155710955193e-13,31,0,8,277.7947998046875,277.7947998046875,R_A5,1700.708251953125
21,1.0,2018-04-28,9,STANDARD,-2.010827962473094e-11,31,0,9,276.6196594238281,276.6196594238281,R_A5,1695.81689453125
21,1.0,2018-04-28,10,STANDARD,-1.3622730547779849e-11,31,0,10,277.0247497558594,277.0247497558594,R_A5,1698.1114501953125
21,1.0,2018-04-28,11,STANDARD,-2.308029635467168e-12,31,0,11,274.18695068359375,274.18695068359375,R_A5,1700.2835693359375
21,1.0,2018-04-28,12,STANDARD,-1.5345942832450943e-12,31,0,12,274.3487854003906,274.3487854003906,R_A5,1702.3331298828125
21,1.0,2018-04-28,13,STANDARD,-9.305626608906506e-14,31,0,13,274.5549621582031,274.5549621582031,R_A5,1704.3826904296875
21,1.0,2018-04-28,14,STANDARD,-1.112316957833405e-13,31,0,14,274.7493896484375,274.7493896484375,R_A5,1706.4322509765625
