SW,KRW,KROW,PCOW,SATNUM,KEYWORD,SG,KRG,KROG,PCOG
,,,,3,SGOF,0.25,0.0236669,0.37699,0.0
,,,,3,SGOF,0.27,0.0306429,0.3324757,0.0
,,,,3,SGOF,0.29,0.038878,0.2911691,0.0
,,,,3,SGOF,0.31,0.0484861,0.2532244,0.0
,,,,3,SGOF,0.33,0.0595815,0.2186992,0.0
,,,,3,SGOF,0.35,0.0722772,0.187568,0.0
,,,,3,SGOF,0.37,0.0866827,0.1597376,0.0
,,,,3,SGOF,0.39,0.1029023,0.1350624,0.0
,,,,3,SGOF,0.41,0.1210317,0.1133585,0.0
,,,,3,SGOF,0.43,0.1411551,0.0944163,0.0
,,,,3,SGOF,0.45,0.1633423,0.0780115,0.0
,,,,3,SGOF,0.47,0.1876445,0.0639136,0.0
,,,,3,SGOF,0.49,0.2140912,0.0518927,0.0
,,,,3,SGOF,0.51,0.2426866,0.0417253,0.0
,,,,3,SGOF,0.53,0.2734061,0.0331977,0.0
,,,,3,SGOF,0.55,0.3061932,0.0261088,0.0
,,,,3,SGOF,0.57,0.3409575,0.020272,0.0
,,,,3,SGOF,0.59,0.3775727,0.0155157,0.0
,,,,3,SGOF,0.61,0.4158759,0.0116842,0.0
,,,,3,SGOF,0.63,0.4556682,0.0086371,0.0
,,,,3,SGOF,0.65,0.4967156,0.0062487,0.0
,,,,3,SGOF,0.67,0.5387517,0.0044081,0.0
,,,,3,SGOF,0.69,0.5814811,0.0030173,0.0
,,,,3,SGOF,0.71,0.6245838,0.0019909,0.0
,,,,3,SGOF,0.73,0.6677197,0.001255,0.0
,,,,3,SGOF,0.75,0.7105331,0.0007463,0.0
,,,,3,SGOF,0.77,0.7526565,0.0004106,0.0
,,,,3,SGOF,0.79,0.7937111,0.0002027,0.0
,,,,3,SGOF,0.81,0.8333012,8.5e-05,0.0
,,,,3,SGOF,0.83,0.8709933,2.71e-05,0.0
,,,,3,SGOF,0.85,0.906245,4.9e-06,0.0
,,,,3,SGOF,0.87,0.9380729,1e-07,0.0
,,,,3,SGOF,0.8788599,0.95,0.0,0.0
,,,,3,SGOF,0.89,0.95557,0.0,0.0
,,,,3,SGOF,0.91,0.96557,0.0,0.0
,,,,3,SGOF,0.93,0.97557,0.0,0.0
,,,,3,SGOF,0.95,0.98557,0.0,0.0
,,,,3,SGOF,0.97,0.99557,0.0,0.0
,,,,3,SGOF,0.9788599,1.0,0.0,0.0
0.2230852,0.0,1.0,9.95715,4,SWOF,,,,
0.2330852,0.0,0.9515788,7.6946012,4,SWOF,,,,
0.2430852,0.0001579,0.9019102,6.0583141,4,SWOF,,,,
0.2630852,0.0012041,0.8029486,3.9341087,4,SWOF,,,,
0.2830852,0.0032229,0.7073453,2.6857075,4,SWOF,,,,
0.3030852,0.0062936,0.6166079,1.9075507,4,SWOF,,,,
0.3230852,0.0105232,0.5317591,1.3991392,4,SWOF,,,,
0.3430852,0.0160354,0.4535297,1.0539289,4,SWOF,,,,
0.3630852,0.022967,0.3824401,0.8118883,4,SWOF,,,,
0.3830852,0.0314671,0.318803,0.6375112,4,SWOF,,,,
0.4030852,0.0416953,0.2627058,0.5089216,4,SWOF,,,,
0.4230852,0.0538206,0.2140074,0.4121622,4,SWOF,,,,
0.4430852,0.0680196,0.1723584,0.3380554,4,SWOF,,,,
0.4630852,0.0844739,0.1372443,0.2804053,4,SWOF,,,,
0.4830852,0.1033674,0.1080387,0.2349307,4,SWOF,,,,
0.5030852,0.1248817,0.084058,0.1986117,4,SWOF,,,,
0.5230852,0.1491915,0.0646084,0.1692788,4,SWOF,,,,
0.5430852,0.1764583,0.0490214,0.1453472,4,SWOF,,,,
0.5630852,0.2068231,0.036678,0.1256416,4,SWOF,,,,
0.5830852,0.2403976,0.0270219,0.1092789,4,SWOF,,,,
0.6030852,0.2772549,0.0195651,0.0955867,4,SWOF,,,,
0.6230852,0.317418,0.0138872,0.0840476,4,SWOF,,,,
0.6430852,0.3608479,0.0096315,0.0742592,4,SWOF,,,,
0.6630852,0.4074297,0.0064994,0.0659052,4,SWOF,,,,
0.6830852,0.4569586,0.0042433,0.0587353,4,SWOF,,,,
0.7030852,0.5091227,0.00266,0.052549,4,SWOF,,,,
0.7230852,0.5634864,0.0015842,0.0471854,4,SWOF,,,,
0.7430852,0.6194363,0.0008844,0.0425137,4,SWOF,,,,
0.7630852,0.6762249,0.0004518,0.0384269,4,SWOF,,,,
0.7830852,0.7329394,0.000207,0.0348375,4,SWOF,,,,
0.8030852,0.7883158,8.01e-05,0.0316729,4,SWOF,,,,
0.8230852,0.8408194,2.36e-05,0.0288728,4,SWOF,,,,
0.8430852,0.8883815,4.4e-06,0.0263868,4,SWOF,,,,
0.8630852,0.9274214,4e-07,0.0241726,4,SWOF,,,,
0.8740111,0.9432199,0.0,0.023092,4,SWOF,,,,
0.8830852,0.9473094,0.0,0.0221945,4,SWOF,,,,
0.9030852,0.9563229,0.0,0.0204221,4,SWOF,,,,
0.9230852,0.9653364,0.0,0.0188298,4,SWOF,,,,
0.9430852,0.9743499,0.0,0.0173956,4,SWOF,,,,
0.9630852,0.9833634,0.0,0.0161004,4,SWOF,,,,
0.9830852,0.9923769,0.0,0.0149281,4,SWOF,,,,
1.0,1.0,0.0,0.0140221,4,SWOF,,,,
,,,,4,SGOF,0.0,0.0,1.0,0.0
,,,,4,SGOF,0.05,0.0,0.8590228,0.0
,,,,4,SGOF,0.07,0.0001414,0.7936293,0.0
,,,,4,SGOF,0.09,0.0007773,0.7249011,0.0
,,,,4,SGOF,0.11,0.0021421,0.6543345,0.0
,,,,4,SGOF,0.13,0.004449,0.5835306,0.0
,,,,4,SGOF,0.15,0.0079133,0.5140681,0.0
,,,,4,SGOF,0.17,0.012759,0.4473821,0.0
,,,,4,SGOF,0.19,0.0192208,0.3846662,0.0
,,,,4,SGOF,0.21,0.0275449,0.3268146,0.0
,,,,4,SGOF,0.23,0.0379869,0.2744043,0.0
,,,,4,SGOF,0.25,0.0508089,0.2277129,0.0
,,,,4,SGOF,0.27,0.0662744,0.1867597,0.0
,,,,4,SGOF,0.29,0.0846419,0.1513599,0.0
,,,,4,SGOF,0.31,0.1061557,0.1211804,0.0
,,,,4,SGOF,0.33,0.1310358,0.0957912,0.0
,,,,4,SGOF,0.35,0.1594654,0.0747083,0.0
,,,,4,SGOF,0.37,0.1915773,0.0574282,0.0
,,,,4,SGOF,0.39,0.2274392,0.0434527,0.0
,,,,4,SGOF,0.41,0.2670398,0.0323068,0.0
,,,,4,SGOF,0.43,0.3102757,0.0235499,0.0
,,,,4,SGOF,0.45,0.3569405,0.016782,0.0
,,,,4,SGOF,0.47,0.4067186,0.0116474,0.0
