DRAWDOWN,WELL,PRESSURE,WELLMODEL,DATE,DEPTH,CONIPOS,CONBPRES,CONIDX,SWAT,CONKPOS,SGAS,CONJPOS
0,R_A5,305.4105224609375,STANDARD,2018-01-01,1698.329345703125,31,305.4105224609375,10,1.0,9,0.0,21
0,R_A5,305.5246887207031,STANDARD,2018-01-01,1702.759521484375,31,305.5246887207031,11,1.0,11,0.0,21
0,R_A5,305.7156982421875,STANDARD,2018-01-01,1704.77490234375,31,305.7156982421875,12,1.0,12,0.0,21
0,R_A5,305.91864013671875,STANDARD,2018-01-01,1706.790283203125,31,305.91864013671875,13,1.0,13,0.0,21
0,R_A5,306.1096496582031,STANDARD,2018-01-01,1708.8056640625,31,306.1096496582031,14,1.0,14,0.0,21
0,R_A5,306.4456481933594,STANDARD,2018-01-01,1710.821044921875,31,306.4456481933594,15,1.0,15,0.0,21
0,R_A5,306.63665771484375,STANDARD,2018-01-01,1712.83642578125,31,306.63665771484375,16,1.0,16,0.0,21
0,R_A5,306.7948913574219,STANDARD,2018-01-01,1714.5059814453125,31,306.7948913574219,17,1.0,17,0.0,21
0,R_A5,306.8814697265625,STANDARD,2018-01-01,1715.41943359375,31,306.8814697265625,18,1.0,18,0.0,21
0,R_A5,306.9172058105469,STANDARD,2018-01-01,1715.79638671875,31,306.9172058105469,19,1.0,19,0.0,21
0,R_A5,306.8681640625,STANDARD,2018-01-01,1716.9366455078125,31,306.8681640625,20,1.0,25,0.0,21
0,R_A5,307.0605163574219,STANDARD,2018-01-01,1718.9661865234375,31,307.0605163574219,21,1.0,26,0.0,21
0,R_A5,307.55865478515625,STANDARD,2018-01-01,1720.995849609375,31,307.55865478515625,22,1.0,27,0.0,21
0,R_A5,307.75103759765625,STANDARD,2018-01-01,1723.0255126953125,31,307.75103759765625,23,1.0,28,0.0,21
0,R_A5,307.9433898925781,STANDARD,2018-01-01,1725.05517578125,31,307.9433898925781,24,1.0,29,0.0,21
0,R_A6,305.0251770019531,STANDARD,2018-01-01,1694.2630615234375,17,305.0251770019531,1,1.0,1,0.0,42
0,R_A6,305.1704406738281,STANDARD,2018-01-01,1695.796142578125,17,305.1704406738281,2,1.0,2,0.0,42
0,R_A6,305.31573486328125,STANDARD,2018-01-01,1697.3292236328125,17,305.31573486328125,3,1.0,3,0.0,42
0,R_A6,305.4610290527344,STANDARD,2018-01-01,1698.8623046875,17,305.4610290527344,4,1.0,4,0.0,42
0,R_A6,305.6063232421875,STANDARD,2018-01-01,1700.3955078125,17,305.6063232421875,5,1.0,5,0.0,42
0,R_A6,305.7516174316406,STANDARD,2018-01-01,1701.9285888671875,17,305.7516174316406,6,1.0,6,0.0,42
0,R_A6,305.59783935546875,STANDARD,2018-01-01,1703.461669921875,17,305.59783935546875,7,1.0,7,0.0,42
0,R_A6,305.7431335449219,STANDARD,2018-01-01,1704.9947509765625,17,305.7431335449219,8,1.0,8,0.0,42
0,R_A6,306.1874694824219,STANDARD,2018-01-01,1706.52783203125,17,306.1874694824219,9,1.0,9,0.0,42
0,R_A6,306.0269775390625,STANDARD,2018-01-01,1708.0609130859375,17,306.0269775390625,10,1.0,10,0.0,42
0,R_A6,306.2057189941406,STANDARD,2018-01-01,1709.9456787109375,17,306.2057189941406,11,1.0,11,0.0,42
0,R_A6,306.41766357421875,STANDARD,2018-01-01,1712.181884765625,17,306.41766357421875,12,1.0,12,0.0,42
0,R_A6,306.6415710449219,STANDARD,2018-01-01,1714.418212890625,17,306.6415710449219,13,1.0,13,0.0,42
0,R_A6,306.853515625,STANDARD,2018-01-01,1716.654541015625,17,306.853515625,14,1.0,14,0.0,42
0,R_A6,307.0654602050781,STANDARD,2018-01-01,1718.8909912109375,17,307.0654602050781,15,1.0,15,0.0,42
0,R_A6,307.42242431640625,STANDARD,2018-01-01,1721.127197265625,17,307.42242431640625,16,1.0,16,0.0,42
0,R_A6,307.6343688964844,STANDARD,2018-01-01,1723.363525390625,17,307.6343688964844,17,1.0,17,0.0,42
0,R_A6,307.7948913574219,STANDARD,2018-01-01,1725.0570068359375,17,307.7948913574219,18,1.0,18,0.0,42
