CONIPOS,WELL,DEPTH,CONIDX,CONKPOS,DRAWDOWN,CONBPRES,DATE,WELLMODEL,PRESSURE,CONJPOS,SGAS,SWAT
31,R_A5,1699.653564453125,7,7,0,305.5360107421875,2018-01-01,STANDARD,305.5360107421875,20,0.0,1.0
31,R_A5,1701.995361328125,8,8,0,305.7579345703125,2018-01-01,STANDARD,305.7579345703125,20,0.0,1.0
31,R_A5,1708.7584228515625,9,11,0,306.09320068359375,2018-01-01,STANDARD,306.09320068359375,20,0.0,1.0
31,R_A5,1710.575927734375,10,12,0,306.2654724121094,2018-01-01,STANDARD,306.2654724121094,20,0.0,1.0
31,R_A5,1703.1884765625,11,12,0,305.5653381347656,2018-01-01,STANDARD,305.5653381347656,21,0.0,1.0
31,R_A5,1705.0740966796875,12,13,0,305.7560119628906,2018-01-01,STANDARD,305.7560119628906,21,0.0,1.0
31,R_A5,1706.9595947265625,13,14,0,305.9346923828125,2018-01-01,STANDARD,305.9346923828125,21,0.0,1.0
31,R_A5,1708.84521484375,14,15,0,306.1134033203125,2018-01-01,STANDARD,306.1134033203125,21,0.0,1.0
31,R_A5,1710.730712890625,15,16,0,306.4371032714844,2018-01-01,STANDARD,306.4371032714844,21,0.0,1.0
31,R_A5,1712.6163330078125,16,17,0,306.6158142089844,2018-01-01,STANDARD,306.6158142089844,21,0.0,1.0
31,R_A5,1714.2481689453125,17,18,0,306.77044677734375,2018-01-01,STANDARD,306.77044677734375,21,0.0,1.0
31,R_A5,1715.2164306640625,18,19,0,306.86224365234375,2018-01-01,STANDARD,306.86224365234375,21,0.0,1.0
31,R_A5,1716.59375,19,24,0,306.8356628417969,2018-01-01,STANDARD,306.8356628417969,21,0.0,1.0
31,R_A5,1718.789794921875,20,25,0,307.0437927246094,2018-01-01,STANDARD,307.0437927246094,21,0.0,1.0
31,R_A5,1720.98583984375,21,26,0,307.5577087402344,2018-01-01,STANDARD,307.5577087402344,21,0.0,1.0
31,R_A5,1723.181884765625,22,27,0,307.7658386230469,2018-01-01,STANDARD,307.7658386230469,21,0.0,1.0
31,R_A5,1725.3779296875,23,28,0,307.9739990234375,2018-01-01,STANDARD,307.9739990234375,21,0.0,1.0
17,R_A6,1695.91748046875,1,1,0,305.18194580078125,2018-01-01,STANDARD,305.18194580078125,42,0.0,1.0
17,R_A6,1697.4822998046875,2,2,0,305.3302307128906,2018-01-01,STANDARD,305.3302307128906,42,0.0,1.0
17,R_A6,1699.0469970703125,3,3,0,305.478515625,2018-01-01,STANDARD,305.478515625,42,0.0,1.0
17,R_A6,1700.6116943359375,4,4,0,305.6268005371094,2018-01-01,STANDARD,305.6268005371094,42,0.0,1.0
