CONKPOS,DATE,CONIPOS,DEPTH,CONIDX,SWAT,WELL,WELLMODEL,PRESSURE,DRAWDOWN,CONJPOS,CONBPRES,SGAS
11,2018-01-01,17,1710.602294921875,11,1.0,R_A6,STANDARD,306.2679443359375,0,42,306.2679443359375,0.0
12,2018-01-01,17,1712.893798828125,12,1.0,R_A6,STANDARD,306.4851379394531,0,42,306.4851379394531,0.0
13,2018-01-01,17,1715.185302734375,13,1.0,R_A6,STANDARD,306.7142639160156,0,42,306.7142639160156,0.0
14,2018-01-01,17,1717.4769287109375,14,1.0,R_A6,STANDARD,306.93145751953125,0,42,306.93145751953125,0.0
15,2018-01-01,17,1719.7684326171875,15,1.0,R_A6,STANDARD,307.1486511230469,0,42,307.1486511230469,0.0
16,2018-01-01,17,1722.06005859375,16,1.0,R_A6,STANDARD,307.5108337402344,0,42,307.5108337402344,0.0
17,2018-01-01,17,1724.3515625,17,1.0,R_A6,STANDARD,307.72802734375,0,42,307.72802734375,0.0
18,2018-01-01,17,1725.9102783203125,18,1.0,R_A6,STANDARD,307.8757629394531,0,42,307.8757629394531,0.0
25,2018-01-01,17,1727.18017578125,19,1.0,R_A6,STANDARD,307.8390197753906,0,42,307.8390197753906,0.0
26,2018-01-01,17,1728.8939208984375,20,1.0,R_A6,STANDARD,308.3072204589844,0,42,308.3072204589844,0.0
27,2018-01-01,17,1730.6077880859375,21,1.0,R_A6,STANDARD,308.46966552734375,0,42,308.46966552734375,0.0
28,2018-01-01,17,1732.321533203125,22,1.0,R_A6,STANDARD,308.6321105957031,0,42,308.6321105957031,0.0
29,2018-01-01,17,1734.035400390625,23,1.0,R_A6,STANDARD,308.4887390136719,0,42,308.4887390136719,0.0
1,2018-03-01,22,1640.6890869140625,1,0.053069327026605606,R_A2,STANDARD,298.96502685546875,0,30,298.96502685546875,0.0
2,2018-03-01,22,1642.402099609375,2,0.05501309409737587,R_A2,STANDARD,299.0798034667969,0,30,299.0798034667969,0.0
3,2018-03-01,22,1644.115234375,3,0.057983286678791046,R_A2,STANDARD,299.194580078125,0,30,299.194580078125,0.0
4,2018-03-01,22,1645.828369140625,4,0.06497330963611603,R_A2,STANDARD,299.3093566894531,0,30,299.3093566894531,0.0
5,2018-03-01,22,1647.5413818359375,5,0.06528819352388382,R_A2,STANDARD,299.4241638183594,0,30,299.4241638183594,0.0
6,2018-03-01,22,1649.25439453125,6,0.3028585612773895,R_A2,STANDARD,299.5342102050781,0,30,299.5342102050781,0.0
7,2018-03-01,22,1650.9674072265625,7,0.8713762164115906,R_A2,STANDARD,299.6482849121094,0,30,299.6482849121094,0.0
8,2018-03-01,22,1652.6805419921875,8,0.8442458510398865,R_A2,STANDARD,299.7640075683594,0,30,299.7640075683594,0.0
9,2018-03-01,22,1654.3935546875,9,0.8675290942192078,R_A2,STANDARD,299.8541564941406,0,30,299.8541564941406,0.0
10,2018-03-01,22,1656.106689453125,10,0.8763235807418823,R_A2,STANDARD,299.9201965332031,0,30,299.9201965332031,0.0
11,2018-03-01,22,1657.9671630859375,11,0.06842638552188873,R_A2,STANDARD,299.484619140625,0,30,299.484619140625,0.0
12,2018-03-01,22,1659.97509765625,12,0.14032727479934692,R_A2,STANDARD,299.62109375,0,30,299.62109375,0.0
13,2018-03-01,22,1661.9830322265625,13,0.41865015029907227,R_A2,STANDARD,299.7574768066406,0,30,299.7574768066406,0.0
14,2018-03-01,22,1663.9910888671875,14,0.451584130525589,R_A2,STANDARD,299.8929443359375,0,30,299.8929443359375,0.0
15,2018-03-01,22,1665.9990234375,15,0.9103471040725708,R_A2,STANDARD,300.033447265625,0,30,300.033447265625,0.0
16,2018-03-01,22,1668.0069580078125,16,0.918298065662384,R_A2,STANDARD,300.1763610839844,0,30,300.1763610839844,0.0
16,2018-03-01,22,1673.607177734375,17,0.9480577111244202,R_A2,STANDARD,300.63446044921875,0,29,300.63446044921875,0.0
17,2018-03-01,22,1675.732177734375,18,0.9404779076576233,R_A2,STANDARD,300.7769775390625,0,29,300.7769775390625,0.0
18,2018-03-01,22,1677.341552734375,19,0.9878105521202087,R_A2,STANDARD,300.8848571777344,0,29,300.8848571777344,0.0
25,2018-03-01,22,1678.7442626953125,20,0.6484591960906982,R_A2,STANDARD,301.0665588378906,0,29,301.0665588378906,0.0
26,2018-03-01,22,1680.4556884765625,21,1.0,R_A2,STANDARD,303.4031982421875,0,29,303.4031982421875,-1.337792931344246e-15
27,2018-03-01,22,1682.1671142578125,22,1.0,R_A2,STANDARD,303.832763671875,0,29,303.832763671875,-8.342003981033977e-16
