SGAS,SWAT,CONIDX,WELL,DEPTH,CONKPOS,CONBPRES,DATE,CONIPOS,PRESSURE,WELLMODEL,DRAWDOWN,CONJPOS
0.0,1.0,16,R_A6,1723.85791015625,16,307.68121337890625,2018-01-01,17,307.68121337890625,STANDARD,0,42
0.0,1.0,17,R_A6,1726.158935546875,17,307.8993225097656,2018-01-01,17,307.8993225097656,STANDARD,0,42
0.0,1.0,18,R_A6,1727.86962890625,18,308.06146240234375,2018-01-01,17,308.06146240234375,STANDARD,0,42
0.0,1.0,19,R_A6,1729.3062744140625,26,308.04052734375,2018-01-01,17,308.04052734375,STANDARD,0,42
0.0,1.0,20,R_A6,1731.05908203125,27,308.2066650390625,2018-01-01,17,308.2066650390625,STANDARD,0,42
0.0,1.0,21,R_A6,1732.8121337890625,28,308.6785888671875,2018-01-01,17,308.6785888671875,STANDARD,0,42
0.0,1.0,22,R_A6,1734.5650634765625,29,308.8447265625,2018-01-01,17,308.8447265625,STANDARD,0,42
0.0,1.0,23,R_A6,1736.31787109375,30,308.705078125,2018-01-01,17,308.705078125,STANDARD,0,42
0.0,0.0577506385743618,1,R_A2,1643.2398681640625,1,299.970947265625,2018-03-01,22,299.970947265625,STANDARD,0,30
0.0,0.05999179556965828,2,R_A2,1645.01416015625,2,300.0898742675781,2018-03-01,22,300.0898742675781,STANDARD,0,30
0.0,0.06273623555898666,3,R_A2,1646.788330078125,3,300.2088317871094,2018-03-01,22,300.2088317871094,STANDARD,0,30
0.0,0.07038130611181259,4,R_A2,1648.5625,4,300.32781982421875,2018-03-01,22,300.32781982421875,STANDARD,0,30
0.0,0.0745159387588501,5,R_A2,1650.336669921875,5,300.44677734375,2018-03-01,22,300.44677734375,STANDARD,0,30
0.0,0.18413051962852478,6,R_A2,1652.11083984375,6,300.5657958984375,2018-03-01,22,300.5657958984375,STANDARD,0,30
0.0,0.6482124924659729,7,R_A2,1653.885009765625,7,300.6847839355469,2018-03-01,22,300.6847839355469,STANDARD,0,30
